Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
LT	StarkevičiusKazimieras	minister	2008-12-09	2012-12-03	10th Seimas	-	Žemės ūkio ministerija	Ministry of Agriculture	https://en.wikipedia.org/wiki/Ministry_of_Agriculture_(Lithuania)	-
LT	JuknaVigilijus	minister	2012-12-14	2014-07-11	11th Seimas	-	-	-	-	-
LT	BaltraltieneVirginija	minister	2014-07-17	2016-12-13	11th Seimas	-	-	-	-	-
LT	MarkauskasBronius	minister	2016-12-14	2018-05-14	12th Seimas	-	-	-	-	-
LT	SurplysGiedrius	minister	2018-05-15	2019-08-07	12th Seimas	-	-	-	-	-
LT	PalionisAndrius	minister	2019-08-08	2020-12-11	12th Seimas	-	-	-	-	-
LT	NavickasKestutis	minister	2020-12-11	-	13th Seimas	-	-	-	-	-
LT	GelunasArunas	minister	2010-07-01	2012-12-13	10th Seimas	-	Kultūros ministerija	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Lithuania)	-
LT	BirutisŠarunas	minister	2012-12-14	2016-12-13	11th Seimas	-	-	-	-	-
LT	Ruokyte-JonssonLiana	minister	2016-12-14	2018-12-21	12th Seimas	-	-	-	-	-
LT	KvietkauskasMindaugas	minister	2018-12-22	2020-12-11	12th Seimas	-	-	-	-	-
LT	KairysSimonas	minister	2020-12-12	-	13th Seimas	-	-	-	-	-
LT	ZyllusRimantas	minister	2011-03-17	2012-12-13	10th Seimas	-	Ekonomikos ir inovacijų ministerija	Ministry of Economy and Innovation	https://en.wikipedia.org/wiki/Ministry_of_Economy_and_Innovation_(Lithuania)	-
LT	VesalteBirute	minister	2012-12-14	2013-06-03	11th Seimas	-	-	-	-	-
LT	GustasEvaldas	minister	2013-06-11	2016-12-13	11th Seimas	-	-	-	-	-
LT	SinkevičiusMindaugas	minister	2016-12-14	2017-10-13	12th Seimas	-	-	-	-	-
LT	SinkevičiusVirginijus	minister	2017-11-28	2019-12-30	12th Seimas	-	-	-	-	-
LT	SinkevičiusRimantas	minister	2020-06-30	2020-12-11	12th Seimas	-	-	-	-	-
