Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
LV	BordanJan	minister	2012-07-05	2014-01-22	Saeima 10/11	-	Tieslietu ministrija	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Latvia)#List_of_ministers	-
LV	BrokaBaiba	minister	2014-01-23	2014-08-06	Saeima 11	-	Tieslietu ministrija	Ministry of Justice	-	-
LV	MelbourdeDace	minister	2014-08-07	2014-08-21	Saeima 11	-	Tieslietu ministrija	Ministry of Justice	-	-
LV	BerinšGaidis	minister	2014-08-22	2014-11-05	Saeima 11	-	Tieslietu ministrija	Ministry of Justice	-	-
LV	RasnacsDzintars	minister	2014-11-06	-	Saeima 11/12/13	-	Tieslietu ministrija	Ministry of Justice	-	-
LV	PabriksArtis	minister	2010-11-03	2014-01-22	Saeima 11	-	Aizsardzības ministrija	Ministry of Defence	https://en.wikipedia.org/wiki/List_of_Ministers_of_Defence_of_Latvia	-
LV	VejonisRaimonds	minister	2014-01-23	2015-07-07	Saeima 12	-	Aizsardzības ministrija	Ministry of Defence	-	-
LV	BergmanisRaimonds	minister	2015-07-08	2019-01-23	Saeima 12	-	Aizsardzības ministrija	Ministry of Defence	-	-
LV	PabriksArtis	minister	2019-01-24	-	Saeima 13	-	Aizsardzības ministrija	Ministry of Defence	-	-
LV	DumbrovskisVjačeslavs	minister	0	0	0	-	Latvijas Republikas Ekonomikas ministrija	Ministry of Economics	https://en.wikipedia.org/wiki/Ministry_of_Economics_(Latvia)	-
LV	ReiznieceOzolaDana	minister	2014-11-05	2016-02-11	Saeima 11	-	Latvijas Republikas Ekonomikas ministrija	Ministry of Economics	-	-
LV	AšeradensArvils	minister	2016-02-12	2019-01-23	Saeima 12	-	Latvijas Republikas Ekonomikas ministrija	Ministry of Economics	-	-
LV	NemiroRalfs	minister	2019-01-24	2020-03-16	Saeima 13	-	Latvijas Republikas Ekonomikas ministrija	Ministry of Economics	-	-
LV	VitenbergsJanis	minister	2020-04-02	2021-05-15	Saeima 13	-	Latvijas Republikas Ekonomikas ministrija	Ministry of Economics	-	-
