Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
NO	person.INTY	minister	2019-01-22	2020-01-24	-	-	Norges samfunnssikkerhetsminister	-	-	-
NO	person.AAMH	minister	1999-10-08	2000-03-17	-	-	Norges kulturminister	-	-	-
NO	person.AAMH	minister	2005-10-17	2007-09-21	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.AAMH	minister	2007-09-21	2008-06-20	-	-	Norges olje- og energiminister	-	-	-
NO	person.ABIR	minister	2020-01-24	2021-10-14	-	-	Norges kulturminister	-	-	-
NO	person.AEL	minister	1997-10-17	1999-10-08	-	-	Norges kulturminister	-	-	-
NO	person.AG	minister	2001-10-19	2004-06-18	-	-	Norges næringsminister	-	-	-
NO	person.AG	minister	2004-06-18	2005-10-17	-	-	Norges helseminister	-	-	-
NO	person.ALYS	minister	2009-10-20	2012-03-05	-	-	Norges barne- og familieminister	-	-	-
NO	person.ANA	minister	2013-10-16	2016-12-20	-	-	Norges justisminister	-	-	-
NO	person.ANNH	minister	2008-02-29	2009-10-20	-	-	Norges barne- og familieminister	-	-	-
NO	person.ANNH	minister	2009-10-20	2012-09-21	-	-	Norges kulturminister	-	-	-
NO	person.ANNH	minister	2012-09-21	2013-10-16	-	-	Norges arbeidsminister	-	-	-
NO	person.ANNH	minister	2021-10-14	-	-	-	Norges utenriksminister	-	-	-
NO	person.ANS	minister	2005-10-17	2009-10-20	-	-	Norges forsvarsminister	-	-	-
NO	person.ANS	minister	2009-10-20	2012-09-21	-	-	Norges helseminister	-	-	-
NO	person.ANS	minister	2012-09-21	2013-10-16	-	-	Norges forsvarsminister	-	-	-
NO	person.ATR	minister	2021-10-14	-	-	-	Norges kulturminister	-	-	-
NO	person.BENH	minister	2013-10-16	2021-10-14	-	-	Norges helseminister	-	-	-
NO	person.BHH	minister	2000-03-17	2001-10-19	-	-	Norges landbruksminister	-	-	-
NO	person.BHH	minister	2005-10-17	2008-06-20	-	-	Norges arbeidsminister	-	-	-
NO	person.BHH	minister	2008-06-20	2009-10-20	-	-	Norges helseminister	-	-	-
NO	person.BJAG	minister	2021-10-14	2022-04-12	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.BJAG	minister	2022-04-12	-	-	-	Norges forsvarsminister	-	-	-
NO	person.BJRSKJ	minister	2021-10-14	-	-	-	Norges fiskeriminister	-	-	-
NO	person.BJRSKJ	minister	2022-03-04	2022-03-07	-	-	Norges arbeidsminister	-	-	-
NO	person.BJØB	minister	2001-10-19	2004-06-18	-	-	Norges miljøvernminister	-	-	-
NO	person.BJØB	minister	2004-06-18	2005-10-17	-	-	Norges næringsminister	-	-	-
NO	person.BJØB	minister	2013-10-16	2017-10-20	-	-	Norges utenriksminister	-	-	-
NO	person.BTG	minister	2000-03-17	2001-10-19	-	-	Norges forsvarsminister	-	-	-
NO	person.BVS	minister	2007-10-18	2009-10-20	-	-	Norges kunnskapsminister	-	-	-
NO	person.BVS	minister	2012-03-23	2013-10-16	-	-	Norges miljøvernminister	-	-	-
NO	person.BÅH	minister	2018-08-31	2019-01-22	-	-	Norges landbruksminister	-	-	-
NO	person.DH	minister	1997-10-17	2000-03-17	-	-	Norges helseminister	-	-	-
NO	person.DH	minister	2001-10-19	2004-06-18	-	-	Norges helseminister	-	-	-
NO	person.DH	minister	2004-06-18	2005-10-17	-	-	Norges arbeidsminister	-	-	-
NO	person.DTA	minister	2006-09-29	2008-06-20	-	-	Norges næringsminister	-	-	-
NO	person.DTA	minister	2008-06-20	2009-10-02	-	-	Norges arbeidsminister	-	-	-
NO	person.DU	minister	2019-01-22	2021-10-14	-	-	Norges utviklingsminister	-	-	-
NO	person.EAS	minister	2013-10-16	2015-12-16	-	-	Norges fiskeriminister	-	-	-
NO	person.EBE	minister	2011-11-11	2012-09-21	-	-	Norges forsvarsminister	-	-	-
NO	person.EBE	minister	2012-09-21	2013-10-16	-	-	Norges utenriksminister	-	-	-
NO	person.EBE	minister	2021-10-14	-	-	-	Norges miljøvernminister	-	-	-
NO	person.EEM	minister	2021-10-14	-	-	-	Norges justisminister	-	-	-
NO	person.EGS	minister	2005-10-17	2012-03-23	-	-	Norges utviklingsminister	-	-	-
NO	person.EGS	minister	2007-10-18	2012-03-23	-	-	Norges miljøvernminister	-	-	-
NO	person.EIS	minister	2001-10-19	2004-06-18	-	-	Norges olje- og energiminister	-	-	-
NO	person.ES	minister	2001-10-19	2005-10-17	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.FBJ	minister	2017-10-20	2021-10-14	-	-	Norges forsvarsminister	-	-	-
NO	person.GIS	minister	2020-01-24	2020-03-02	-	-	Norges fiskeriminister	-	-	-
NO	person.GK	minister	2000-03-17	2001-10-19	-	-	Norges næringsminister	-	-	-
NO	person.GME	minister	2020-03-13	2021-10-14	-	-	Norges kunnskapsminister	-	-	-
NO	person.GR	minister	1997-10-17	2000-03-17	-	-	Norges finansminister	-	-	-
NO	person.HEA	minister	2017-09-15	2017-11-26	-	-	Norges kunnskapsminister	-	-	-
NO	person.HEA	minister	2020-01-24	2021-10-14	-	-	Norges forsknings- og høyere utdanningsminister	-	-	-
NO	person.HEH	minister	2012-03-23	2013-10-16	-	-	Norges utviklingsminister	-	-	-
NO	person.HFJ	minister	1997-10-17	2000-03-17	-	-	Norges utviklingsminister	-	-	-
NO	person.HFJ	minister	2001-10-19	2005-10-17	-	-	Norges utviklingsminister	-	-	-
NO	person.HGR	minister	2005-10-17	2009-10-20	-	-	Norges fornyings- og administrasjonsminister	-	-	-
NO	person.HPED	minister	2005-10-17	2009-10-02	-	-	Norges fiskeriminister	-	-	-
NO	person.HTA	minister	2012-09-21	2013-10-16	-	-	Norges kulturminister	-	-	-
NO	person.HTA	minister	2021-10-14	2022-03-04	-	-	Norges arbeidsminister	-	-	-
NO	person.HTN	minister	2018-08-13	2020-01-24	-	-	Norges fiskeriminister	-	-	-
NO	person.IME	minister	2013-10-16	2017-10-20	-	-	Norges forsvarsminister	-	-	-
NO	person.IME	minister	2017-10-20	2021-10-14	-	-	Norges utenriksminister	-	-	-
NO	person.IMT	minister	2012-03-23	2013-10-16	-	-	Norges barne- og familieminister	-	-	-
NO	person.IN	minister	2018-01-17	2020-01-24	-	-	Norges forsknings- og høyere utdanningsminister	-	-	-
NO	person.IN	minister	2020-01-24	2021-10-14	-	-	Norges næringsminister	-	-	-
NO	person.INK	minister	2021-10-14	-	-	-	Norges helseminister	-	-	-
NO	person.ISC	minister	2001-10-19	2004-06-18	-	-	Norges sosialminister	-	-	-
NO	person.JGD	minister	2015-12-16	2018-08-31	-	-	Norges landbruksminister	-	-	-
NO	person.JGD	minister	2018-08-31	2020-01-24	-	-	Norges samferdselsminister	-	-	-
NO	person.JGS	minister	2005-10-17	2012-09-21	-	-	Norges utenriksminister	-	-	-
NO	person.JGS	minister	2012-09-21	2013-10-16	-	-	Norges helseminister	-	-	-
NO	person.JK	minister	2000-03-17	2001-10-05	-	-	Norges fornyings- og administrasjonsminister	-	-	-
NO	person.JL	minister	1997-10-17	2000-03-17	-	-	Norges kunnskapsminister	-	-	-
NO	person.JONN	minister	2021-10-14	-	-	-	Norges samferdselsminister	-	-	-
NO	person.JP	minister	2001-10-19	2005-10-17	-	-	Norges utenriksminister	-	-	-
NO	person.JTS	minister	2013-10-16	2018-01-17	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.JTS	minister	2018-01-17	2020-01-24	-	-	Norges kunnskapsminister	-	-	-
NO	person.JTS	minister	2020-01-24	2021-10-14	-	-	Norges finansminister	-	-	-
NO	person.KBF	minister	2018-08-31	2019-12-18	-	-	Norges olje- og energiminister	-	-	-
NO	person.KBO	minister	2000-03-17	2001-10-19	-	-	Norges barne- og familieminister	-	-	-
NO	person.KBO	minister	2005-10-17	2007-10-18	-	-	Norges barne- og familieminister	-	-	-
NO	person.KETS	minister	2013-10-16	2018-08-31	-	-	Norges samferdselsminister	-	-	-
NO	person.KHA	minister	2005-10-17	2009-10-20	-	-	Norges finansminister	-	-	-
NO	person.KHA	minister	2009-10-20	2013-10-16	-	-	Norges kunnskapsminister	-	-	-
NO	person.KJR	minister	2019-01-22	2021-09-20	-	-	Norges barne- og familieminister	-	-	-
NO	person.KJT	minister	2021-10-14	-	-	-	Norges barne- og familieminister	-	-	-
NO	person.KKD	minister	2001-10-19	2005-10-17	-	-	Norges forsvarsminister	-	-	-
NO	person.KNAH	minister	2004-06-18	2005-10-17	-	-	Norges miljøvernminister	-	-	-
NO	person.KNAH	minister	2020-01-24	2021-10-14	-	-	Norges samferdselsminister	-	-	-
NO	person.KNUS	minister	2005-10-17	2011-11-11	-	-	Norges justisminister	-	-	-
NO	person.KSP	minister	2000-03-17	2001-10-19	-	-	Norges finansminister	-	-	-
NO	person.LAPB	minister	2000-01-21	2000-03-17	-	-	Norges fiskeriminister	-	-	-
NO	person.LAPB	minister	2008-06-20	2012-06-18	-	-	Norges landbruksminister	-	-	-
NO	person.LCH	minister	2015-12-16	2018-01-17	-	-	Norges kulturminister	-	-	-
NO	person.LCH	minister	2018-01-17	2019-01-22	-	-	Norges barne- og familieminister	-	-	-
NO	person.LCH	minister	2020-01-24	2021-10-14	-	-	Norges distrikts- og digitaliseringsminister	-	-	-
NO	person.LD	minister	1999-03-15	2000-03-17	-	-	Norges fornyings- og administrasjonsminister	-	-	-
NO	person.LD	minister	2001-10-19	2005-10-17	-	-	Norges barne- og familieminister	-	-	-
NO	person.LIB	minister	2009-10-20	2013-10-16	-	-	Norges fiskeriminister	-	-	-
NO	person.LS	minister	1997-10-17	2000-03-17	-	-	Norges næringsminister	-	-	-
NO	person.LS	minister	2001-10-19	2005-10-17	-	-	Norges landbruksminister	-	-	-
NO	person.LSN	minister	2005-10-17	2009-10-20	-	-	Norges samferdselsminister	-	-	-
NO	person.LSN	minister	2009-10-20	2013-10-16	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.MAA	minister	1997-10-17	2000-03-17	-	-	Norges olje- og energiminister	-	-	-
NO	person.MAA	minister	2012-06-18	2013-10-16	-	-	Norges samferdselsminister	-	-	-
NO	person.MARPER	minister	2021-10-14	2022-03-07	-	-	Norges olje- og energiminister	-	-	-
NO	person.MARPER	minister	2022-03-07	-	-	-	Norges arbeidsminister	-	-	-
NO	person.MMK	minister	1997-10-17	2000-03-17	-	-	Norges sosialminister	-	-	-
NO	person.MMK	minister	2007-09-21	2009-10-20	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.MMK	minister	2009-10-20	2012-06-18	-	-	Norges samferdselsminister	-	-	-
NO	person.MOM	minister	2013-10-16	2018-01-17	-	-	Norges næringsminister	-	-	-
NO	person.MOM	minister	2018-01-17	2020-01-24	-	-	Norges kommunal- og regionalminister	-	-	-
NO	person.MOM	minister	2020-01-24	2021-10-14	-	-	Norges justisminister	-	-	-
NO	person.NA	minister	2018-01-17	2019-01-22	-	-	Norges utviklingsminister	-	-	-
NO	person.NA	minister	2020-01-24	2021-10-14	-	-	Norges kommunal- og regionalminister	-	-	-
