Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
PT	AdalbertoCamposFernandes	minister	2015-11-26	2018-10-15	-	-	Ministro da Saúde	-	-	-
PT	AlexandraLudomilaRibeiroFernandesLeitão	minister	2019-10-26	2022-03-28	-	-	Ministra da Modernização do Estado e da Administração Pública	-	-	-
PT	AnaManuelJerónimoLopesCorreiaMendesGodinho	minister	2019-10-26	2022-03-28	-	-	Ministra do Trabalho, Solidariedade e Segurança Social	-	-	-
PT	AnaMariaPereiraAbrunhosaTrigueirosdeAragão	minister	2019-10-26	2022-03-28	-	-	Ministra da Coesão Territorial	-	-	-
PT	AnaPaulaMendesVitorino	minister	2015-11-26	2019-10-25	-	-	Ministra do Mar	-	-	-
PT	AnabelaMariaPintodeMirandaRodrigues	minister	2014-11-19	2015-10-30	-	-	Ministra da Administração Interna	-	-	-
PT	AntóniodeMagalhãesPiresdeLima	minister	2013-07-24	2015-10-30	-	-	Ministro da Economia	-	-	-
PT	AugustoErnestoSantosSilva	minister	2015-11-26	2019-10-25	-	-	Ministro dos Negócios Estrangeiros	-	-	-
PT	AugustoErnestoSantosSilva	minister	2019-10-26	2022-03-28	-	-	Ministro de Estado e dos Negócios Estrangeiros	-	-	-
PT	CarlosHenriquedaCostaNeves	minister	2015-10-30	2015-11-25	-	-	Ministro dos Assuntos Parlamentares	-	-	-
PT	EduardoArméniodoNascimentoCabrita	minister	2015-11-26	2017-10-20	-	-	Ministro Adjunto	-	-	-
PT	EduardoArméniodoNascimentoCabrita	minister	2017-10-21	2019-10-24	-	-	Ministro da Administração Interna	-	-	-
PT	EduardoArméniodoNascimentoCabrita	minister	2019-10-26	2021-12-03	-	-	Ministro da Administração Interna	-	-	-
PT	FernandoMimosoNegrão	minister	2015-10-30	2015-11-25	-	-	Ministro da Justiça	-	-	-
PT	FernandoSerraLealdaCosta	minister	2015-10-30	2015-11-25	-	-	Ministro da Saúde	-	-	-
PT	FranciscaEugéniadaSilvaDiasVanDunem	minister	2015-11-26	2019-10-25	-	-	Ministra da Justiça	-	-	-
PT	FranciscaEugéniadaSilvaDiasVanDunem	minister	2019-10-26	2022-03-28	-	-	Ministra da Administração Interna	-	-	-
PT	GraçaMariaFonsecaCaetanoGonçalves	minister	2018-10-17	2019-10-24	-	-	Ministra da Cultura	-	-	-
