Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
TR	AhmetEşref.Fakıbaba	minister	2018-07-09	2018-07-10	GOV_TR.66	-	-	-	-	-
TR	AhmetEşref.Fakıbaba	minister	2017-07-19	2018-07-08	GOV_TR.65	-	-	-	-	-
TR	Beşir.Atalay	minister	2007-08-29	2011-03-08	GOV_TR.60	-	-	-	-	-
TR	Cevdet.Yılmaz	minister	2015-11-24	2016-05-23	GOV_TR.64	-	-	-	-	-
TR	Cevdet.Yılmaz	minister	2016-05-24	2016-05-24	GOV_TR.65	-	-	-	-	-
TR	Cevdet.Yılmaz	minister	2011-07-06	2014-08-28	GOV_TR.61	-	-	-	-	-
TR	Cevdet.Yılmaz	minister	2014-08-29	2015-08-27	GOV_TR.62	-	-	-	-	-
TR	Faruk.Bal	minister	2002-11-18	2002-11-18	GOV_TR.58	-	-	-	-	-
TR	Faruk.Bal	minister	1999-05-28	2002-11-17	GOV_TR.57	-	-	-	-	-
TR	Fikri.Işık	minister	2013-12-25	2014-08-28	GOV_TR.61	-	-	-	-	-
TR	Fikri.Işık	minister	2014-08-29	2015-08-27	GOV_TR.62	-	-	-	-	-
TR	Fikri.Işık	minister	2015-08-28	2015-11-23	GOV_TR.63	-	-	-	-	-
TR	Fikri.Işık	minister	2015-11-24	2016-05-23	GOV_TR.64	-	-	-	-	-
TR	Fikri.Işık	minister	2016-05-24	2017-07-18	GOV_TR.65	-	-	-	-	-
TR	Hayati.Yazıcı	minister	2007-08-29	2011-07-05	GOV_TR.60	-	-	-	-	-
TR	Hayati.Yazıcı	minister	2011-07-06	2014-08-28	GOV_TR.61	-	-	-	-	-
TR	Hayati.Yazıcı	minister	2014-08-29	2014-08-29	GOV_TR.62	-	-	-	-	-
TR	Koray.Aydın	minister	1999-05-28	2001-09-05	GOV_TR.57	-	-	-	-	-
TR	Mehmet.Muş	minister	2021-04-21	-	GOV_TR.66	-	-	-	-	-
TR	Mehmet.Sağlam	minister	1997-06-30	1997-06-30	GOV_TR.55	-	-	-	-	-
TR	Mehmet.Sağlam	minister	1996-06-28	1997-06-29	GOV_TR.54	-	-	-	-	-
TR	Meral.Akşener	minister	1996-11-08	1997-06-29	GOV_TR.54	-	-	-	-	-
TR	Meral.Akşener	minister	1997-06-30	1997-06-30	GOV_TR.55	-	-	-	-	-
TR	Mustafa.Elitaş	minister	2015-11-24	2016-05-23	GOV_TR.64	-	-	-	-	-
TR	Mustafa.Elitaş	minister	2016-05-24	2016-05-24	GOV_TR.65	-	-	-	-	-
TR	Nurettin.Canikli	minister	2015-08-28	2015-08-28	GOV_TR.63	-	-	-	-	-
TR	Nurettin.Canikli	minister	2014-08-29	2015-08-27	GOV_TR.62	-	-	-	-	-
TR	Nurettin.Canikli	minister	2018-07-09	2018-07-09	GOV_TR.66	-	-	-	-	-
TR	Nurettin.Canikli	minister	2017-07-19	2018-07-08	GOV_TR.65	-	-	-	-	-
TR	Oktay.Vural	minister	2001-07-30	2002-08-05	GOV_TR.57	-	-	-	-	-
TR	OsmanAşkın.Bak	minister	2018-07-09	2018-07-09	GOV_TR.66	-	-	-	-	-
TR	OsmanAşkın.Bak	minister	2017-07-19	2018-07-08	GOV_TR.65	-	-	-	-	-
TR	Taner.Yıldız	minister	2011-07-06	2014-08-28	GOV_TR.61	-	-	-	-	-
TR	Taner.Yıldız	minister	2015-08-28	2015-08-28	GOV_TR.63	-	-	-	-	-
TR	Taner.Yıldız	minister	2014-08-29	2015-08-27	GOV_TR.62	-	-	-	-	-
TR	Taner.Yıldız	minister	2009-05-01	2011-07-05	GOV_TR.60	-	-	-	-	-
TR	İdrisNaim.Şahin	minister	2011-06-06	2011-07-05	GOV_TR.60	-	-	-	-	-
TR	İdrisNaim.Şahin	minister	2011-07-06	2013-01-24	GOV_TR.61	-	-	-	-	-
TR	İsmet.Yılmaz	minister	2016-05-24	2018-07-08	GOV_TR.65	-	-	-	-	-
TR	İsmet.Yılmaz	minister	2018-07-09	2018-07-09	GOV_TR.66	-	-	-	-	-
TR	İsmet.Yılmaz	minister	2015-11-24	2016-05-23	GOV_TR.64	-	-	-	-	-
TR	İsmet.Yılmaz	minister	2007-08-29	2007-08-29	GOV_TR.60	-	-	-	-	-
TR	İsmet.Yılmaz	minister	2007-05-08	2007-08-28	GOV_TR.59	-	-	-	-	-
