Country	SpeakerID	Name	Sex
BA	ČamparaAvdo	Čampara, Avdo	M
BA	DžaferovićŠefik	Džaferović, Šefik	M
BA	HercegMugdin	Herceg, Mugdin	M
BA	ŠarčevićIsmet	Šarčević, Ismet	M
BA	MadunićIvan	Madunić, Ivan	M
BA	MarićZoran	Marić, Zoran	M
BA	LjubičićDrago	Ljubičić, Drago	M
BA	MalićMomir	Malić, Momir	M
BA	PajićĐoko	Pajić, Đoko	M
BA	RistanRistić	Ristan, Ristić	M
BA	ŽigićIzet	Žigić, Izet	M
BA	ŠoljićVladimir	Šoljić, Vladimir	M
BA	ZorićVinko	Zorić, Vinko	M
BA	ŽivkovićIvo	Živković, Ivo	M
BA	TošićMomir	Tošić, Momir	M
BA	GenjacHalid	Genjac, Halid	M
BA	JusufovićMunib	Jusufović, Munib	M
BA	SpahićIbrahim	Spahić, Ibrahim	M
BA	DivkovićIvo	Divković, Ivo	M
BA	IvankovićJerko	Ivanković, Jerko	M
BA	SušacNiko	Sušac, Niko	M
BA	IlićDragutin	Ilić, Dragutin	M
BA	NovakovićMomčilo	Novaković, Momčilo	M
BA	RodićDragutin	Rodić, Dragutin	M
BA	TokićSejfudin	Tokić, Sejfudin	M
BA	ŠimićIlija	Šimić, Ilija	M
BA	ŠpirićNikola	Špirić, Nikola	M
BA	TučjačaninGoran	Tučjačanin, Goran	M
BA	NeimarlijaHilmo	Neimarlija, Hilmo	M
BA	BrkaOsman	Brka, Osman	M
BA	ČengićHasan	Čengić, Hasan	M
BA	PamukMustafa	Pamuk, Mustafa	M
BA	JukićVelimir	Jukić, Velimir	M
BA	FilipovićIlija	Filipović, Ilija	M
BA	LimovTomislav	Limov, Tomislav	M
BA	MilojevićGoran	Milojević, Goran	M
BA	SpajićAnto	Spajić, Anto	M
BA	ZrnoBranko	Zrno, Branko	M
BA	ŠiljegovićBoško	Šiljegović, Boško	M
BA	StojanovićRuža	Stojanović, Ruža	F
BA	RadovanovićVinko	Radovanović, Vinko	M
BA	ČoloAlma	Čolo, Alma	F
BA	IvanićMladen	Ivanić, Mladen	M
BA	IbrahimpašićAdem	Ibrahimpašić, Adem	M
BA	JovićIvoMiro	Jović, Ivo Miro	M
BA	KoprivicaZoran	Koprivica, Zoran	M
BA	MajkićDušanka	Majkić, Dušanka	F
BA	LjubićBožo	Ljubić, Božo	M
BA	RajićBožo	Rajić, Božo	M
BA	RančićHazim	Rančić, Hazim	M
BA	TihićSulejman	Tihić, Sulejman	M
BA	ŠarabaSlobodan	Šaraba, Slobodan	M
BA	BećirovićHasan	Bećirović, Hasan	M
BA	BradarićMehmed	Bradarić, Mehmed	M
BA	ČovićDragan	Čović, Dragan	M
BA	HodžićSeudin	Hodžić, Seudin	M
BA	KapetanovićNermina	Kapetanović, Nermina	F
BA	KošaracStaša	Košarac, Staša	M
BA	KrešićStjepan	Krešić, Stjepan	M
BA	KrištoBorjana	Krišto, Borjana	F
BA	RagužMartin	Raguž, Martin	M
BA	SimićKrstan	Simić, Krstan	M
BA	TadićOgnjen	Tadić, Ognjen	M
BA	VrdoljakKrunoslav	Vrdoljak, Krunoslav	M
BA	KadićSead	Kadić, Sead	M
BA	PodžićSifet	Podžić, Sifet	M
BA	RadončićFahrudin	Radončić, Fahrudin	M
BA	ČolakBariša	Čolak, Bariša	M
BA	KaramatićMario	Karamatić, Mario	M
BA	DžambasZdenka	Džambas, Zdenka	F
BA	RadmanovićNebojša	Radmanović, Nebojša	M
BA	NovićSredoje	Nović, Sredoje	M
BA	BabaljDarko	Babalj, Darko	M
BA	SoftićSafet	Softić, Safet	M
BA	ZovkoLjilja	Zovko, Ljilja	F
BA	AlagićRaifa	Alagić, Raifa	F
BA	BičakčićEdhem	Bičakčić, Edhem	M
BA	ČaršimamovićTarik	Čaršimamović, Tarik	M
BA	BećirbašićSmail	Bećirbašić, Smail	M
BA	BogićevićBogić	Bogićević, Bogić	M
BA	BakovićMirko	Baković, Mirko	M
BA	BaltaRadenka	Balta, Radenka	F
BA	DeretićMiodrag	Deretić, Miodrag	M
BA	BošnjakMilenka	Bošnjak, Milenka	F
BA	BanjacMirko	Banjac, Mirko	M
BA	FilipovićMediha	Filipović, Mediha	F
BA	JahićAdnan	Jahić, Adnan	M
BA	KadićRasim	Kadić, Rasim	M
BA	KarićMunira	Karić, Munira	F
BA	ĐedovićIbrahim	Đedović, Ibrahim	M
BA	HavelAna	Havel, Ana	F
BA	DokićBranko	Dokić, Branko	M
BA	JovanovićBranislava	Jovanović, Branislava	F
BA	KulovićHamdija	Kulović, Hamdija	M
BA	OručevićSafet	Oručević, Safet	M
BA	MalkićAbdurahman	Malkić, Abdurahman	M
BA	LagumdžijaZlatko	Lagumdžija, Zlatko	M
BA	MijačevićIvo	Mijačević, Ivo	M
BA	MuminagićSuada	Muminagić, Suada	F
