Country	SpeakerID	Name	Sex
BG	PlevnelievRosen	Асенов Плевнелиев, Росен	M
BG	RadevRumen	Георгиев Радев, Румен	M
BG	IotovaIliana	Малинова Йотова, Илияна	F
BG	TajaniAntonio	Таяни, Антонио	M
BG	VoutsisNikos	Вуцис, Николаос	M
BG	GeshevIvan	Стоименов Гешев, Иван	M
BG	TsatsarovSotir	Стефанов Цацаров, Сотир	M
BG	VodenicharovStefan	Борисов Воденичаров, Стефан	M
BG	RevalskiJulian	Петров Ревалски, Юлиан	M
BG	GenchovskaTeodora	Димитрова Генчовска, Теодора	F
BG	PopovAngel	Попов, Ангел	M
BG	ZapryanovAtanas	Димитров Запрянов, Атанас	M
BG	PetkovBiser	Петков, Бисер	M
BG	ManolovBiser	Стоянов Манолов, Бисер	M
BG	BanovBoil	Банов, Боил	M
BG	MalinovBojko	Малинов, Бойко	M
BG	PenkovBojko	Пенков, Бойко	M
BG	PoryazovValentin	Порязов, Валентин	M
BG	BorisovValeri	Борисов, Валери	M
BG	StonovVasil	Атанасов Щонов, Васил	M
BG	GrudevVasil	Грудев, Васил	M
BG	KrystevaVerginya	Кръстева, Вергиния	F
BG	KostovGeorgi	Костов, Георги	M
BG	DonevGylyb	Спасов Донев, Гълъб	M
BG	KostovDimityr	Иванов Костов, Димитър	M
BG	KyumyurdzhievDimityr	Иванов Кюмюрджиев, Димитър	M
BG	KaranikolovEmil	Любенов Караниколов, Емил	M
BG	NachevaZheni	Начева, Жени	F
BG	RoussinovaZornitsa	Димитрова Русинова, Зорница	F
BG	DimovIvan	Димов, Иван	M
BG	CanovaIliyana	Димитрова Цанова, Илияна	F
BG	SemerdzievIlko	Тодоров Семерджиев, Илко	M
BG	KostovaIrina	Стойкова Костова, Ирина	F
BG	MihajlovaIskra	Димитрова Михайлова, Искра	F
BG	HristoskovYordan	Атанасов Христосков, Йордан	M
BG	BakalovYordan	Иванов Бакалов, Йордан	M
BG	AngelievaKarina	Любомирова Ангелиева, Карина	F
BG	LazarovLazar	Лазаров, Лазар	M
BG	IvanovaLiliya	Иванова, Лилия	F
BG	VasilevaLozana	Василева, Лозана	F
BG	PetrovLyuben	Петров, Любен	M
BG	NikolovaMariyana	Петкова Николова, Марияна	F
BG	NenkovMiroslav	Ненков Ненков, Мирослав	M
BG	PavlovNikolay	Ангелов Павлов, Николай	M
BG	PetrovNikolay	Кирилов Петров, Николай	M
BG	GerdzhikovOgnyan	Стефанов Герджиков, Огнян	M
BG	GudzhovPavel	Гуджов, Павел	M
BG	UzunovPlamen	Димитров Узунов, Пламен	M
BG	PorozhanovRumen	Порожанов, Румен	M
BG	AleksandrovRumen	Александров, Румен	M
BG	KolarovaRumyana	Коларова, Румяна	F
BG	ZhekovaSvetlana	Жекова, Светлана	F
BG	PopnikolovSpas	Владимиров Попниколов, Спас	M
BG	MihaylovaTanya	Михайлова, Таня	F
BG	TanevTodor	Александров Танев, Тодор	M
BG	TerziyskiChristo	Терзийски, Христо	M
BG	YordanovAleksandyr	Янакиев Йорданов, Александър	M
BG	DjumalievaAna	Джумалиева, Ана	F
BG	GekovAngel	Геков, Ангел	M
BG	Anonymous	Анонимен Анонимен, Анонимен	-
BG	StoimenovaAsena	Стоименова, Асена	F
BG	HjuseinovBaki	Хюсеинов, Баки	M
BG	ZhotevaBetina	Жотева, Бетина	F
BG	AtanasovBoyko	Атанасов Атанасов, Бойко	M
BG	RanovskiBojko	Рановски, Бойко	M
BG	ChalakovBorislav	Чалъков, Борислав	M
BG	MagdalinchevBojan	Георгиев Магдалинчев, Боян	M
BG	PetkovVladomir	Димитров Петков, Валентин	M
BG	TakevVasiliy	Такев, Василий	M
BG	KaradzhovVentsislav	Караджов, Венцислав	M
BG	MutafchiyskiVentsislav	Мутафчийски, Венцислав	M
BG	BojkovVeselin	Божков, Веселин	M
BG	YotsovViktor	Йоцов, Виктор	M
BG	SavovVladimir	Николаев Савов, Владимир	M
BG	VladimirovVladko	Генчов Владимиров, Владко	M
BG	KozarevaGabriela	Николаева Козарева, Габриела	F
BG	DimitrovaGalia	Димитрова, Галя	F
BG	ManasievaGalia	Манасиева, Галя	F
BG	DobrevGeorgi	Добрев, Георги	M
BG	KrystevGeorgi	Кръстев, Георги	M
BG	IvanovGeorigi	Стефанов Иванов, Георги	M
BG	ZlatevGeorgi	Тонев Златев, Георги	M
BG	CholakovGeorgi	Чолаков, Георги	M
BG	StoyanovaGeorgica	Петрова Стоянова, Георгица	F
BG	KomitovGlinka	Комитов, Глинка	M
BG	NikolovaGoritsa	Николова Грънчарова-Кожарева, Горица	F
BG	VazovGrigorij	Цветанов Вазов, Григорий	M
BG	VojnovskiDamjan	Войновски, Дамян	M
BG	IlievDamyan	Илиев, Дамян	M
BG	GeorgievaDesislava	Георгиева, Десислава	F
BG	DechevDecho	Дечев, Дечо	M
BG	KovachevaDiana	Петрова Ковачева, Диана	F
BG	UzunovDimityr	Костадинов Узунов, Димитър	M
BG	IlievDimityr	Крумов Илиев, Димитър	M
BG	RadevDimitar	Радев, Димитър	M
BG	AndreevaDora	Атанасова Андреева, Дора	F
BG	HaritonovaEvgeniya	Христова Харитонова, Евгения	F
BG	EvlogievEmil	Асенов Евлогиев, Емил	M
BG	IvanovIvajlo	Иванов, Ивайло	M
BG	SpiridonovIvajlo	Спиридонов, Ивайло	M
BG	KacarovIvo	Кацаров, Иво	M
BG	HristovaIliana	Илиева Христова, Илиана	F
BG	GanevIliya	Ангелов Ганев, Илия	M
BG	ZhelyazkovIlko	Димитров Желязков, Илко	M
BG	HristovKalin	Димитров Христов, Калин	M
BG	PlochevKamen	Сотиров Плочев, Камен	M
BG	KaraivanovaKarina	Караиванова, Карина	F
BG	BozhanovKrasimir	Божанов, Красимир	M
BG	VitanovKrasimir	Георгиев Витанов, Красимир	M
BG	ZafirovKrasimir	Йорданов Зафиров, Красимир	M
BG	VlahovKrasimir	Красимиров Влахов, Красимир	M
BG	GruevLazar	Груев, Лазар	M
BG	RumenovaLidiya	Руменова, Лидия	F
BG	PanovLozan	Панов, Лозан	M
BG	DacovLyubomir	Василев Дацов, Любомир	M
BG	MinchevMaksim	Христов Минчев, Максим	M
BG	DimitrovaMariana	Димитрова, Мариана	F
BG	AsenovaMaria	Асенова Филипова, Мария	F
BG	MatevaMaria	Георгиева Матева, Мария	F
BG	VladovMihail	Владов, Михаил	M
BG	ChirpanlievNikolay	Чирпанлиев, Николай	M
BG	StoyanovaNina	Стоянова, Нина	F
BG	AtanasovOgnyan	Атанасов Атанасов, Огнян	M
BG	SimeonovOgnyan	Георгиев Симеонов, Огнян	M
BG	AsenovOleg	Димитров Асенов, Олег	M
BG	TrendafilovaPenka	Маркова Трендафилова, Пенка	F
BG	SalchevPetko	Ненков Салчев, Петко	M
BG	DzhelepovPetyr	Георгиев Джелепов, Петър	M
BG	KirovPlamen	Веселинов Киров, Пламен	M
BG	GeorgievPlamen	Георгиев, Пламен	M
BG	KolevPlamen	Колев Иванов, Пламен	M
BG	MilenkovRadoslav	Тодоров Миленков, Радослав	M
BG	OsmanRemzi	Дурмуш Осман, Ремзи	M
BG	TodorovaRumyana	Тодорова, Румяна	F
BG	TodorovaSvetla	Петрова Тодорова, Светла	F
BG	DimitrovaSilviya	Димитрова, Силвия	F
BG	MilevSimeon	Първанов Милев, Симеон	M
BG	StoyanovaSlaveya	Ангелова Стоянова, Славея	F
BG	TochkovaTeodora	Точкова, Теодора	F
BG	TodorovToshko	Иванов Тодоров, Тошко	M
BG	HristovaHristina	Христова, Христина	F
BG	StoykovTsanko	Иванов Стойков, Цанко	M
BG	KitovCvetan	Китов, Цветан	M
BG	CvetkovCvetan	Лилов Цветков, Цветан	M
BG	NenkovaYulia	Рачева Ненкова, Юлия	F
BG	TasimYunal	Тасим Тасим, Юнал	M
BG	ShevkedAdlen	Шукри Шевкед, Адлен	F
BG	EtemAyhan	Ахмед Етем, Айхан	M
BG	PaunovAlexandar	Димитров Паунов, Александър	M
BG	MatsurevAleksandar	Иванов Мацурев, Александър	M
BG	IvanovAleksandar	Койчев Иванов, Александър	M
BG	SidiAleksandar	Маиров Сиди, Александър	M
BG	SabanovAleksandar	Николаев Сабанов, Александър	M
BG	AleksandrovAleksandar	Петров Александров, Александър	M
BG	NenkovAleksandar	Руменов Ненков, Александър	M
BG	SimovAleksandar	Тихомиров Симов, Александър	M
BG	MetodievAleksandar	Христов Методиев, Александър	M
BG	ImamovAliosman	Ибраим Имамов, Алиосман	M
BG	AdamovAltimir	Емилов Адамов, Алтимир	M
BG	BarakovaAna	Георгиева Баракова, Ана	F
BG	PopdimitrovAnastas	Маринов Попдимитров, Анастас	M
BG	IsaevAngel	Илиев Исаев, Ангел	M
BG	NaydenovAngel	Петров Найденов, Ангел	M
BG	DonchevAndon	Димов Дончев, Андон	M
BG	RaykovAndrian	Иванов Райков, Андриан	M
BG	KlisarovaAneliya	Димитрова Клисарова, Анелия	F
BG	AleksandrovaAnna	Василева Александрова, Анна	F
BG	YanevaAnna	Георгиева Янева, Анна	F
BG	SlavovaAnna	Николаева Славова, Анна	F
BG	DolapchievAnton	Ангелов Долапчиев, Антон	M
BG	TodorovAnton	Тодоров, Антон	M
BG	KutevAnton	Константинов Кутев, Антон	M
BG	TrenchevAntoni	Антониев Тренчев, Антони	M
BG	PeevaAsya	Атанасова Пеева, Ася	F
BG	ZafirovAtanas	Зафиров Зафиров, Атанас	M
BG	TashkovAtanas	Иванов Ташков, Атанас	M
BG	AtanassovAtanas	Петров Атанасов, Атанас	M
BG	KostadinovAtanas	Петров Костадинов, Атанас	M
BG	StoyanovAtanas	Славчев Стоянов, Атанас	M
BG	MerdzhanovAtanas	Тодоров Мерджанов, Атанас	M
BG	AhmedovAhmed	Реджебов Ахмедов, Ахмед	M
BG	BotsevBogdan	Емилов Боцев, Богдан	M
BG	LukarskiBozhidar	Цецов Лукарски, Божидар	M
BG	MarinskaBoyka	Грозева Маринска, Бойка	M
BG	RashkovBojko	Рашков, Бойко	M
BG	BorisovBoyko	Методиев Борисов, Бойко	M
BG	StanimirovBoris	Борисов Станимиров, Борис	M
BG	BorisovBoris	Вангелов Борисов, Борис	M
BG	GrozdanovBoris	Крумов Грозданов, Борис	M
BG	KarchevBoris	Петков Кърчев, Борис	M
BG	YachevBoris	Янков Ячев, Борис	M
BG	BorisovBorislavIvanov	Иванов Борисов, Борислав	M
BG	VelikovBorislav	Любенов Великов, Борислав	M
BG	BorisovBorislavMihaylov	Михайлов Борисов, Борислав	M
BG	MilanovBorislav	Райчов Миланов, Борислав	M
BG	IglevBorislav	Сабинов Иглев, Борислав	M
BG	GeorgievaBoryana	Любенова Георгиева, Боряна	F
BG	HasanByunyamin	Хюсеин Хасан, Бюнямин	M
BG	AbazovByurhan	Илиязов Абазов, Бюрхан	M
BG	NikolovValentin	Алексиев Николов, Валентин	M
BG	LambevValentin	Георгиев Ламбев, Валентин	M
BG	RadevValentin	Иванов Радев, Валентин	M
BG	KasabovValentin	Кирилов Касабов, Валентин	M
BG	PavlovValentin	Любенов Павлов, Валентин	M
BG	MilushevValentin	Мирчов Милушев, Валентин	M
BG	IvanovValentin	Николов Иванов, Валентин	M
BG	NaydenovaValentina	Александрова Найденова, Валентина	F
BG	ZhablyanovValeri	Мирчев Жаблянов, Валери	M
BG	SimeonovValeri	Симеонов Симеонов, Валери	M
BG	GeorgievaVania	Донева Георгиева, Ваня	F
BG	AntonovVasil	Миланов Антонов, Васил	M
BG	TsvetkovVasil	Цветков Цветков, Васил	M
BG	RashidovVezhdi	Летиф Рашидов, Вежди	M
BG	ShalamanovVelizar	Матеев Шаламанов, Велизар	M
BG	EnchevVelizar	Пенков Енчев, Велизар	M
BG	KrastevaVelislava	Иванова Кръстева, Велислава	F
BG	StoyanovaVenka	Константинова Стоянова, Венка	F
BG	KaymakanovVencislav	Йорданов Каймаканов, Венцислав	M
BG	LetchevaVessela	Николаева Лечева, Весела	F
BG	KaraivanovaVesela	Николова Караиванова-Начева, Весела	F
BG	VuchkovVeselin	Бориславов Вучков, Веселин	M
BG	MareshkiVeselin	Найденов Марешки, Веселин	M
BG	NenchevaVeska	Маринова Ненчева, Веска	F
BG	LilkovVili	Младенов Лилков, Вили	M
BG	ZhelevaVioleta	Русева Желева, Виолета	F
BG	ValevVladimir	Славчев Вълев, Владимир	M
BG	ToshevVladimir	Цветанов Тошев, Владимир	M
BG	GoranovVladislav	Иванов Горанов, Владислав	M
BG	NikolovVladislav	Тошков Николов, Владислав	M
BG	SiderovVolen	Николов Сидеров, Волен	M
BG	TserovskaVyara	Михайлова Церовска, Вяра	F
BG	ZaharievaGalya	Енева Захариева, Галя	F
BG	GeorgievaGalya	Симеонова Георгиева, Галя	F
BG	ZhelyazkovaGalya	Стоянова Желязкова, Галя	F
BG	GueorguievGueorg	Даниелов Георгиев, Георг	M
BG	KovachevGeorgi	Александров Ковачев, Георги	M
BG	MihaylovGeorgi	Георгиев Михайлов, Георги	M
BG	PirinskiGeorgi	Георгиев Пирински, Георги	M
BG	StoilovGeorgi	Георгиев Стоилов, Георги	M
BG	AndreevGeorgi	Димитров Андреев, Георги	M
BG	MarkovGeorgi	Евдокиев Марков, Георги	M
BG	DinevGeorgi	Запрев Динев, Георги	M
BG	AndonovGeorgi	Иванов Андонов, Георги	M
BG	YordanovGeorgi	Йорданов Йорданов, Георги	M
BG	KolevGeorgi	Колев Колев, Георги	M
BG	KyuchukovGeorgi	Недков Кючуков, Георги	M
BG	VergievGeorgi	Николов Вергиев, Георги	M
BG	NedevGeorgi	Николов Недев, Георги	M
BG	BliznashkiGeorgi	Петков Близнашки, Георги	M
BG	KadievGeorgi	Стоянов Кадиев, Георги	M
BG	SvilenskiGeorgi	Страхилов Свиленски, Георги	M
BG	StankovGeorgi	Тенев Станков, Георги	M
BG	BozhinovGeorgi	Тодоров Божинов, Георги	M
