Country	SpeakerID	Name	Sex
ES	AnguloMaría	Angulo Romero, María Teresa	F
ES	ArnaizMaría	Arnaiz García, María Del Mar	F
ES	AsianMatilde	Asian González, Matilde Pastora	F
ES	AzpiazuPedro	Azpiazu Uriarte, Pedro María	M
ES	BaldovíJoan	Baldoví Roda, Joan	M
ES	BoschAlfred	Bosch Pascual, Alfred	M
ES	BáñezMaría	Báñez García, María Fátima	F
ES	CampuzanoCarles	Campuzano Canadés, Carles	M
ES	CentellaJosé	Centella Gómez, José Luis	M
ES	CorralLucila	Corral Ruiz, Lucila	F
ES	CoscubielaJoan	Coscubiela Conesa, Joan	M
ES	CuadraSabino	Cuadra Lasarte, Sabino	M
ES	FernándezMaría	Fernández Davila, María Olaia	F
ES	HernándezPatricia	Hernández Gutiérrez, Patricia	F
ES	JanéJordi	Jané Guasch, Jordi	M
ES	MataríJuan	Matarí Sáez, Juan José	M
ES	MontoroCristóbal	Montoro Romero, Cristóbal Ricardo	M
ES	OlabarríaEmilio	Olabarría Muñoz, Emilio	M
ES	OramasAna	Oramas González-moro, Ana María	F
ES	OñateSilvia	Oñate Moya, Silvia	F
ES	PicóAntoni	Picó Azanza, Antoni	M
ES	PérezJuan	Pérez Aras, Juan Vicente	M
ES	QuevedoPedro	Quevedo Iturbe, Pedro	M
ES	SauraPedro	Saura García, Pedro	M
ES	SimancasRafael	Simancas Simancas, Rafael	M
ES	SixtoRicardo	Sixto Iglesias, Ricardo	M
ES	SánchezJosep	Sánchez Llibre, Josep	M
ES	TardàJoan	Tardà Coma, Joan	M
ES	VillalobosCelia	Villalobos Talero, Celia	F
ES	AlonsoAlfonso	Alonso Aranegui, Alfonso	M
ES	BarredaLeopoldo	Barreda Los Ríos, Leopoldo	M
ES	CantóAntonio	Cantó García Moral, Antonio	M
ES	CataláRafael	Catalá Polo, Rafael	M
ES	DíezRosa	Díez González, Rosa María	F
ES	EstebanAitor	Esteban Bravo, Aitor	M
ES	FernándezJorge	Fernández Díaz, Jorge	M
ES	FlorianoCarlos	Floriano Corrales, Carlos Javier	M
ES	GarzónAlberto	Garzón Espinosa, Alberto	M
ES	HerediaMiguel	Heredia Díaz, Miguel Ángel	M
ES	HernandoAntonio	Hernando Vera, Antonio	M
