Country	SpeakerID	Name	Sex	
LT	AčienėVida	Ačienė, Vida	F
LT	AdomėnasMantas	Adomėnas, Mantas	M
LT	AleknaVirgilijus	Alekna, Virgilijus	M
LT	AleknaitėAbramikienėVilija	Aleknaitė Abramikienė, Vilija	F
LT	AndrikisRimas	Andrikis, Rimas	M
LT	AnušauskasArvydas	Anušauskas, Arvydas	M
LT	ArmonaitėAušrinė	Armonaitė, Aušrinė	F
LT	AžubalisAudronius	Ažubalis, Audronius	M
LT	ĄžuolasValius	Ąžuolas, Valius	M
LT	BacvinkaKęstutis	Bacvinka, Kęstutis	M
LT	BakasVytautas	Bakas, Vytautas	M
LT	BalsysLinas	Balsys, Linas	M
LT	BartkevičiusKęstutis	Bartkevičius, Kęstutis	M
LT	BastysMindaugas	Bastys, Mindaugas	M
LT	BaškienėRima	Baškienė, Rima	F
LT	BaublysJuozas	Baublys, Juozas	M
LT	BauraAntanas	Baura, Antanas	M
LT	BernatonisJuozas	Bernatonis, Juozas	M
LT	BilotaitėAgnė	Bilotaitė, Agnė	F
LT	BradauskasBronius	Bradauskas, Bronius	M
LT	BudbergytėRasa	Budbergytė, Rasa	F
LT	BukauskasValentinas	Bukauskas, Valentinas	M
LT	BurokienėGuoda	Burokienė, Guoda	F
LT	ButkevičiusAlgirdas	Butkevičius, Algirdas	M
LT	ČimbarasPetras	Čimbaras, Petras	M
LT	Čmilytė-nielsenViktorija	Čmilytė-Nielsen, Viktorija	F
LT	DagysRimantasJonas	Dagys, Rimantas Jonas	M
LT	DegutienėIrena	Degutienė, Irena	F
LT	DumbravaAlgimantas	Dumbrava, Algimantas	M
LT	DžiugelisJustas	Džiugelis, Justas	M
LT	GaidžiūnasAurimas	Gaidžiūnas, Aurimas	M
LT	GailiusVitalijus	Gailius, Vitalijus	M
LT	GaižauskasDainius	Gaižauskas, Dainius	M
LT	GedvilienėAistė	Gedvilienė, Aistė	F
LT	GelūnasArūnas	Gelūnas, Arūnas	M
LT	GentvilasEugenijus	Gentvilas, Eugenijus	M
LT	GentvilasSimonas	Gentvilas, Simonas	M
LT	GlaveckasKęstutis	Glaveckas, Kęstutis	M
LT	GražulisPetras	Gražulis, Petras	M
LT	GumuliauskasArūnas	Gumuliauskas, Arūnas	M
LT	HaaseIrena	Haase, Irena	F
LT	ImbrasasJuozas	Imbrasas, Juozas	M
LT	JakeliūnasStasys	Jakeliūnas, Stasys	M
LT	JankuvienėAudronė	Jankuvienė, Audronė	F
LT	JarutisJonas	Jarutis, Jonas	M
LT	JedinskijZbignev	Jedinskij, Zbignev	M
LT	JonaitisLiudas	Jonaitis, Liudas	M
LT	JovaišaEugenijus	Jovaiša, Eugenijus	M
LT	JovaišaSergejus	Jovaiša, Sergejus	M
LT	JuknevičienėRasa	Juknevičienė, Rasa	F
LT	JuozapaitisVytautas	Juozapaitis, Vytautas	M
LT	JuškaRičardas	Juška, Ričardas	M
LT	KamblevičiusVytautas	Kamblevičius, Vytautas	M
LT	KaminskasDarius	Kaminskas, Darius	M
LT	KarbauskisRamūnas	Karbauskis, Ramūnas	M
LT	KasčiūnasLaurynas	Kasčiūnas, Laurynas	M
LT	KepenisDainius	Kepenis, Dainius	M
LT	KernagisVytautas	Kernagis, Vytautas	M
LT	KildišienėGreta	Kildišienė, Greta	F
LT	KindurysGintautas	Kindurys, Gintautas	M
LT	KirkilasGediminas	Kirkilas, Gediminas	M
LT	KirkutisAlgimantas	Kirkutis, Algimantas	M
LT	KravčionokVanda	Kravčionok, Vanda	F
LT	KreivysDainius	Kreivys, Dainius	M
LT	KubilienėAsta	Kubilienė, Asta	F
LT	KubiliusAndrius	Kubilius, Andrius	M
LT	KupčinskasAndrius	Kupčinskas, Andrius	M
LT	KuzmickienėPaulė	Kuzmickienė, Paulė	F
LT	LandsbergisGabrielius	Landsbergis, Gabrielius	M
LT	LangaitisTadas	Langaitis, Tadas	M
LT	LiesysJonas	Liesys, Jonas	M
LT	LinkevičiusLinasAntanas	Linkevičius, Linas Antanas	M
LT	MackevičMichal	Mackevič, Michal	M
LT	MajauskasMykolas	Majauskas, Mykolas	M
LT	MaldeikienėAušra	Maldeikienė, Aušra	F
LT	MarkauskasBronius	Markauskas, Bronius	M
LT	MartinėlisRaimundas	Martinėlis, Raimundas	M
LT	MasiulisKęstutis	Masiulis, Kęstutis	M
LT	MatelisBronislovas	Matelis, Bronislovas	M
