Country	SpeakerID	Name	Sex
LV	AšeradensArvils	Ašeradens, Arvils	M
LV	SudrabaInguna	Sudraba, Inguna	F
LV	CilinskisEinārs	Cilinskis, Einārs	M
LV	BalodisRingolds	Balodis, Ringolds	M
LV	BudriķisUldis	Budriķis, Uldis	M
LV	KreituseLīva	Kreituse, Līva	F
LV	JansonsJuris	Jansons, Juris	M
LV	BondarsMārtiņš	Bondars, Mārtiņš	M
LV	LočmeleRegīna	Ločmele, Regīna	F
LV	LiepkalnsViesturs	Liepkalns, Viesturs	M
LV	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F
LV	IesalnieksJānis	Iesalnieks, Jānis	M
LV	RancānsJuris	Rancāns, Juris	M
LV	RiekstiņšSandis	Riekstiņš, Sandis	M
LV	RibakovsIvans	Ribakovs, Ivans	M
LV	KrēsliņšKārlis	Krēsliņš, Kārlis	M
LV	ŠmitsDidzis	Šmits, Didzis	M
LV	PetravičaRamona	Petraviča, Ramona	F
LV	ĢirģensKaspars	Ģirģens, Kaspars	M
LV	BoķisInesis	Boķis, Inesis	M
LV	PuntulisNauris	Puntulis, Nauris	M
LV	ElksniņšAndrejs	Elksniņš, Andrejs	M
LV	GobzemsAldis	Gobzems, Aldis	M
LV	ĶirsisVilnis	Ķirsis, Vilnis	M
LV	BerkovsDžons	Berkovs, Džons	M
LV	ViņķeleIlze	Viņķele, Ilze	F
LV	LatkovskisAinars	Latkovskis, Ainars	M
LV	MožvilloMāris	Možvillo, Māris	M
LV	MičerevskisMāris	Mičerevskis, Māris	M
LV	Reizniece-OzolaDana	Reizniece-Ozola, Dana	F
LV	IndriksoneIlze	Indriksone, Ilze	F
LV	Kursīte-PakuleJanīna	Kursīte-Pakule, Janīna	F
LV	TrupovnieksJānis	Trupovnieks, Jānis	M
LV	SpolītisVeiko	Spolītis, Veiko	M
LV	MārtužaEva	Mārtuža, Eva	F
LV	DūrītisIlmārs	Dūrītis, Ilmārs	M
LV	ŅikiforovsŅikita	Ņikiforovs, Ņikita	F
LV	Ivanova-JevsejevaMarjana	Ivanova-Jevsejeva, Marjana	F
LV	JudinsAndrejs	Judins, Andrejs	M
LV	EglītsJānis	Eglīts, Jānis	M
LV	KrūmiņaElita	Krūmiņa, Elita	F
LV	BuiķisAndris	Buiķis, Andris	M
LV	PotapkinsSergejs	Potapkins, Sergejs	M
LV	BiteInga	Bite, Inga	F
LV	LejiņšAtis	Lejiņš, Atis	M
LV	StraujumaLaimdota	Straujuma, Laimdota	F
LV	ReirsJānis	Reirs, Jānis	M
LV	PanteļējevsAndrejs	Panteļējevs, Andrejs	M
LV	RībenaInguna	Rībena, Inguna	F
LV	KozlovskaLīga	Kozlovska, Līga	F
LV	GeidānsAivars	Geidāns, Aivars	M
LV	ĀboltiņaSolvita	Āboltiņa, Solvita	F
LV	ĀdamsonsJānis	Ādamsons, Jānis	M
LV	KolsRihards	Kols, Rihards	M
LV	PavļutsDaniels	Pavļuts, Daniels	M
LV	Benhena-BēkenaIveta	Benhena-Bēkena, Iveta	F
LV	IrklisRolands	Irklis, Rolands	M
LV	LaizāneInese	Laizāne, Inese	F
LV	BluķeDace	Bluķe, Dace	F
LV	ŠadurskisKārlis	Šadurskis, Kārlis	M
LV	ČigāneLolita	Čigāne, Lolita	F
LV	MetsolaRoberta	Metsola, Roberta	F
LV	LīdakaIngmārs	Līdaka, Ingmārs	M
LV	DambeValters	Dambe, Valters	M
LV	BrīversIvars	Brīvers, Ivars	M
LV	SkujiņšValdis	Skujiņš, Valdis	M
LV	MirskisSergejs	Mirskis, Sergejs	M
LV	FērijsDžordžs	Fērijs, Džordžs	M
LV	ĢirģensSandis	Ģirģens, Sandis	M
LV	VilciņšAinārs	Vilciņš, Ainārs	M
LV	NestorsEiki	Nestors, Eiki	M
LV	Kalniņa-LukaševicaZanda	Kalniņa-Lukaševica, Zanda	F
LV	AugulisUldis	Augulis, Uldis	M
LV	BrigmanisAugusts	Brigmanis, Augusts	M
LV	KlaužsJānis	Klaužs, Jānis	M
LV	ŠulcsJuris	Šulcs, Juris	M
LV	Zālīte-GrosaEvita	Zālīte-Grosa, Evita	F
LV	TēraudaVitaAnda	Tērauda, Vita Anda	F
LV	MiloslavskisRomans	Miloslavskis, Romans	M
LV	ŠvecovaĻubova	Švecova, Ļubova	F
LV	ZaķisDzintars	Zaķis, Dzintars	M
LV	MuižnieceAnita	Muižniece, Anita	F
LV	CilevičsBoriss	Cilevičs, Boriss	M
LV	RuksJānis	Ruks, Jānis	M
LV	DūklavsJānis	Dūklavs, Jānis	M
LV	SkrideAndris	Skride, Andris	M
LV	ZakatistovsAtis	Zakatistovs, Atis	M
LV	BašķisAinars	Bašķis, Ainars	M
LV	LiepiņaLiene	Liepiņa, Liene	F
LV	ŽunnaNormunds	Žunna, Normunds	M
LV	NikonovsVladimirs	Nikonovs, Vladimirs	M
LV	JakimovsAleksandrs	Jakimovs, Aleksandrs	M
LV	ValainisViktors	Valainis, Viktors	M
LV	GudfinsonsEinars	Gudfinsons, Einars	M
LV	KalnozolsValdis	Kalnozols, Valdis	M
LV	RubiksArtūrs	Rubiks, Artūrs	M
LV	KrūmiņšVaris	Krūmiņš, Varis	M
LV	ZelenskisVolodimirs	Zelenskis, Volodimirs	M
LV	BērziņšGaidis	Bērziņš, Gaidis	M
LV	SeržantsKārlis	Seržants, Kārlis	M
LV	BelēvičsGuntis	Belēvičs, Guntis	M
LV	MedneLinda	Medne, Linda	F
LV	LevitsEgils	Levits, Egils	M
LV	SprūdeKarina	Sprūde, Karina	F
LV	RusiņšGunārs	Rusiņš, Gunārs	M
LV	PugaIvars	Puga, Ivars	M
LV	VucānsJānis	Vucāns, Jānis	M
LV	RasmanisArtis	Rasmanis, Artis	M
LV	OzolaLinda	Ozola, Linda	F
LV	LatkovskisIlmārs	Latkovskis, Ilmārs	M
LV	GolubevaMarija	Golubeva, Marija	F
LV	PucensĒriks	Pucens, Ēriks	M
LV	ŠuplinskaIlga	Šuplinska, Ilga	F
LV	GerhardsKaspars	Gerhards, Kaspars	M
LV	JansonsRitvars	Jansons, Ritvars	M
LV	BaumaneKrista	Baumane, Krista	F
LV	ViļumsJuris	Viļums, Juris	M
LV	MeijaAivars	Meija, Aivars	M
LV	IkstenaInese	Ikstena, Inese	F
LV	EglītisGatis	Eglītis, Gatis	M
LV	ŠnoreEdvīns	Šnore, Edvīns	M
LV	PapuleEvija	Papule, Evija	F
LV	KučinskisMāris	Kučinskis, Māris	M
LV	KursīteJanīna	Kursīte, Janīna	F
