Country	SpeakerID	Name	Sex	
PL	AbramowiczAdam	Abramowicz, Adam	M
PL	AbramowiczZbigniew	Abramowicz, Zbigniew	M
PL	AdamczakAlicja	Adamczak, Alicja	F
PL	AdamczykAndrzej	Adamczyk, Andrzej	M
PL	AdamczykRafał	Adamczyk, Rafał	M
PL	AdamiecTadeusz	Adamiec, Tadeusz	M
PL	AdamowiczPiotr	Adamowicz, Piotr	M
PL	Administracjii	Administracji, i	M
PL	AjchlerRomuald	Ajchler, Romuald	M
PL	AjchlerZbigniew	Ajchler, Zbigniew	M
PL	AmbrozikRafał	Ambrozik, Rafał	M
PL	AncyparowiczMaria	Ancyparowicz, Maria	F
PL	AndersAnnaMaria	Anders, Maria	F
PL	AndruszkiewiczAdam	Andruszkiewicz, Adam	M
PL	AndzelWaldemar	Andzel, Waldemar	M
PL	AniśkoTomasz	Aniśko, Tomasz	M
PL	ApelPiotr	Apel, Piotr	M
PL	Arciszewska-MielewczykDorota	Arciszewska-Mielewczyk, Dorota	F
PL	ArdanowskiJan	Ardanowski, Jan	M
PL	ArdanowskiKrzysztof	Ardanowski, Krzysztof	M
PL	ArentIwona	Arent, Iwona	F
PL	ArndtPaweł	Arndt, Paweł	M
PL	ArłukowiczBartosz	Arłukowicz, Bartosz	M
PL	AstMarek	Ast, Marek	M
PL	AugustMieczysław	August, Mieczysław	M
PL	AugustynMieczysław	Augustyn, Mieczysław	M
PL	AugustynMieczyław	Augustyn, Mieczyław	M
PL	AugustynUrszula	Augustyn, Urszula	F
PL	AugustynaMieczysław	Augustyna, Mieczysław	M
PL	AugustynowskaJoanna	Augustynowska, Joanna	F
PL	AziewiczTadeusz	Aziewicz, Tadeusz	M
PL	BabalskiZbigniew	Babalski, Zbigniew	M
PL	BabiarzPiotr	Babiarz, Piotr	M
PL	BabinetzPiotr	Babinetz, Piotr	M
PL	BadoraMaciej	Badora, Maciej	M
PL	BakunWojciech	Bakun, Wojciech	M
PL	BanasiukJoanna	Banasiuk, Joanna	F
PL	BanaśMarcin	Banaś, Marcin	M
PL	BanaśMarian	Banaś, Marian	M
PL	BandoMaciej	Bando, Maciej	M
PL	BaranowskiHenryk	Baranowski, Henryk	M
PL	BartosiewiczMarzena	Bartosiewicz, Marzena	F
PL	BartosikRyszard	Bartosik, Ryszard	M
PL	BartoszewskiWładysław	Bartoszewski, Władysław	M
PL	BartuśBarbara	Bartuś, Barbara	F
PL	BaszkoMieczysław	Baszko, Mieczysław	M
PL	Baziak-JankowskaJolanta	Baziak-Jankowska, Jolanta	F
PL	BańkaWitold	Bańka, Witold	M
PL	BańkowskiPaweł	Bańkowski, Paweł	M
PL	BašićRamiz	Bašić, Ramiz	M
PL	BejdaErnest	Bejda, Ernest	M
PL	BejdaPaweł	Bejda, Paweł	M
PL	BekJoanna	Bek, Joanna	F
PL	BerkowiczKonrad	Berkowicz, Konrad	M
PL	BernackiWłodzimierz	Bernacki, Włodzimierz	M
PL	BiałkowskaAnna	Białkowska, Anna	F
PL	BiałkowskiJan	Białkowski, Jan	M
PL	BiedaHalina	Bieda, Halina	F
PL	BiejatMagdalena	Biejat, Magdalena	F
PL	Bielak-JomaaEdyta	Bielak-Jomaa, Edyta	F
PL	BielanAdam	Bielan, Adam	M
PL	BieleckiGrzegorz	Bielecki, Grzegorz	M
PL	BieleckiJerzy	Bielecki, Jerzy	M
PL	BiereckiGrzegorz	Bierecki, Grzegorz	M
PL	BiernackiMarek	Biernacki, Marek	M
PL	BiernatZbigniew	Biernat, Zbigniew	M
PL	BittelAndrzej	Bittel, Andrzej	M
PL	BoberRyszard	Bober, Ryszard	M
PL	BobkoAleksander	Bobko, Aleksander	M
PL	BochenekMateusz	Bochenek, Mateusz	M
PL	BochenekRafał	Bochenek, Rafał	M
PL	BochniarzHenryka	Bochniarz, Henryka	F
PL	BochwicTeresa	Bochwic, Teresa	F
PL	BodnarAdam	Bodnar, Adam	M
PL	BoguckiJacek	Bogucki, Jacek	M
PL	BojanowskaElżbieta	Bojanowska, Elżbieta	F
PL	BonisławskiRyszard	Bonisławski, Ryszard	M
PL	BonkowskiWaldemar	Bonkowski, Waldemar	M
PL	BorowczakJerzy	Borowczak, Jerzy	M
