Country	SpeakerID	Name	Sex
RS	AksentijevićSiniša	Aksentijević, Siniša	M
RS	VlahovićSlobodan	Vlahović, Slobodan	M
RS	StojmenovićJovica	Stojmenović, Jovica	F
RS	StudenStanko	Studen, Stanko	M
RS	SuljevićXemail	Suljević, Xemail	M
RS	TodorovićVasilije	Todorović, Vasilije	M
RS	TomčićMilovan	Tomčić, Milovan	M
RS	HinićSlavko	Hinić, Slavko	M
RS	ColićMomčilo	Colić, Momčilo	M
RS	ČokićČolePredrag	Čokić-Čole, Predrag	M
RS	ŠljivićMilomir	Šljivić, Milomir	M
RS	VrbaškiStevan	Vrbaški, Stevan	M
RS	VujanovićBožidar	Vujanović, Božidar	M
RS	VujačićSlobodan	Vujačić, Slobodan	M
RS	VujovićSlavoljub	Vujović, Slavoljub	M
RS	VulovićSrđan	Vulović, Srđan	M
RS	VučićMiroslav	Vučić, Miroslav	M
RS	GavrilovićSvetozar	Gavrilović, Svetozar	M
RS	GligorijevićZoran	Gligorijević, Zoran	M
RS	GolubovićDragan	Golubović, Dragan	M
RS	AleksićGradimir	Aleksić, Gradimir	M
RS	GrubetićIvan	Grubetić, Ivan	M
RS	DizdarevićFaruk	Dizdarević, Faruk	M
RS	DimitrijevićMilić	Dimitrijević, Milić	M
RS	DinićVoja	Dinić, Voja	M
RS	DobrićDobrosav	Dobrić, Dobrosav	M
RS	DramlićMiroslav	Dramlić, Miroslav	M
RS	DukićMilorad	Dukić, Milorad	M
RS	DumbelovićČedo	Dumbelović, Čedo	M
RS	ĐokićNenad	Đokić, Nenad	M
RS	AtanackovićNebojšaBoban	Atanacković, Nebojša-Boban	M
RS	ĐurićDejan	Đurić, Dejan	M
RS	ĐurićSlavoljub	Đurić, Slavoljub	M
RS	ĐurkovićMilivoje	Đurković, Milivoje	M
RS	ŽivkovMilucu	Živkov, Milucu	M
RS	ŽikićDragan	Žikić, Dragan	M
RS	ŽunićMilovan	Žunić, Milovan	M
RS	ZdravkovićMilivoje	Zdravković, Milivoje	M
RS	IvanovićBranislav	Ivanović, Branislav	M
RS	IvanovićMiladin	Ivanović, Miladin	M
RS	IšpanovičIštvan	Išpanovič, Ištvan	M
RS	BudimirMilana	Budimir, Milana	F
RS	JanićevićBogoljub	Janićević, Bogoljub	M
RS	JovanovićŽotaŽivotije	Jovanović – Žota, Životije	M
RS	JovićMilorad	Jović, Milorad	M
RS	JovičićMile	Jovičić, Mile	M
RS	KrunićSpasojePaja	Krunić, Spasoje Paja	M
RS	KurtešaninSimo	Kurtešanin, Simo	M
RS	LazarevićJordan	Lazarević, Jordan	M
RS	MarkovićDragomir	Marković, Dragomir	M
RS	MijatovićMilomir	Mijatović, Milomir	M
RS	MilenkovićBlagoje	Milenković, Blagoje	M
RS	BudimirovićBidžaDobrivoje	Budimirović – Bidža, Dobrivoje	M
RS	MilovanovićPera	Milovanović, Pera	M
RS	MilunovićDragan	Milunović, Dragan	M
RS	MinićVasilije	Minić, Vasilije	M
RS	MihajlovićJovanka	Mihajlović, Jovanka	F
RS	MihajlovićLjubiša	Mihajlović, Ljubiša	M
RS	MiškovićPetar	Mišković, Petar	M
RS	MomirskiBranislav	Momirski, Branislav	M
RS	MomčilovićStanislav	Momčilović, Stanislav	M
RS	MunitlakRatomir	Munitlak, Ratomir	M
RS	BuđanovčaninSiniša	Buđanovčanin, Siniša	M
RS	NeškovićSlavko	Nešković, Slavko	M
RS	NikolićVladan	Nikolić, Vladan	M
RS	Nikolić2Dragan	Nikolić2, Dragan	M
RS	Nikolić2Zoran	Nikolić2, Zoran	M
RS	NinčićMilan	Ninčić, Milan	M
RS	NovakovićMile	Novaković, Mile	M
RS	NovotniLaslo	Novotni, Laslo	M
RS	VasiljevićMiroslav	Vasiljević, Miroslav	M
RS	ObretkovićMića	Obretković, Mića	M
RS	OlujićTatjana	Olujić, Tatjana	F
RS	PavlovićDragan	Pavlović, Dragan	M
RS	PapovićRadivoje	Papović, Radivoje	M
RS	PejčićBogoljub	Pejčić, Bogoljub	M
RS	PejčićDušan	Pejčić, Dušan	M
RS	PetkovićHokiJovan	Petković – Hoki, Jovan	M
RS	PetrovićStratije	Petrović, Stratije	M
RS	PešaljLjubomir	Pešalj, Ljubomir	M
RS	VeselićJelena	Veselić, Jelena	F
RS	PopovićMilan	Popović, Milan	M
RS	PredinĐorđe	Predin, Đorđe	M
RS	RadovanovićDragomir	Radovanović, Dragomir	M
RS	RadovićDobrosav	Radović, Dobrosav	M
RS	RadulovićSlobodan	Radulović, Slobodan	M
RS	RađenovićDuško	Rađenović, Duško	M
RS	RanđelovićMilutin	Ranđelović, Milutin	M
