Country	SpeakerID	Name	Sex
SI	AccettoMatej	Accetto, Matej	M
SI	AmbrožičBorut	Ambrožič, Borut	M
SI	AnderličAnton	Anderlič, Anton	M
SI	AndoljšekŽiga	Andoljšek, Žiga	M
SI	AndrijaničMarkBoris	Andrijanič, Mark Boris	M
SI	AntončičBoštjan	Antončič, Boštjan	M
SI	AntončičVojko	Antončič, Vojko	M
SI	ApohalVučkovićLidija	Apohal Vučković, Lidija	F
SI	ArehLavričSonja	Areh Lavrič, Sonja	F
SI	AvšičJože	Avšič, Jože	M
SI	BabičBojan	Babič, Bojan	M
SI	BahŽibertAnja	Bah Žibert, Anja	F
SI	BajcJosip	Bajc, Josip	M
SI	BajecPrimož	Bajec, Primož	M
SI	BajukAndrej	Bajuk, Andrej	M
SI	BakovićPredrag	Baković, Predrag	M
SI	BalantBoris	Balant, Boris	M
SI	BalohPlahutnikSaša	Baloh Plahutnik, Saša	M
SI	BaluhStanko	Baluh, Stanko	M
SI	BanUrška	Ban, Urška	F
SI	BandeljElido	Bandelj, Elido	M
SI	BandeljMirko	Bandelj, Mirko	M
SI	BandelliMarko	Bandelli, Marko	M
SI	BanovecTomaž	Banovec, Tomaž	M
SI	BarleLakotaAndreja	Barle Lakota, Andreja	F
SI	BarovičBogdan	Barovič, Bogdan	M
SI	BarrosoJoseManuel	Barroso, Jose Manuel	M
SI	BattelliRoberto	Battelli, Roberto	M
SI	BavdažKuretDarja	Bavdaž Kuret, Darja	F
SI	BavčarIgor	Bavčar, Igor	M
SI	BačičMarija	Bačič, Marija	F
SI	BaškovičCiril	Baškovič, Ciril	M
SI	BednarikJakob	Bednarik, Jakob	M
SI	BedračGorazd	Bedrač, Gorazd	M
SI	BehinLeon	Behin, Leon	M
SI	BekešPeter	Bekeš, Peter	M
SI	BelopavlovičNataša	Belopavlovič, Nataša	F
SI	BenčinaDragoljuba	Benčina, Dragoljuba	F
SI	BerkVesna	Berk, Vesna	F
SI	BernikJožef	Bernik, Jožef	M
SI	BertonceljAndrej	Bertoncelj, Andrej	M
SI	BervarMitja	Bervar, Mitja	M
SI	BeuermannRichard	Beuermann, Richard	M
SI	BevkSamo	Bevk, Samo	M
SI	BezjakMarjan	Bezjak, Marjan	M
SI	BečanIrena	Bečan, Irena	F
SI	BikarAlenka	Bikar, Alenka	F
SI	BilbijaMaja	Bilbija, Maja	F
SI	BitencJaka	Bitenc, Jaka	M
SI	BitencPengovTina	Bitenc Pengov, Tina	F
SI	BizjakIvan	Bizjak, Ivan	M
SI	BizjakMiloš	Bizjak, Miloš	M
SI	BizjakMlakarJulijana	Bizjak Mlakar, Julijana	F
SI	BlažičSrečko	Blažič, Srečko	M
SI	BogatajMiran	Bogataj, Miran	M
SI	BogatajTanja	Bogataj, Tanja	F
SI	BogovičFranc	Bogovič, Franc	M
SI	BohTomaž	Boh, Tomaž	M
SI	BohincRado	Bohinc, Rado	M
SI	BonKlanjščekMirjam	Bon Klanjšček, Mirjam	F
SI	BorotaBarbra	Borota, Barbra	F
SI	BosnićDragan	Bosnić, Dragan	M
SI	BožičIvan	Božič, Ivan	M
SI	BožičJanez	Božič, Janez	M
SI	BožičTilen	Božič, Tilen	M
SI	BožičZoran	Božič, Zoran	M
SI	BožnikBreda	Božnik, Breda	F
SI	BradačLado	Bradač, Lado	M
SI	BraniseljRihard	Braniselj, Rihard	M
SI	BratušekAlenka	Bratušek, Alenka	F
SI	BreceljTina	Brecelj, Tina	F
SI	BregantTina	Bregant, Tina	F
SI	BrejcMihael	Brejc, Mihael	M
SI	BrenčičStanislav	Brenčič, Stanislav	M
SI	BrezigarBarbara	Brezigar, Barbara	F
SI	BrezigarBojan	Brezigar, Bojan	M
SI	BreznikFranc	Breznik, Franc	M
SI	BrezovarNejc	Brezovar, Nejc	M
SI	BrglezMilan	Brglez, Milan	M
SI	BriceljMitja	Bricelj, Mitja	M
SI	BrinovšekNada	Brinovšek, Nada	F
SI	BriškiMarta	Briški, Marta	F
SI	BrulcMirko	Brulc, Mirko	M
SI	BrunskoleRenata	Brunskole, Renata	F
SI	BručanAndrej	Bručan, Andrej	M
SI	BugaričBojan	Bugarič, Bojan	M
SI	BukovecIvan	Bukovec, Ivan	M
SI	BukovecSonja	Bukovec, Sonja	F
SI	BukovnikAlan	Bukovnik, Alan	M
SI	BulcVioleta	Bulc, Violeta	F
SI	BurgarJanez	Burgar, Janez	M
SI	BurgarJanko	Burgar, Janko	M
SI	ButFranc	But, Franc	M
SI	ButolenAnton	Butolen, Anton	M
SI	BöhmLučka	Böhm, Lučka	F
SI	CantaruttiAleš	Cantarutti, Aleš	M
SI	CapuderFranc	Capuder, Franc	M
SI	CerarBožo	Cerar, Božo	M
SI	CerarMiro	Cerar, Miro	M
SI	CerarZdenka	Cerar, Zdenka	F
SI	CiglarSaša	Ciglar, Saša	M
SI	CiglerKraljJanez	Cigler Kralj, Janez	M
SI	CiglerŽeljko	Cigler, Željko	M
SI	CimpermanJanez	Cimperman, Janez	M
SI	CinkTanja	Cink, Tanja	F
SI	ColaričAnton	Colarič, Anton	M
SI	CotmanMarjeta	Cotman, Marjeta	F
SI	CoxPatrick	Cox, Patrick	M
SI	CrnekDejan	Crnek, Dejan	M
SI	CudermanAjda	Cuderman, Ajda	F
SI	CugeljRobert	Cugelj, Robert	M
SI	CukjatiFrance	Cukjati, France	M
SI	CviklMilanMartin	Cvikl, Milan Martin	M
SI	DamijanJože	Damijan, Jože	M
SI	DeisingerMitja	Deisinger, Mitja	M
SI	DeklevaErika	Dekleva, Erika	F
SI	DelakAnton	Delak, Anton	M
SI	DeželakJanko	Deželak, Janko	M
SI	DiaciMarko	Diaci, Marko	M
SI	DikaučičMarjan	Dikaučič, Marjan	M
SI	DimicIva	Dimic, Iva	F
SI	DimitrovskiMaja	Dimitrovski, Maja	F
SI	DimovskiVlado	Dimovski, Vlado	M
