Country	SpeakerID	Name	Sex
TR	AbdulAhat.Andican	Andican, Abdul Ahat	M
TR	Abdulahat.Arvas	Arvas, Abdulahat	M
TR	Abdulhamit.Gül	Gül, Abdulhamit	M
TR	Abdulkadir.Akgül	Akgül, Abdulkadir	M
TR	Abdulkadir.Karaduman	Karaduman, Abdulkadir	M
TR	Abdulkadir.Yüksel	Yüksel, Abdulkadir	M
TR	Abdulkadir.Özel	Özel, Abdulkadir	M
TR	AbdulkadirEmin.Önen	Önen, Abdulkadir Emin	M
TR	Abdulkerim.Gök	Gök, Abdulkerim	M
TR	Abdullah.Ağralı	Ağralı, Abdullah	M
TR	Abdullah.Başcı	Başcı, Abdullah	M
TR	Abdullah.Doğru	Doğru, Abdullah	M
TR	Abdullah.Gül	Gül, Abdullah	M
TR	Abdullah.Güler	Güler, Abdullah	M
TR	Abdullah.Koç	Koç, Abdullah	M
TR	Abdullah.Zeydan	Zeydan, Abdullah	M
TR	Abdullah.Çalışkan1974	Çalışkan, Abdullah	M
TR	Abdullah.Öztürk	Öztürk, Abdullah	M
TR	AbdullahLevent.Tüzel	Tüzel, Abdullah Levent	M
TR	AbdullahNejat.Koçer	Koçer, Abdullah Nejat	M
TR	Abdurrahim.Akdağ	Akdağ, Abdurrahim	M
TR	Abdurrahman.Başkan	Başkan, Abdurrahman	M
TR	Abdurrahman.Tutdere	Tutdere, Abdurrahman	M
TR	Abdurrahman.Öz	Öz, Abdurrahman	M
TR	Abdüllatif.Şener	Şener, Abdüllatif	M
TR	AdaletKomisyonuSözcüsuAbdullahGüler	Güler, Adalet Komisyonu Sözcüsu Abdullah	-
TR	AdaletKomisyonuSözcüsuOrhanKırcalı	Kırcalı, Adalet Komisyonu Sözcüsu Orhan	-
TR	Adem.Geveri	Geveri, Adem	M
TR	Adem.Tatlı	Tatlı, Adem	M
TR	Adem.Yeşildal	Yeşildal, Adem	M
TR	Adil.Karaismailoğlu	Karaismailoğlu, Adil	M
TR	Adil.Zozani	Zozani, Adil	M
TR	Adil.Çelik	Çelik, Adil	M
TR	Adnan.Boynukara	Boynukara, Adnan	M
TR	Adnan.Günnar	Günnar, Adnan	M
TR	Adnan.Keskin	Keskin, Adnan	M
TR	Adnan.Yılmaz	Yılmaz, Adnan	M
TR	AdnanSelçuk.Mızraklı	Mızraklı, Adnan Selçuk	M
TR	AdnanŞefik.Çirkin	Çirkin, Adnan Şefik	M
TR	Afif.Demirkıran	Demirkıran, Afif	M
TR	Ahmet.Akay	Akay, Ahmet	M
TR	Ahmet.Akın	Akın, Ahmet	M
TR	Ahmet.Arslan	Arslan, Ahmet	M
TR	Ahmet.Aydın1971	Aydın, Ahmet	M
TR	Ahmet.Büyükgümüş	Büyükgümüş, Ahmet	M
TR	Ahmet.Davutoğlu	Davutoğlu, Ahmet	M
TR	Ahmet.Demircan	Demircan, Ahmet	M
TR	Ahmet.Erbaş	Erbaş, Ahmet	M
TR	Ahmet.Gündoğdu	Gündoğdu, Ahmet	M
TR	Ahmet.Kaya	Kaya, Ahmet	M
TR	Ahmet.Kılıç	Kılıç, Ahmet	M
TR	Ahmet.Sorgun	Sorgun, Ahmet	M
TR	Ahmet.Tan1965	Tan, Ahmet	M
TR	Ahmet.Toptaş	Toptaş, Ahmet	M
TR	Ahmet.Türk	Türk, Ahmet	M
TR	Ahmet.Uzer	Uzer, Ahmet	M
TR	Ahmet.Yeni	Yeni, Ahmet	M
TR	Ahmet.Yıldırım	Yıldırım, Ahmet	M
TR	Ahmet.Yıldız	Yıldız, Ahmet	M
