Country	SpeakerID	Name	Sex
UA	ЄвгенІвановичКирильчук.1940	Іванович Кирильчук, Євген	M
UA	ЄвгенІвановичМельник.1956	Іванович Мельник, Євген	M
UA	ЄвгенІвановичТалишев.1952	Іванович Талишев, Євген	M
UA	ЄвгенІгоровичЗімін.1960	Ігорович Зімін, Євген	M
UA	ЄвгенІгоровичЦарьков.1974	Ігорович Царьков, Євген	M
UA	ЄвгенАльфредовичЧервоненко.1959	Альфредович Червоненко, Євген	M
UA	ЄвгенВасильовичЛапін.1950	Васильович Лапін, Євген	M
UA	ЄвгенВасильовичМармазов.1938	Васильович Мармазов, Євген	M
UA	ЄвгенВасильовичПетруняк.1977	Васильович Петруняк, Євген	M
UA	ЄвгенВасильовичФіліндаш.1977	Васильович Філіндаш, Євген	M
UA	ЄвгенВолодимировичКорнійчук.1966	Володимирович Корнійчук, Євген	M
UA	ЄвгенВолодимировичРадченко.1973	Володимирович Радченко, Євген	M
UA	ЄвгенВіталійовичБалицький.1969	Віталійович Балицький, Євген	M
UA	ЄвгенГеннадійовичЯковенко.1965	Геннадійович Яковенко, Євген	M
UA	ЄвгенГригоровичКарташов.1942	Григорович Карташов, Євген	M
UA	ЄвгенГригоровичУдод.1973	Григорович Удод, Євген	M
UA	ЄвгенДмитровичДобряк.1973	Дмитрович Добряк, Євген	M
UA	ЄвгенДмитровичЖовтяк.1961	Дмитрович Жовтяк, Євген	M
UA	ЄвгенМиколайовичБакулін.1956	Миколайович Бакулін, Євген	M
UA	ЄвгенМиколайовичНищук.1972	Миколайович Нищук, Євген	M
UA	ЄвгенОлексійовичГірник.1954	Олексійович Гірник, Євген	M
UA	ЄвгенПавловичПивоваров.1978	Павлович Пивоваров, Євген	M
UA	ЄвгенПетровичШаго.1941	Петрович Шаго, Євген	M
UA	ЄвгенСеменовичКонстантинов.1937	Семенович Константинов, Євген	M
UA	ЄвгенСергійовичДейдей.1987	Сергійович Дейдей, Євген	M
UA	ЄвгенСергійовичКуренков	Сергійович Куренков, Євген	M
UA	ЄвгенЮрійовичРибчинський.1969	Юрійович Рибчинський, Євген	M
UA	ЄвгенЯковичСігал.1955	Якович Сігал, Євген	M
UA	ЄвгенійІвановичСуслов.1981	Іванович Суслов, Євгеній	M
UA	ЄвгенійБорисовичГєллєр.1974	Борисович Гєллєр, Євгеній	M
UA	ЄвгенійВадимовичБрагар.1994	Вадимович Брагар, Євгеній	M
UA	ЄвгенійВадимовичМорозенко.1958	Вадимович Морозенко, Євгеній	M
UA	ЄвгенійВалерійовичВолинець.1978	Валерійович Волинець, Євгеній	M
UA	ЄвгенійВолодимировичМураєв.1976	Володимирович Мураєв, Євгеній	M
UA	ЄвгенійВолодимировичШевченко.1972	Володимирович Шевченко, Євгеній	M
UA	ЄвгенійПетровичКушнарьов.1951	Петрович Кушнарьов, Євгеній	M
UA	ЄвгеніяМихайлівнаКравчук.1985	Михайлівна Кравчук, Євгенія	F
UA	ЄгорВолодимировичЧернєв.1985	Володимирович Чернєв, Єгор	M
UA	ЄгорВікторовичСоболєв.1977	Вікторович Соболєв, Єгор	M
UA	ЄгорПавловичФірсов.1988	Павлович Фірсов, Єгор	M
UA	ЄлизаветаОлексіївнаЯсько.1990	Олексіївна Ясько, Єлизавета	F
UA	ЄлізаветаПетрівнаБогуцька.1964	Петрівна Богуцька, Єлізавета	F
UA	ЄнсСтолтенберг.1959	Столтенберг, Єнс	M
UA	ЄфимЗісєвичФікс.1946	Зіс’євич Фікс, Єфим	M
UA	ІванІвановичБалога.1966	Іванович Балога, Іван	M
UA	ІванІвановичБушко.1969	Іванович Бушко, Іван	M
UA	ІванІвановичКрулько.1981	Іванович Крулько, Іван	M
UA	ІванІвановичКуліченко.1955	Іванович Куліченко, Іван	M
UA	ІванІвановичКуровський.1951	Іванович Куровський, Іван	M
UA	ІванІвановичМельничук.1969	Іванович Мельничук, Іван	M
UA	ІванІвановичМигович.1942	Іванович Мигович, Іван	M
UA	ІванІвановичСавка.1972	Іванович Савка, Іван	M
UA	ІванІвановичСтупак.1960	Іванович Ступак, Іван	M
UA	ІванІвановичСідельник.1939	Іванович Сідельник, Іван	M
UA	ІванАдамовичЧайківський.1972	Адамович Чайківський, Іван	M
UA	ІванАнатолійовичШинкаренко.1986	Анатолійович Шинкаренко, Іван	M
UA	ІванАнтоновичЧетверіков.1951	Антонович Четверіков, Іван	M
UA	ІванВасильовичІванчо.1946	Васильович Іванчо, Іван	M
UA	ІванВасильовичВасюник.1959	Васильович Васюник, Іван	M
UA	ІванВасильовичВернидубов.1951	Васильович Вернидубов, Іван	M
UA	ІванВасильовичДенькович.1963	Васильович Денькович, Іван	M
UA	ІванВасильовичПопеску.1964	Васильович Попеску, Іван	M
UA	ІванВасильовичСподаренко.1931	Васильович Сподаренко, Іван	M
UA	ІванВолодимировичМірошніченко.1972	Володимирович Мірошніченко, Іван	M
UA	ІванГеннадійовичФурсін.1971	Геннадійович Фурсін, Іван	M
UA	ІванГригоровичКириленко.1956	Григорович Кириленко, Іван	M
UA	ІванДмитровичСпориш.1959	Дмитрович Спориш, Іван	M
