COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
AT	BZÖ	BZO	2006	8.83	RRF	https://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria#:~:text=The	0
AT	BZÖ	BZO	2010	8.29	0	0	0
AT	BZÖ	BZO	2014	7.8	0	0	0
AT	FPÖ	FPO	1999	7.9	RRF	https://en.wikipedia.org/wiki/Freedom_Party_of_Austria	0
AT	FPÖ	FPO	2002	8.63	0	0	0
AT	FPÖ	FPO	2006	9.67	0	0	0
AT	FPÖ	FPO	2010	8.93	0	0	0
AT	FPÖ	FPO	2014	8.7	0	0	0
AT	FPÖ	FPO	2019	9.1	0	0	0
AT	GRÜNE	GRUNE	1999	2.9	CLL	https://en.wikipedia.org/wiki/The_Greens_–_The_Green_Alternative	0
AT	GRÜNE	GRUNE	2002	2.83	0	0	0
AT	GRÜNE	GRUNE	2006	2.17	0	0	0
AT	GRÜNE	GRUNE	2010	2.29	0	0	0
AT	GRÜNE	GRUNE	2014	3.0	0	0	0
AT	GRÜNE	Grune	2019	2.5	0	0	0
AT	LIF	LIF	1999	4.6	C	https://en.wikipedia.org/wiki/Liberal_Forum	0
AT	LIF	LIF	2002	4.6	0	0	0
AT	LIF	LIF	2006	4.4	0	0	0
AT	0	MARTIN	2006	4.2	0	https://en.wikipedia.org/wiki/Hans-Peter_Martin's_List	0
AT	0	MARTIN	2010	4.78	0	0	0
AT	NEOS	NEOS	2014	6.0	C	https://en.wikipedia.org/wiki/NEOS_–_The_New_Austria_and_Liberal_Forum	0
AT	NEOS	NEOS	2019	5.9	0	0	0
AT	ÖVP	OVP	1999	6.2	CRR	https://en.wikipedia.org/wiki/Austrian_People's_Party#:~:text=The	0
AT	ÖVP	OVP	2002	7.0	0	0	0
AT	ÖVP	OVP	2006	7.0	0	0	0
AT	ÖVP	OVP	2010	7.07	0	0	0
AT	ÖVP	OVP	2014	6.1	0	0	0
AT	ÖVP	OVP	2019	6.9	0	0	0
AT	SPÖ	SPO	1999	4.0	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria	0
AT	SPÖ	SPO	2002	3.75	0	0	0
AT	SPÖ	SPO	2006	3.38	0	0	0
AT	SPÖ	SPO	2010	3.36	0	0	0
AT	SPÖ	SPO	2014	3.9	0	0	0
AT	SPÖ	SPO	2019	4.0	0	0	0
AT	STRONACH	TeamStronach	2014	7.6	CRR	https://en.wikipedia.org/wiki/Team_Stronach	0
AT	JETZT	0	0	0	CLL	https://en.wikipedia.org/wiki/JETZT_(party)	0
