COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
CZ	ANO	ANO2011	2014	5.79	CCR	https://en.wikipedia.org/wiki/ANO_2011	0
CZ	ANO	ANO2011	2019	4.69	0	0	0
CZ	ANO2011	ANO2011	2014	5.79	CCR	https://en.wikipedia.org/wiki/ANO_2011	0
CZ	ANO2011	ANO2011	2019	4.69	0	0	0
CZ	CSSD	CSSD	2002	3.33	CL	https://en.wikipedia.org/wiki/Czech_Social_Democratic_Party	0
CZ	ČSSD	CSSD	2002	3.33	0	0	0
CZ	CSSD	CSSD	2006	3.43	0	0	0
CZ	ČSSD	CSSD	2006	3.43	0	0	0
CZ	CSSD	CSSD	2010	2.89	0	0	0
CZ	ČSSD	CSSD	2010	2.89	0	0	0
CZ	CSSD	CSSD	2014	3.14	0	0	0
CZ	ČSSD	CSSD	2014	3.14	0	0	0
CZ	CSSD	CSSD	2019	2.74	0	0	0
CZ	ČSSD	CSSD	2019	2.74	0	0	0
CZ	KDU-ČSL	KDU-CSL	2002	4.86	CCR	https://en.wikipedia.org/wiki/KDU-%C4%8CSL	0
CZ	KDU-ČSL	KDU-CSL	2006	5.71	0	0	0
CZ	KDU-ČSL	KDU-CSL	2010	5.26	0	0	0
CZ	KDU-ČSL	KDU-CSL	2014	5.93	0	0	0
CZ	KDU-ČSL	KDU-CSL	2019	5.89	0	0	0
CZ	KSCM	KSCM	2002	0.91	LLF	https://en.wikipedia.org/wiki/Communist_Party_of_Bohemia_and_Moravia	0
CZ	KSČM	KSCM	2002	0.91	0	0	0
CZ	KSCM	KSCM	2006	0.86	0	0	0
CZ	KSČM	KSCM	2006	0.86	0	0	0
CZ	KSCM	KSCM	2010	1.11	0	0	0
CZ	KSČM	KSCM	2010	1.11	0	0	0
CZ	KSCM	KSCM	2014	1.07	0	0	0
CZ	KSČM	KSCM	2014	1.07	0	0	0
CZ	KSCM	KSCM	2019	1.15	0	0	0
CZ	KSČM	KSCM	2019	1.15	0	0	0
CZ	0	Nezavisl	2006	5.5	0	https://en.wikipedia.org/wiki/Independents_(political_party)	0
CZ	ODS	ODS	2002	7.08	CRR	https://en.wikipedia.org/wiki/Civic_Democratic_Party_(Czech_Republic)	0
CZ	ODS	ODS	2006	7.71	0	0	0
CZ	ODS	ODS	2010	7.74	0	0	0
CZ	ODS	ODS	2014	8.0	0	0	0
CZ	ODS	ODS	2019	7.78	0	0	0
CZ	Piráti	Pirates	2019	4.28	CCL	https://en.wikipedia.org/wiki/Czech_Pirate_Party	0
CZ	0	SNK-ED	2006	6.67	CCR	https://en.wikipedia.org/wiki/SNK_European_Democrats	0
CZ	SPD	SPD	2019	8.85	RRF	https://en.wikipedia.org/wiki/Freedom_and_Direct_Democracy	0
CZ	STAN	STAN	2019	6.27	CCR	https://en.wikipedia.org/wiki/Mayors_and_Independents	0
CZ	0	SVOBODNI	2014	8.71	R	https://en.wikipedia.org/wiki/Svobodn%C3%AD	0
CZ	0	SZ	2006	4.86	CL	https://en.wikipedia.org/wiki/Green_Party_(Czech_Republic)	0
CZ	0	SZ	2010	5.33	0	0	0
CZ	0	SZ	2014	3.86	0	0	0
CZ	9.00 TOP	9,00 TOP	2010	7.89	CR	https://en.wikipedia.org/wiki/TOP_09	0
CZ	TOP09-S	9,00 TOP	2010	7.89	0	0	0
CZ	9.00 TOP	9,00 TOP	2014	7.21	0	0	0
CZ	TOP09-S	9,00 TOP	2014	7.21	0	0	0
CZ	9.00 TOP	9,00 TOP	2019	7.41	0	0	0
CZ	TOP09-S	9,00 TOP	2019	7.41	0	0	0
CZ	0	US-DEU	2002	6.78	CR	https://en.wikipedia.org/wiki/Freedom_Union_%E2%80%93_Democratic_Union	0
CZ	Usvit	USVIT	2014	7.69	FR	https://en.wikipedia.org/wiki/Dawn_%E2%80%93_National_Coalition	0
CZ	Úsvit	USVIT	2014	7.69	0	0	0
CZ	VV	VV	2010	5.89	CR	https://en.wikipedia.org/wiki/Public_Affairs_(political_party)	0
CZ	K	0	0	0	0	0	0
CZ	KDS	0	0	0	CR	https://en.wikipedia.org/wiki/Christian_Democratic_Party_(Czech_Republic)	0
CZ	KSČS	0	0	0	FL	https://en.wikipedia.org/wiki/Communist_Party_of_Czechoslovakia	0
CZ	LB	0	0	0	0	0	The Party of the Democratic Left was a member of a coalition called Left Bloc (Levý blok) From 1992 to 1994
CZ	Nezařaz	0	0	0	0	0	0
CZ	OF	0	0	0	BT	https://en.wikipedia.org/wiki/Civic_Forum	0
CZ	OH	0	0	0	CCL	https://en.wikipedia.org/wiki/Civic_Movement	0
CZ	PirSTAN	0	0	0	C	https://en.wikipedia.org/wiki/Pirates_and_Mayors	0
CZ	SPOLU	0	0	0	CR	https://en.wikipedia.org/wiki/Spolu_(Czech_Republic)	0
CZ	SDO	0	0	0	0	https://cs.wikipedia.org/wiki/Klub_poslanců_sociálně_demokratické_orientace	0
