COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
DK	ALT	A	2019	2.50	CCL	https://en.wikipedia.org/wiki/The_Alternative_(Denmark)	
DK	0	CD	1999	5.57	C	https://en.wikipedia.org/wiki/Centre_Democrats_(Denmark)	
DK	DF	DF	1999	8.86	R	https://en.wikipedia.org/wiki/Danish_People%27s_Party	
DK	DF	DF	2002	8.85			
DK	DF	DF	2006	7.67			
DK	DF	DF	2010	7.82			
DK	DF	DF	2014	6.90			
DK	DF	DF	2019	6.93			
DK	EL	EL	1999	1.00	LLF	https://en.wikipedia.org/wiki/Red–Green_Alliance_(Denmark)	
DK	EL	EL	2006	1.00			
DK	EL	EL	2010	1.00			
DK	EL	EL	2014	1.20			
DK	EL	EL	2019	1.00			
DK	0	FP	1999	9.29	FR	https://en.wikipedia.org/wiki/Progress_Party_(Denmark)	
DK	0	FolkB	1999	1.00	0	https://en.wikipedia.org/wiki/People%27s_Movement_against_the_EU	"It does not regard itself a political party and claims to be non-affiliated to the traditional left/right-scale, hence it does not contest national parliamentary or local elections. Its traditional base is found among left-wingers and trade union members, but there are also non-partisans and non-socialist members, e.g., from the Social Liberal Party, the Social Democrats, the Conservative Party, the Green Party and the small Georgist liberal Justice Party."
DK	0	FolkB	2006	2.67			
DK	0	FolkB	2010	2.67			
DK	0	FolkB	2014	2.00			
DK	0	JuniB	1999	2.00	0	https://en.wikipedia.org/wiki/June_Movement	
DK	0	JuniB	2006	3.17			
DK	KF	KF	1999	7.14	CR	https://en.wikipedia.org/wiki/Conservative_People%27s_Party_(Denmark)	Also known as DKF
DK	KF	KF	2002	7.00			
DK	KF	KF	2006	7.11			
DK	KF	KF	2010	7.55			
DK	KF	KF	2014	7.00			
DK	KF	KF	2019	7.07			
DK	LA	LA	2010	8.20	CRR	https://en.wikipedia.org/wiki/Liberal_Alliance_(Denmark)	
DK	LA	LA	2014	7.90			
DK	LA	LA	2019	8.00			
DK	NB	NB	2019	9.00	RRF	https://en.wikipedia.org/wiki/New_Right_(Denmark)	
DK	RV	RV	1999	5.00	CCL	https://en.wikipedia.org/wiki/Danish_Social_Liberal_Party	
DK	RV	RV	2002	5.08			
DK	RV	RV	2006	4.78			
DK	RV	RV	2010	5.18			
DK	RV	RV	2014	5.70			
DK	RV	RV	2019	5.07			
DK	S	SD	1999	3.86	CL	https://en.wikipedia.org/wiki/Social_Democrats_(Denmark)	
DK	S	SD	2002	4.00			
DK	S	SD	2006	4.11			
DK	S	SD	2010	4.18			
DK	S	SD	2014	4.40			
DK	S	SD	2019	4.00			
DK	SF	SF	1999	2.29	CLL	https://en.wikipedia.org/wiki/Green_Left_(Denmark)	
DK	SF	SF	2002	2.31			
DK	SF	SF	2006	2.33			
DK	SF	SF	2010	2.82			
DK	SF	SF	2014	2.90			
DK	SF	SF	2019	2.64			
DK	V	V	1999	7.14	CR	https://en.wikipedia.org/wiki/Venstre_(Denmark)	
DK	V	V	2002	7.38			
DK	V	V	2006	7.22			
DK	V	V	2010	7.00			
DK	V	V	2014	7.00			
DK	V	v	2019	6.64	CR		
DK	IA	0	0	0	L	https://en.wikipedia.org/wiki/Inuit_Ataqatigiit	
DK	JF	0	0	0	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_(Faroe_Islands)	a social-democratic political party on the Faroe Islands
DK	KD	0	0	0	CCR	https://en.wikipedia.org/wiki/Christian_Democrats_(Denmark)	This is basically the upper KRF party since it was founded id 1970 as as the Christian People's Party (Kristeligt Folkeparti)
DK	NQ	0	0	0	L	https://en.wikipedia.org/wiki/Nunatta_Qitornai	
DK	SIU	0	0	0	CL	https://en.wikipedia.org/wiki/Siumut	This is is a political party in Greenland in the social democratic tradition. Party members have been elected to both the parliament of Greenland and the parliament of Denmark.
DK	SP	0	0	0	CR	https://en.wikipedia.org/wiki/Union_Party_(Faroe_Islands)	"a conservative-liberal, agrarian political party on the Faroe Islands"
DK	T	0	0	0	L	https://en.wikipedia.org/wiki/Republic_(Faroe_Islands)	a left-wing political party on the Faroe Islands committed to Faroese independence
DK	TF	0	0	0	L	https://en.wikipedia.org/wiki/Republic_(Faroe_Islands)	a left-wing political party on the Faroe Islands committed to Faroese independence
DK	UFG	0	0	0	0		
DK	FG	0	0	0	L	https://en.wikipedia.org/wiki/Independent_Greens_(Denmark)	
