COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
FR	0	AC	2014	6.60	C	https://en.wikipedia.org/wiki/Centrist_Alliance	
FR	0	CPNT	1999	7.80	R	https://en.wikipedia.org/wiki/Rurality_Movement	Now called the Rurality Movement (LMR) but was founded as CPNT.
FR	0	D	1999	7.66			
FR	0	DL	1999	7.21	CR	https://en.wikipedia.org/wiki/Liberal_Democracy_(France)	
FR	0	DL	2002	7.07			
FR	0	DLF	2019	9.00	RRF	https://en.wikipedia.org/wiki/Debout_la_France	
FR	0	EELV	2014	3.08	CLL	https://en.wikipedia.org/wiki/Europe_Ecology_%E2%80%93_The_Greens	
FR	0	EELV	2019	2.50	CLL		
FR	0	Ensemble	2014	2.50	L	https://en.wikipedia.org/wiki/Ensemble!	
FR	FI	FI	2019	1.25	LLF	https://en.wikipedia.org/wiki/La_France_Insoumise	
FR	0	FN	1999	8.71	FR	https://en.wikipedia.org/wiki/National_Rally	This party is now called National Rally (RN) but was called National Front (FN) until 2018.
FR	0	FN	2002	9.92			
FR	0	FN	2006	10.00			
FR	0	FN	2010	9.89			
FR	0	FN	2014	9.64			
FR	0	LO-LCR	1999	0.14	LLF	https://en.wikipedia.org/wiki/Revolutionary_Communist_League_(France)	
FR	LR	LR	2019	7.88	CR	https://en.wikipedia.org/wiki/The_Republicans_(France)	
FR	LAREM	LREM	2019	6.33	C	https://en.wikipedia.org/wiki/La_R%C3%A9publique_En_Marche!	
FR	0	MEI	1999	4.00	CCL	https://en.wikipedia.org/wiki/Independent_Ecological_Movement	
FR	0	MN	1999	8.28		CHES names this party National Movement but Wikipedia gives no results about it.	
FR	MODEM	MODEM	2010	5.11	CCR	https://en.wikipedia.org/wiki/Democratic_Movement_(France)	
FR	MODEM	MODEM	2014	5.91			
FR	0	MPF	2006	8.63	R	https://en.wikipedia.org/wiki/Movement_for_France	
FR	0	MPF	2010	9.00			
FR	0	MPF	2014	9.10			
FR	MODEM	MoDem	2019	6.13	CCR	https://en.wikipedia.org/wiki/Democratic_Movement_(France)	
FR	0	NC	2010	5.83	CR	https://en.wikipedia.org/wiki/The_Centrists	
FR	0	NC	2014	6.27			
FR	0	PCF	1999	1.57	LLF	https://en.wikipedia.org/wiki/French_Communist_Party	
FR	0	PCF	2002	1.62			
FR	0	PCF	2006	0.89			
FR	0	PCF	2010	1.11			
FR	0	PCF	2014	1.75			
FR	0	PCF	2019	1.13			
FR	0	PG	2014	1.70	L	https://en.wikipedia.org/wiki/Left_Party_(France)	
FR	0	PRG	1999	4.43	CL	https://en.wikipedia.org/wiki/Radical_Party_of_the_Left	
FR	0	PRG	2002	3.62			
FR	0	PRG	2006	4.11			
FR	0	PRG	2010	3.63			
FR	0	PRG	2014	3.82			
FR	0	PRV	2014	6.14	CL	https://en.wikipedia.org/wiki/Radical_Party_(France)	
FR	0	PS	1999	3.43	CL	https://en.wikipedia.org/wiki/Socialist_Party_(France)	
FR	0	PS	2002	3.85			
FR	0	PS	2006	2.89			
FR	0	PS	2010	2.78			
FR	0	PS	2014	3.83			
FR	0	PS	2019	3.00			
FR	0	RN	2019	9.75	FR	https://en.wikipedia.org/wiki/National_Rally	This used to be National Front Party (FN) until 2018 when it was renamed to National Rally (RN)
FR	0	RPF	1999	7.71	R	https://en.wikipedia.org/wiki/Rally_of_the_French_People	
FR	0	RPR	1999	7.21	CR	https://en.wikipedia.org/wiki/Rally_for_the_Republic	
FR	0	RPR	2002	7.00			
FR	0	UDF	1999	6.43	CCR	https://en.wikipedia.org/wiki/Union_for_French_Democracy	
FR	0	UDF	2002	5.85			
FR	0	UDF	2006	5.33			
FR	0	UMP	2006	7.44	CR	https://en.wikipedia.org/wiki/Union_for_a_Popular_Movement	
FR	0	UMP	2010	7.22			
FR	0	UMP	2014	7.67			
FR	0	VERTS	1999	3.14	CLL	https://en.wikipedia.org/wiki/The_Greens_(France)	The Greens merged with Europe Ecology to become Europe Ecology – The Greens (EELV - above)
FR	0	VERTS	2002	2.75			
FR	0	VERTS	2006	2.56			
FR	0	VERTS	2010	2.56			
FR	AGIR-E	0	0	0	0	https://en.wikipedia.org/wiki/Agir_ensemble	
FR	EDS	0	0	0	L	https://en.wikipedia.org/wiki/Ecology_Democracy_Solidarity	
FR	GDR	0	0	0	L	https://en.wikipedia.org/wiki/Democratic_and_Republican_Left_group	
FR	LC	0	0	0	0	0	
FR	LT	0	0	0	0	https://en.wikipedia.org/wiki/Liberties_and_Territories	
FR	NG	0	0	0	L	https://en.wikipedia.org/wiki/New_Left_in_France	
FR	NI	0	0	0	0	https://en.wikipedia.org/wiki/Non-Inscrits	The deputies who are not members or related to any parliamentary group of the National Assembly of France
FR	SOC	0	0	0	CLL	https://fr.wikipedia.org/wiki/Groupe_socialiste_(Assembl%C3%A9e_nationale)	
FR	UDI-A-I	0	0	0	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	
FR	UDI-AGIR	0	0	0	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	
FR	UDI-I	0	0	0	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	
FR	UDI_I	0	0	0	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	
