COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
NO	A	Ap	2019	3.4	CL	https://en.wikipedia.org/wiki/Labour_Party_(Norway)	0
NO	FrP	FrP	2019	8.4	R	https://en.wikipedia.org/wiki/Progress_Party_(Norway)	0
NO	H	H	2019	6.7	CR	https://en.wikipedia.org/wiki/Conservative_Party_(Norway)	0
NO	KrF	KrF	2019	5.6	CCR	https://en.wikipedia.org/wiki/Christian_Democratic_Party_(Norway)	0
NO	MDG	MDG	2019	3.8	CL	https://en.wikipedia.org/wiki/Green_Party_(Norway)	0
NO	R	RV	2019	0.5	LLF	https://en.wikipedia.org/wiki/Red_Party_(Norway)	0
NO	SV	SV	2019	1.7	L	https://en.wikipedia.org/wiki/Socialist_Left_Party_(Norway)	0
NO	Sp	Sp	2019	4.8	C	https://en.wikipedia.org/wiki/Centre_Party_(Norway)	0
NO	V	V	2019	5.9	C	https://en.wikipedia.org/wiki/Liberal_Party_(Norway)	0
NO	PF	0	0	0	0	https://en.wikipedia.org/wiki/Patient_Focus_(Norway)	Single-issue politics. Single-issue politics involves political campaigning or political support based on one essential policy area or idea.
NO	TF	0	0	0	CR	https://en.wikipedia.org/wiki/Coastal_Party	0
NO	UAV	0	0	0	0	0	Independent, no Wikipedia page.
