COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
PT	BE	BE	1999	2.5			
PT	BE	BE	2006	1.4			
PT	BE	BE	2010	1.17			
PT	BE	BE	2014	1.33			
PT	BE	BE	2019	0.88			
PT	CDS-PP	CDS-PP	1999	8.2			
PT	CDS-PP	CDS-PP	2002	8.14			
PT	CDS-PP	CDS-PP	2006	7.2			
PT	CDS-PP	CDS-PP	2010	8.0			
PT	0	CDS/PP	2019	8.5			
PT	0	CDU	1999	2.8			
PT	0	CDU	2002	1.57			
PT	0	CDU	2006	2.3			
PT	0	CDU	2010	0.67			
PT	0	CDU	2014	0.5			
PT	0	CDU	2019	0.88			
PT	0	MPT	2014	6.75			
PT	PAN	PAN	2019	3.43			
PT	PCP	PCP	2019	0.88			
PT	PEV	PEV	2019	1.14			
PT	0	PP	2014	8.0			
PT	PS	PS	1999	3.6			
PT	PS	PS	2002	4.0			
PT	PS	PS	2006	4.3			
PT	PS	PS	2010	4.17			
PT	PS	PS	2014	4.5			
PT	PS	PS	2019	4.12			
PT	PSD	PSD	1999	5.6			
PT	PSD	PSD	2002	6.43			
PT	PSD	PSD	2006	6.7			
PT	PSD	PSD	2010	6.67			
PT	PSD	PSD	2014	6.67			
PT	PSD	PSD	2019	6.38			
PT	CH	0	0	0			
PT	GP-BE	0	0	0			
PT	GP-CDS-PP	0	0	0			
PT	GP-CH	0	0	0			
PT	GP-IL	0	0	0			
PT	GP-L	0	0	0			
PT	GP-PAN	0	0	0			
PT	GP-PCP	0	0	0			
PT	GP-PEV	0	0	0			
PT	GP-PS	0	0	0			
PT	GP-PSD	0	0	0			
PT	IL	0	0	0			
PT	Independente	0	0	0			
PT	L	0	0	0			
PT	Não-inscrito	0	0	0			
