COUNTRY	PM_ID	CHES_ID	YEAR	LRGEN	LR	URL	COMMENT
SE	C	C	1999	5.67	CCR	https://en.wikipedia.org/wiki/Centre_Party_(Sweden)	0
SE	C	C	2002	5.58	0	0	0
SE	C	C	2006	6.33	0	0	0
SE	C	C	2010	7.0	0	0	0
SE	C	C	2014	7.24	0	0	0
SE	C	C	2019	6.82	0	0	0
SE	0	FI	2014	1.81	L	https://en.wikipedia.org/wiki/Feminist_Initiative_(Sweden)	0
SE	0	FP	1999	6.89	CR	https://en.wikipedia.org/wiki/Liberals_(Sweden)	This name was used until 2015 when the party renamed to Liberalerna (L)
SE	0	FP	2002	6.25	0	0	0
SE	0	FP	2006	6.67	0	0	0
SE	0	FP	2010	7.07	0	0	0
SE	0	FP	2014	7.05	0	0	0
SE	0	JL	2006	5.67	BT	https://en.wikipedia.org/wiki/June_List	0
SE	0	JL	2010	5.27	0	0	0
SE	KD	KD	1999	7.25	CRR	https://en.wikipedia.org/wiki/Christian_Democrats_(Sweden)	0
SE	KD	KD	2002	7.25	0	0	0
SE	KD	KD	2006	6.89	0	0	0
SE	KD	KD	2010	7.07	0	0	0
SE	KD	KD	2014	7.48	0	0	0
SE	KD	KD	2019	7.82	0	0	0
SE	L	L	2019	6.53	CR	https://en.wikipedia.org/wiki/Liberals_(Sweden)	0
SE	M	M	1999	7.67	CR	https://en.wikipedia.org/wiki/Moderate_Party	0
SE	M	M	2002	7.75	0	0	0
SE	M	M	2006	7.56	0	0	0
SE	M	M	2010	7.29	0	0	0
SE	M	M	2014	7.43	0	0	0
SE	M	M	2019	7.71	0	0	0
SE	MP	MP	1999	3.22	CL	https://en.wikipedia.org/wiki/Green_Party_(Sweden)	0
SE	MP	MP	2002	3.33	0	0	0
SE	MP	MP	2006	3.33	0	0	0
SE	MP	MP	2010	3.5	0	0	0
SE	MP	MP	2014	3.29	0	0	0
SE	MP	MP	2019	3.29	0	0	0
SE	0	NyD	1999	9.0	R	https://en.wikipedia.org/wiki/New_Democracy_(Sweden)	0
SE	0	PIRAT	2010	5.11	0	https://en.wikipedia.org/wiki/Pirate_Party_(Sweden)	Syncretic political position. Syncretic politics, or spectral-syncretic politics, combine elements from across the conventional left–right political spectrum.
SE	0	PIRAT	2014	5.0	0	0	0
SE	S	S/SAP	2019	3.88	CL	https://en.wikipedia.org/wiki/Swedish_Social_Democratic_Party	0
SE	S	SAP	1999	3.44	0	0	0
SE	S	SAP	2002	3.5	0	0	0
SE	S	SAP	2006	3.56	0	0	0
SE	S	SAP	2010	3.29	0	0	0
SE	S	SAP	2014	3.76	0	0	0
SE	SD	SD	2010	8.38	RRF	https://en.wikipedia.org/wiki/Sweden_Democrats	0
SE	SD	SD	2014	7.76	0	0	0
SE	SD	SD	2019	8.47	0	0	0
SE	V	V	1999	1.56	L	https://en.wikipedia.org/wiki/Left_Party_(Sweden)	0
SE	V	V	2002	1.67	0	0	0
SE	V	V	2006	1.67	0	0	0
SE	V	V	2010	1.43	0	0	0
SE	V	V	2014	1.71	0	0	0
SE	V	V	2019	1.71	0	0	0
SE	Q10585380	0	0	0	0	https://sv.wikipedia.org/wiki/Miljöpartister_i_Svenska_kyrkan_De_Gröna	0
SE	Q3360009	0	0	0	C	https://en.wikipedia.org/wiki/Centre_Party_Youth	0
SE	Q50383811	0	0	0	FR	https://en.wikipedia.org/wiki/Alternative_for_Sweden	0
SE	Q61791721	0	0	0	0	https://sv.wikipedia.org/wiki/Partiet_Vändpunkt	0
SE	independent	0	0	0	0	https://sv.wikipedia.org/wiki/Partilös	Without party designation
