Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
DK	parliamentaryGroup	party.ALT	ALT	-	Alternativet	-	2013-11-27	-	-
DK	parliamentaryGroup	party.DF	DF	-	Dansk Folkeparti	-	1995-10-06	-	-
DK	parliamentaryGroup	party.EL	EL	-	Enhedslisten	-	1989	-	-
DK	parliamentaryGroup	party.FG	FG	-	Frie Grønne	-	2020-09-07	-	-
DK	parliamentaryGroup	party.KD	KD	-	Kristendemokraterne	-	1970-04-13	-	-
DK	parliamentaryGroup	party.IA	IA	-	Inuit Ataqatigiit	-	1976	-	-
DK	parliamentaryGroup	party.JF	JF	-	Javnaðarflokkurin	-	1925-09-25	-	-
DK	parliamentaryGroup	party.KF	KF	-	Det Konservative Folkeparti	-	1915	-	-
DK	parliamentaryGroup	party.LA	LA	-	Liberal Alliance	-	2008-08-28	-	-
DK	parliamentaryGroup	party.NB	NB	-	Nye Borgerlige	-	2015-10-19	-	-
DK	parliamentaryGroup	party.NQ	NQ	-	Nunatta Qitornai	-	2017-09-01	-	-
DK	parliamentaryGroup	party.RV	RV	-	Radikale Venstre	-	1905-05-21	-	-
DK	parliamentaryGroup	party.S	S	-	Socialdemokratiet	-	1871	-	-
DK	parliamentaryGroup	party.SF	SF	-	Socialistisk Folkeparti	-	1959-02-15	-	-
DK	parliamentaryGroup	party.SIU	SIU	-	Siumut	-	1977-07-29	-	-
DK	parliamentaryGroup	party.SP	SP	-	Sambandsflokkurin	-	1906	-	-
DK	parliamentaryGroup	party.T	T	-	Tjóðveldi	-	2007-09-14	-	-
DK	parliamentaryGroup	party.UFG	UFG	-	Uden for folketingsgrupperne	-	1849	-	-
DK	parliamentaryGroup	party.V	V	-	Venstre	-	1910	-	-
