Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
TR	parliamentaryGroup	party.AKP	AKP	-	Adalet ve Kalkınma Partisi	Justice and Development Party	2001-08-14	-	-
TR	parliamentaryGroup	party.ANAP	ANAP	-	Anavatan Partisi	Motherland Party	1983-05-20	2009-11-01	-
TR	parliamentaryGroup	party.CHP	CHP	-	Cumhuriyet Halk Partisi	Republican People's Party	1923-09-09	-	-
TR	parliamentaryGroup	party.DSP	DSP	-	Demokratik Sol Parti	Democratic Left Party	1985-11-14	-	-
TR	parliamentaryGroup	party.DYP	DYP	-	Doğru Yol Partisi	True Path Party	1983-01-01	-	-
TR	parliamentaryGroup	party.FAZILET	FAZILET	-	Fazilet Partisi	Virtue Party	1997-01-01	2001-01-01	-
TR	parliamentaryGroup	party.HDP	HDP	-	Halkların Demokratik Partisi	Peoples' Democratic Party	2012-10-15	-	-
TR	parliamentaryGroup	party.IYI	IYI	-	İYİ Parti	İYİ Party	2017-10-25	-	-
TR	parliamentaryGroup	party.MHP	MHP	-	Milliyetçi Hareket Partisi	Nationalist Movement Party	1969-02-09	-	-
TR	parliamentaryGroup	party.ANA	ANA	-	Anadolu Partisi	Anatolia Party	2014-01-01	2015-12-19	-
TR	parliamentaryGroup	party.BDP	BDP	-	Barış ve Demokrasi Partisi	Peace and Democracy Party	2008-05-03	2014-07-01	-
TR	parliamentaryGroup	party.BBP	BBP	-	Büyük Birlik Partisi	Great Unity Party	1993-01-29	-	-
TR	parliamentaryGroup	party.DP	DP	-	Demokrat Parti	Democratic Party	1983-01-01	-	-
TR	parliamentaryGroup	party.DEVA	DEVA	-	Demokrasi ve Atılım Partisi	Democracy and Progress Party	2020-03-09	-	-
TR	parliamentaryGroup	party.eParti	eParti	-	Elektronik Demokrasi Partisi	Electronic Democracy Party	2014-01-01	-	-
TR	parliamentaryGroup	party.MEP	MEP	-	Merkez Parti	Centre Party	2014-01-01	-	-
TR	parliamentaryGroup	party.TiP	TiP	-	Türkiye İşçi Partisi	Workers' Party of Turkey	2017-11-07	-	-
TR	parliamentaryGroup	party.SAADET	SAADET	-	Saadet Partisi	Felicity Party	2001-07-20	-	-
TR	parliamentaryGroup	party.YP	YP	-	Yenilik Partisi	Innovation Party (Turkey)	2020-01-01	-	-
