ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR_2015-02-06-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΛΑΦΑΖΑΝΗΣ, ΠΑΝΑΓΙΩΤΗΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΛΑΦΑΖΑΝΗΣ, ΠΑΝΑΓΙΩΤΗΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Ν.Δ.	Νέα Δημοκρατία	Opposition	ΒΕΣΥΡΟΠΟΥΛΟΣ, ΑΠΟΣΤΟΛΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u7	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u8	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Ν.Δ.	Νέα Δημοκρατία	Opposition	ΒΑΡΒΙΤΣΙΩΤΗΣ, ΜΙΛΤΙΑΔΗΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u9	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u10	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Ν.Δ.	Νέα Δημοκρατία	Opposition	ΒΑΡΒΙΤΣΙΩΤΗΣ, ΜΙΛΤΙΑΔΗΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u11	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u12	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Τ.Π.	Το Ποτάμι	Opposition	ΘΕΟΔΩΡΑΚΗΣ, ΣΤΑΥΡΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u13	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u14	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Τ.Π.	Το Ποτάμι	Opposition	ΘΕΟΔΩΡΑΚΗΣ, ΣΤΑΥΡΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u15	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u16	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Τ.Π.	Το Ποτάμι	Opposition	ΘΕΟΔΩΡΑΚΗΣ, ΣΤΑΥΡΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u17	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u18	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Τ.Π.	Το Ποτάμι	Opposition	ΘΕΟΔΩΡΑΚΗΣ, ΣΤΑΥΡΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u19	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u20	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Regular	MP	Τ.Π.	Το Ποτάμι	Opposition	ΘΕΟΔΩΡΑΚΗΣ, ΣΤΑΥΡΟΣ	M	-
ParlaMint-GR_2015-02-06-S2-commons.u21	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
ParlaMint-GR_2015-02-06-S2-commons.u22	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 3, 2015-02-06	2015-02-06	2015-02-06		ΙΣΤ					Reference	Chairperson	MP	ΣΥ.ΡΙΖ.Α.	Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία	Coalition	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ, ΖΩΗ	F	-
