ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2018-11-29-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Kaderják, Péter	M	1963
u2018-11-29-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP				Csenger-Zalán, Zsolt	M	1957
u2018-11-29-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Kepli, Lajos	M	1978
u2018-11-29-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Kaderják, Péter	M	1963
u2018-11-29-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Kaderják, Péter	M	1963
u2018-11-29-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	Fidesz	Fidesz – Magyar Polgári Szövetség	Coalition	Manninger, Jenő	M	1955
u2018-11-29-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Kepli, Lajos	M	1978
u2018-11-29-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Aradszki, András	M	1956
u2018-11-29-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	LMP1	Lehet Más a Politika	Opposition	Schmuck, Erzsébet	F	1954
u2018-11-29-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	MSZP	Magyar Szocialista Párt	Opposition	Bangóné Borbély, Ildikó	F	1972
u2018-11-29-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP			Opposition	Hajdu, László	M	1947
u2018-11-29-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
