ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u1	La seduta è aperta (ore 10,32).
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u2	[[Si leva in piedi.]] Onorevoli senatrici e senatori, il mio più cordiale saluto e augurio a voi tutti che sedete in quest'Aula, con speciale, affettuosa attenzione a quanti vi entrano per la prima volta; a tutti voi che sedete qui, grazie al consenso e alla fiducia dei cittadini elettori, qualunque sia la forza politica che ciascuno è stato chiamato a rappresentare. Questa XVIII legislatura nasce da un'ampia e appassionata partecipazione elettorale e il nostro punto di riferimento non possono dunque essere oggi che le espressioni della volontà popolare che ne sono chiaramente scaturite. Il voto del 4 marzo ha rispecchiato un forte mutamento nei rapporti tra gli italiani e la politica, quale si era venuta caratterizzando da non pochi anni a questa parte. Si è trattato di un voto che non solo ha travolto certezze e aspettative di forze politiche radicate da tempo nell'assetto istituzionale e di Governo del Paese. Esso ha messo in questione tradizioni, visioni e sensibilità che erano a lungo prevalse. Gli elettori hanno premiato straordinariamente le formazioni politiche che hanno espresso le posizioni di più radicale contestazione, di vera e propria rottura rispetto al passato. La contestazione è scaturita da forti motivi sociali: disuguaglianze, ingiustizie, impoverimenti e arretramenti nella condizione di vasti ceti comprendenti famiglie del popolo e della classe media. In modo particolare, ha pesato il senso di un cronico, intollerabile squilibrio tra Nord e Sud, tale da generare una dilagante ribellione nelle Regioni meridionali, così come si è espressa nel voto. Sono stati condannati in blocco, anche per i troppi esempi da essi dati di clientelismo e corruzione, i circoli dirigenti e i gruppi da tempo stancamente governanti in quelle Regioni. Queste reazioni hanno mostrato quanto poco avesse convinto l'autoesaltazione dei risultati ottenuti negli ultimi anni da Governi e da partiti di maggioranza. In termini politici generali, ha contato molto nelle scelte degli elettori il fatto che i cittadini abbiano sentito i vecchi partiti, i partiti tradizionali, lontani e chiusi rispetto alle sofferte vicende personali di tanti e a diffusi sentimenti di insicurezza e di allarme. Tutto ciò va messo in relazione con il tempo che stiamo vivendo: è il tempo della globalizzazione, dell'instabilità e della crisi generale della politica nei Paesi dell'Occidente; è il tempo di incessanti, sconvolgenti cambiamenti negli equilibri mondiali; cambiamenti sempre più difficili da padroneggiare. Da qui, l'inquietudine che è dilagata tra gli italiani. Sulla scena politica nazionale il voto del 4 marzo ha determinato un netto spartiacque a inequivocabile vantaggio dei movimenti e delle coalizioni che hanno compiuto un balzo in avanti clamoroso nel consenso degli elettori e che quindi, di fatto, sono oggi candidati a governare il Paese. In pari tempo, il partito che nella scorsa legislatura aveva guidato tre esecutivi ha subìto una drastica sconfitta ed è stato respinto all'opposizione. Difficoltà peraltro nascono dal dato obiettivo che nessuna delle forze premiate dagli elettori ha conquistato la maggioranza assoluta dei seggi nelle due Camere. Occorre comunque corrispondere alle scelte del corpo elettorale e delineare la strada per il prossimo futuro del Paese. Alcuni elementi possono concorrere ad allargare l'orizzonte. Si tratta in sostanza di far leva sull'interesse generale dell'Italia. Esso poggia innanzitutto sul senso, che non può mancare, di un comune destino italiano ed europeo. Per quanto, anche a questo proposito, nulla può più darsi per irreversibile o scontato. Infatti, per una larga parte degli elettori, l'Europa è apparsa più come un insieme di costrizioni che come un insieme di idealità e di opportunità. È apparsa segnata da divisioni e incertezze dinanzi all'ondata dei richiedenti asilo e al tema dell'immigrazione, ma tutto ciò non toglie che l'Europa resti il solo ancoraggio per un'Italia che voglia contare nel mondo globale. Con le Istituzioni europee, le nuove forze di Governo e di opposizione italiane avranno da discutere e far valere le loro proposte circa gli indirizzi da seguire, già fra breve in Europa. Ma nel quadro imprescindibile di rapporti anche giuridici e di interessi internazionali rispetto a cui nessuno può pensare di ripartire da zero, anche perché all'integrazione europea si debbono conquiste che nel nostro sentimento più profondo ci appartengono e che nessuno di noi può, a cuor leggero, lasciare che si dissolvano. Conquiste di pace, di sviluppo economico e qualità sociale, di diritti civili; conquiste oggi purtroppo esposte a rischi estremi, non esclusa la stessa basilare conquista della pace. Fare i conti con queste incognite e complessità è indubbiamente interesse generale dell'Italia, condivisibile da quanti rappresentano, pur da opposte sponde, l'Italia nel nuovo Parlamento. Aggiungo che, nell'ulteriore sviluppo del confronto politico istituzionale sulla base del voto del 4 marzo, bene comune da garantire al Paese - chiunque sia chiamato a governare - è la non violenza. Occorre scongiurare la violenza in tutte le sue motivazioni e le sue forme. Sappiamo dove possono condurre le spirali di violenza. Non dimentichiamo gli anni Settanta. Abbiamo appena ricordato l'anniversario della strage di via Fani e quindi del rapimento e della tormentosa prigionia di Aldo Moro, fino alla sua barbara uccisione. Ci resta e ci è caro il lascito prezioso della sua riflessione autocritica, del suo messaggio di libertà e di dialogo. Il confronto politico va egualmente liberato anche da qualsiasi nostalgia o indulgenza verso il regime della violenza che con il fascismo ha dominato per vent'anni l'Italia. Infine è da considerarsi meritorio e importante il fatto che le forze pronte a governare il Paese sulla base del consenso degli elettori abbiano dichiarato di volersi assumere le proprie responsabilità, nel senso di evitare qualsiasi deriva distruttiva per il Paese. Di certo per aprire, nell'attuale scenario, nuove prospettive al Paese sono insieme essenziali il rispetto della volontà popolare e il rispetto delle prerogative del Presidente della Repubblica al quale rivolgo, a nome di voi tutti, l'espressione calorosa della nostra stima e fiducia. [[Generali applausi]] Onorevoli senatrici e senatori, all'ordine del giorno in questa legislatura si pone, impegnativamente per tutti, il tema del rendere più partecipata ed efficiente, attraverso tutti i canali di riforma percorribili, la nostra democrazia. La prima riforma ormai acquisita è quella, davvero rilevante, del Regolamento del nostro stesso Senato perché la nostra, non possiamo dimenticarlo, è una democrazia rappresentativa nei suoi fondamenti ideali e funzionali, cui corrisponde una forma parlamentare di Governo. Questa fu, e rimane, la scelta meditata dell'Assemblea costituente. Nostro dovere è irrobustire quella scelta che non presenta nessuna sostenibile alternativa. Nel solco ideale della Costituzione repubblicana, cari onorevoli senatrici e senatori, ogni evoluzione e trasformazione sollecitata dalla più ampia espressione della volontà popolare, può essere messa validamente alla prova. Grazie per l'attenzione. [[Generali applausi.]]
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u3	Onorevoli colleghi, do di seguito lettura di alcune comunicazioni pervenuteci che sono di interesse per l'Assemblea. Il Presidente della Repubblica, con decreto in data 19 gennaio 2018, ha nominato, ai sensi dell'articolo 59, secondo comma, della Costituzione, senatrice a vita Liliana Segre per avere illustrato la Patria con altissimi meriti nel campo sociale. [[Generali prolungati applausi. L'Assemblea si leva in piedi]] Il vostro applauso mi risparmia - ma lo aggiungo egualmente - il caloroso e rispettoso saluto di benvenuto che rivolgo alla nostra nuova collega.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u4	Con lettera dell'8 marzo scorso, il dottor Giorgio Lattanzi ha comunicato, ai sensi dell'articolo 6 della legge n. 87 dell'11 marzo 1953, la propria elezione a Presidente della Corte costituzionale. A nome di tutti i senatori invio i migliori auguri di buon lavoro al nuovo Presidente. [[Applausi.]] Il Presidente della Repubblica, con lettera del 24 febbraio 2018, ha comunicato che, con decreto in pari data, ha nominato giudice della Corte costituzionale il professor Francesco Viganò.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u5	L'ordine del giorno reca: «Costituzione dell'Ufficio di Presidenza provvisorio». A norma dell'articolo 2, comma 2, del Regolamento, invito i senatori Laforgia, Pirovano, Rampi, Borghesi, Lupo e Di Micco, che risultano essere i più giovani - grande pregio - senatori presenti in Aula ( [[Applausi]] ), a prendere posto al banco della Presidenza per esercitare le funzioni di Segretari provvisori. (I senatori Segretari provvisori prendono posto al banco della Presidenza). La giovinezza è stata constatata de visu.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u6	Il secondo punto all'ordine del giorno reca: «Costituzione della Giunta provvisoria per la verifica dei poteri e proclamazione dei senatori subentranti». La Giunta provvisoria ha il compito di effettuare gli accertamenti relativi alla proclamazione a senatore dei candidati che subentrano ai senatori eletti in più collegi elettorali. Ai sensi dell'articolo 3, comma 3, del Regolamento, la Giunta provvisoria è costituita dai senatori membri della Giunta delle elezioni del Senato della Repubblica della precedente legislatura che sono presenti alla seduta, in numero non inferiore a sette. Invito, pertanto, i senatori Alberti Casellati, Buccarella, Caliendo, Crimi, Cucca, Giarrusso, Ginetti, Malan, Stefani e Stefano a riunirsi immediatamente nell'adiacente sala Pannini. Sospendo la seduta, che riprenderà non appena la Giunta provvisoria avrà concluso i propri lavori. (La seduta, sospesa alle ore 10,48, è ripresa alle ore 12,41). La seduta è ripresa. Comunico che la Giunta provvisoria per la verifica dei poteri ha concluso i propri lavori. Invito pertanto il senatore Segretario provvisorio a dare lettura dei candidati subentranti.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u7	Informo che la Giunta provvisoria per la verifica dei poteri ha comunicato di aver preso atto, sulla base delle proclamazioni pervenute dagli Uffici elettorali regionali, dell'elezione di alcuni senatori in più Regioni e - per le sostituzioni cui occorre provvedere nei seggi resisi in conseguenza vacanti, ai sensi dell'articolo 19 della legge elettorale per il Senato - ha riscontrato che nelle sottoindicate Regioni risultano primi dei non eletti i seguenti candidati: nella Regione Campania: per la lista «Partito democratico», Valeria Valente, in sostituzione del senatore Matteo Renzi; nella Regione Emilia-Romagna: per la lista «Forza Italia», Enrico Aimi, in sostituzione del senatore Paolo Romani; per la lista «Partito democratico», Paola Boldrini, in sostituzione della senatrice Valeria Fedeli; nella Regione Friuli-Venezia Giulia: per la lista «Partito democratico», Tatjana Rojc, in sostituzione del senatore Tommaso Cerno; nella Regione Lazio: per la lista «Lega», Anna Bonfrisco, in sostituzione del senatore Matteo Salvini; William De Vecchis, in sostituzione del senatore Alberto Bagnai; Gianfranco Rufa, in sostituzione della senatrice Giulia Bongiorno; per la lista «Liberi e uguali», Loredana De Petris, in sostituzione del senatore Pietro Grasso; per la lista «Forza Italia», Francesco Maria Giro, in sostituzione della senatrice Anna Maria Bernini; nella Regione Liguria: per la lista «Lega», Francesco Bruzzone, in sostituzione del senatore Matteo Salvini; nella Regione Lombardia: per la lista «Lega», Luigi Augussori, in sostituzione del senatore Christian Solinas; Simone Pillon, in sostituzione di Matteo Salvini; Massimiliano Romeo, in sostituzione della senatrice Giulia Bongiorno; per la lista «Partito democratico», Alan Ferrari, in sostituzione della senatrice Valeria Fedeli; nella Regione Piemonte: per la lista «Fratelli d'Italia con Giorgia Meloni», Giovanbattista Fazzolari, in sostituzione della senatrice Daniela Garnero Santanchè; per la lista «Lega», Giorgio Maria Bergesio, in sostituzione della senatrice Simona Pergreffi; Cesare Pianasso, in sostituzione della senatrice Giulia Bongiorno; nella Regione Puglia: per la lista «Forza Italia», Anna Carmela Minuto, in sostituzione della senatrice Licia Ronzulli; nella Regione Toscana: per la lista «Lega», Tiziana Nisini, in sostituzione della senatrice Erika Stefani; Manuel Vescovi, in sostituzione del senatore Alberto Bagnai; per la lista «Partito democratico», Caterina Biti, in sostituzione della senatrice Roberta Pinotti; nella Regione Umbria: per la lista «Partito democratico», Leonardo Grimani, in sostituzione del senatore Matteo Renzi; nella Regione Veneto: per la lista «Fratelli d'Italia con Giorgia Meloni», Adolfo Urso, in sostituzione della senatrice Daniela Garnero Santanchè.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u8	Do atto alla Giunta di queste sue comunicazioni e proclamo quindi senatori della Repubblica i candidati subentranti. [[Generali applausi]] Avverto che da oggi decorre, nei confronti dei nuovi proclamati, il termine di venti giorni per la presentazione di eventuali reclami.
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u9	L'ordine delgiorno reca: «Votazione per l'elezione del Presidente». Per l'elezione del Presidente del Senato si procederà, ai sensi dell'articolo 4 del Regolamento, con votazione a scrutinio segreto. Ricordo che in questo scrutinio per l'elezione è richiesta la maggioranza assoluta dei componenti del Senato, e cioè 161 voti. Per consentire il più ordinato svolgimento delle operazioni di voto, davanti al banco della Presidenza è stata approntata, come di consueto, una cabina. I colleghi senatori, immediatamente prima dell'ingresso in cabina, riceveranno dagli assistenti parlamentari una scheda che, dopo il voto, gentilmente depositeranno nell'apposita urna all'uscita dalla cabina stessa. Dichiaro aperta la votazione a scrutinio segreto. Invito il senatore Segretario provvisorio a procedere all'appello dei senatori in ordine alfabetico. Preciso che ci sarà una sola chiama. Essendo chiaro a ciascuno qual è la sua collocazione nell'ordine alfabetico, prego ciascuno di prepararsi al momento in cui toccherà a quella lettera. [[Applausi]] . (La senatrice segretario provvisorio Lupo e, successivamente, il senatore segretario provvisorio Laforgia fanno l'appello). Prendono parte alla votazione i senatori: Abate, Accoto, Agostinelli, Aimi, Airola, Alberti Casellati, Alderisi, Alfieri, Anastasi, Angrisani, Arrigoni, Auddino, Augussori Bagnai, Balboni, Barachini, Barbaro, Barboni, Battistoni, Bellanova, Berardi, Bergesio, Bernini, Bertacco, Berutti, Biasotti, Binetti, Bini, Biti, Bogo Deledda, Boldrini, Bonfrisco, Bongiorno, Bonifazi, Bonino, Borghesi, Borgonzoni, Bossi Simone, Bossi Umberto, Bottici, Botto, Bressa, Briziarelli, Bruzzone, Buccarella Calderoli, Caliendo, Campagna, Campari, Candiani, Candura, Cangini, Cantù, Carbone, Cario, Casini, Casolati, Castaldi, Castellone, Castiello, Catalfo, Cattaneo, Causin, Centinaio, Cerno, Cesaro, Ciampolillo, Cioffi, Ciriani, Cirinnà, Collina, Coltorti, Comincini, Conzatti, Corbetta, Corrado, Craxi, Crimi, Croatti, Crucioli, Cucca D'Alfonso, D'Angelo, D'Arienzo, Dal Mas, Damiani, De Bertoldi, De Bonis, De Falco, De Lucia, De Petris, De Poli, De Siano, De Vecchis, Dell'Olio, Dessì, Di Girolamo, Di Marzio, Di Micco, Di Nicola, Di Piazza, Donno, Drago, Durnwalder Endrizzi, Errani, Evangelista Faggi, Fantetti, Faraone, Fattori, Fazzolari, Fazzone, Fede, Fedeli, Fenu, Ferrara, Ferrari, Ferrazzi, Ferrero, Ferro, Floridia, Floris, Fregolent, Fusco Galliani, Gallicchio, Gallone, Garavini, Garnero Santanché, Garruti, Gasparri, Gaudiano, Ghedini, Giacobbe, Giammanco, Giannuzzi, Giarrusso, Ginetti, Giro, Girotto, Granato, Grassi, Grasso, Grimani, Guidolin Iannone, Iori, Iwobi L'Abbate, La Mura, La Pietra, La Russa, Laforgia, Lanièce, Lannutti, Lanzi, Laus, Leone, Lezzi, Licheri, Lomuti, Lonardo, Lorefice, Lucidi, Lupo Magorno, Maiorino, Malan, Mallegni, Malpezzi, Manca, Mangialavori, Mantero, Mantovani, Marcucci, Margiotta, Marilotti, Marin, Marinello, Marino, Marsilio, Martelli, Marti, Masini, Matrisciano, Mautone, Merlo, Messina Alfredo, Messina Assunta Carmela, Mininno, Minuto, Mirabelli, Misiani, Modena, Moles, Mollame, Montani, Montevecchi, Monti, Moronese, Morra Nannicini, Napolitano, Nastri, Naturale, Nencini, Nisini, Nocerino, Nugnes Ortis, Ortolani, Ostellari Pacifico, Pagano, Papatheu, Paragone, Parente, Paroli, Parrini, Patriarca, Patuanelli, Pazzaglini, Pellegrini Emanuele, Pellegrini Marco, Pepe, Pergreffi, Perilli, Perosino, Pesco, Petrocelli, Pianasso, Piarulli, Pichetto Fratin, Pillon, Pinotti, Pirovano, Pirro, Pisani Giuseppe, Pisani Pietro, Pittella, Pittoni, Pizzol, Presutto, Pucciarelli, Puglia Quagliariello, Quarto Rampi, Rauti, Renzi, Riccardi, Ricciardi, Richetti, Ripamonti, Rivolta, Rizzotti, Rojc, Romagnoli, Romani, Romano, Romeo, Ronzulli, Rossi, Rossomando, Rubbia, Rufa, Ruspandini, Russo Saccone, Salvini, Santangelo, Santillo, Saponara, Saviane, Sbrana, Sbrollini, Schifani, Sciascia, Segre, Serafini, Siclari, Sileri, Siri, Solinas, Stabile, Stancanelli, Stefani, Stefano, Steger, Sudano Taricco, Taverna, Tesei, Testor, Tiraboschi, Toffanin, Toninelli, Tosato, Totaro, Trentacoste, Turco Unterberger, Urraro, Urso Vaccaro, Valente, Vallardi, Vanin, Vattuone, Verducci, Vescovi, Vitali, Vono Zaffini, Zanda, Zuliani. Dichiaro chiusa la votazione e dispongo che l'Ufficio di Presidenza provvisorio proceda allo spoglio delle schede in seduta pubblica. Desidero sinceramente ringraziare i senatori Segretari per la loro collaborazione. Invito due senatori Segretari a portare l'urna sul banco della Presidenza. (I senatori Segretari provvisori procedono allo spoglio delle schede. Il Presidente provvisorio procede alla lettura delle schede che gli vengono passate dal Segretario generale e le porge a sua volta ai senatori Segretari provvisori che prendono nota dei voti espressi). Invito i senatori Segretari provvisori a procedere al computo dei voti, per quanto non mi pare siano presenti particolari complessità. Comunque, abbiamo bisogno egualmente del computo conclusivo. (I senatori Segretari provvisori procedono al computo dei voti).
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u10	Proclamo il risultato della votazione a scrutinio segreto per l'elezione del Presidente del Senato: [[Senatori presenti 317 Senatori votanti 317 Maggioranza assoluta dei componenti del Senato 161 Voti dispersi 5 Schede bianche 312 Schede nulle 0]] Poiché nessun senatore ha conseguito la maggioranza assoluta dei voti dei componenti del Senato, occorre procedere, ai sensi dell'articolo 4 del Regolamento, a una seconda votazione a scrutinio segreto, con la medesima maggioranza richiesta, che avrà luogo questo pomeriggio alle ore 17. La seduta è sospesa. (La seduta, sospesa alle ore 14,20, è ripresa alle ore 17,02).
ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.u11	Ricordo agli onorevoli colleghi che, ai sensi dell'articolo 4 del Regolamento, dobbiamo procedere alla seconda votazione a scrutinio segreto per l'elezione del Presidente del Senato. Anche in questa votazione è necessaria la maggioranza assoluta dei componenti dell'Assemblea, cioè 161 voti. Dichiaro aperta la votazione a scrutinio segreto. Invito il senatore Segretario provvisorio a procedere all'appello dei senatori in ordine alfabetico. (La senatrice segretario provvisorio Pirovano e, successivamente, il senatore segretario provvisorio Di Micco fanno l'appello). Prendono parte alla votazione i senatori: Abate, Accoto, Agostinelli, Aimi, Airola, Alberti Casellati, Alderisi, Alfieri, Anastasi, Angrisani, Arrigoni, Astorre, Auddino, Augussori Bagnai, Balboni, Barachini, Barbaro, Barboni, Battistoni, Bellanova, Berardi, Bergesio, Bernini, Bertacco, Berutti, Biasotti, Binetti, Bini, Biti, Bogo Deledda, Boldrini, Bonfrisco, Bongiorno, Bonifazi, Bonino, Borghesi, Borgonzoni, Bossi Simone, Bossi Umberto, Bottici, Botto, Bressa, Briziarelli, Bruzzone, Buccarella Calderoli, Caliendo, Campagna, Campari, Candiani, Candura, Cangini, Cantù, Carbone, Cario, Casini, Casolati, Castaldi, Castellone, Castiello, Catalfo, Cattaneo, Causin, Centinaio, Cerno, Cesaro, Ciampolillo, Cioffi, Ciriani, Cirinnà, Collina, Coltorti, Comincini, Conzatti, Corbetta, Corrado, Craxi, Crimi, Croatti, Crucioli, Cucca D'Alfonso, D'Angelo, D'Arienzo, Dal Mas, Damiani, De Bertoldi, De Bonis, De Falco, De Lucia, De Petris, De Poli, De Siano, De Vecchis, Dell'Olio, Dessì, Di Girolamo, Di Marzio, Di Micco, Di Nicola, Di Piazza, Donno, Drago, Durnwalder Endrizzi, Errani, Evangelista Faggi, Fantetti, Faraone, Fattori, Fazzolari, Fazzone, Fede, Fedeli, Fenu, Ferrara, Ferrari, Ferrazzi, Ferrero, Ferro, Floridia, Floris, Fregolent, Fusco Galliani, Gallicchio, Gallone, Garavini, Garnero Santanché, Garruti, Gasparri, Gaudiano, Ghedini, Giacobbe, Giammanco, Giannuzzi, Giarrusso, Ginetti, Giro, Girotto, Granato, Grassi, Grasso, Grimani, Guidolin Iannone, Iori, Iwobi L'Abbate, La Mura, La Pietra, La Russa, Laforgia, Lanièce, Lannutti, Lanzi, Laus, Leone, Lezzi, Licheri, Lomuti, Lonardo, Lorefice, Lucidi, Lupo Magoni, Magorno, Maiorino, Malan, Mallegni, Malpezzi, Manca, Mangialavori, Mantero, Mantovani, Marcucci, Margiotta, Marilotti, Marin, Marinello, Marino, Marsilio, Martelli, Marti, Masini, Matrisciano, Mautone, Merlo, Messina Alfredo, Messina Assunta Carmela, Mininno, Minuto, Mirabelli, Misiani, Modena, Moles, Mollame, Montani, Montevecchi, Monti, Moronese, Morra Nannicini, Napolitano, Nastri, Naturale, Nencini, Nisini, Nocerino, Nugnes Ortis, Ortolani, Ostellari Pacifico, Pagano, Papatheu, Paragone, Parente, Paroli, Parrini, Patriarca, Patuanelli, Pazzaglini, Pellegrini Emanuele, Pellegrini Marco, Pepe, Pergreffi, Perilli, Perosino, Pesco, Petrocelli, Pianasso, Piarulli, Pichetto Fratin, Pillon, Pinotti, Pirovano, Pirro, Pisani Giuseppe, Pisani Pietro, Pittella, Pittoni, Pizzol, Presutto, Pucciarelli, Puglia Quagliariello, Quarto Rampi, Rauti, Renzi, Riccardi, Ricciardi, Richetti, Ripamonti, Rivolta, Rizzotti, Rojc, Romagnoli, Romani, Romano, Romeo, Ronzulli, Rossi, Rossomando, Rubbia, Rufa, Ruspandini, Russo Saccone, Salvini, Santangelo, Santillo, Saponara, Saviane, Sbrana, Sbrollini, Schifani, Sciascia, Segre, Serafini, Siclari, Sileri, Siri, Solinas, Stabile, Stancanelli, Stefani, Stefano, Steger, Sudano Taricco, Taverna, Tesei, Testor, Tiraboschi, Toffanin, Toninelli, Tosato, Totaro, Trentacoste, Turco Unterberger, Urraro, Urso Vaccaro, Valente, Vallardi, Vanin, Vattuone, Verducci, Vescovi, Vitali, Vono Zaffini, Zanda, Zuliani. Dichiaro chiusa la votazione. Ringrazio per questa faticosa chiama i senatori Segretari provvisori e le gentili assistenti parlamentari. Dispongo che l'Ufficio di Presidenza provvisorio proceda allo spoglio delle schede in seduta pubblica. Invito due senatori Segretari provvisori a portare l'urna sul banco della Presidenza. (I senatori Segretari provvisori procedono allo spoglio delle schede. Il Presidente provvisorio procede alla lettura delle schede che gli vengono passate dal Segretario generale e le porge a sua volta ai senatori Segretari provvisori che prendono nota dei voti espressi). Invito i senatori Segretari provvisori a procedere al computo dei voti. (I senatori Segretari provvisori procedono al computo dei voti).
