ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Regular	MP	M5S.2	MoVimento 5 Stelle	Coalition	Pesco, Daniele	M	1973
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FdI	Fratelli d'Italia	Opposition	La Russa, Ignazio	M	1947
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Regular	MP	Aut (SVP-PATT, UV)	Per le Autonomie (SVP-PATT, UV)	Coalition	Cattaneo, Elena	F	1962
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Alberti Casellati, Maria Elisabetta	F	1946
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Regular	MP	Aut (SVP-PATT, UV)	Per le Autonomie (SVP-PATT, UV)	Coalition	Cattaneo, Elena	F	1962
ParlaMint-IT_2022-09-07-LEG18-Senato-sed-463.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 463, Day (2022-09-07)	2022-09-07	2022-09-07	Upper house	18-upper			463-upper		COVID	Chairperson	MP	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Alberti Casellati, Maria Elisabetta	F	1946
