Country	Role	From	To	Party IDs
BE	coalition	-	-	-
BE	opposition	-	-	-
BG	coalition	-	-	-
BG	opposition	-	-	-
CZ	coalition	-	-	-
CZ	opposition	-	-	-
DK	coalition	2014-02-03	2015-06-27	party.S party.RV
DK	coalition	2015-06-28	2016-11-27	party.V
DK	coalition	2016-11-28	2019-06-27	party.V party.KF party.LA
DK	coalition	2019-06-28	-	party.S
DK	opposition	-	-	-
ES	coalition	2019-12-03  - party.PSdGPSOE party.PSEEEPSOE party.PSOE party.ECPGUAYEMELCANVI party.UP party.ECUP
ES	opposition	-	-	-
FR	coalition	-	-	-
FR	opposition	-	-	-
GB	coalition	-	-	-
GB	opposition	-	-	-
HR	coalition	-	-	-
HR	opposition	-	-	-
HU	coalition	-	-	-
HU	opposition	-	-	-
IS	coalition	2013-05-23	2016-04-07	party.F party.S
IS	coalition	2016-04-07	2017-01-11	party.F party.S
IS	coalition	2017-01-11	2017-11-30	party.S party.V party.Bf
IS	coalition	2017-11-30	-	party.S party.F party.Vg
IS	opposition	-	-	-
IT	coalition	2013-04-28	2014-02-22	group.PD group.PdL group.NCD group.SCpI group.Aut.SVP.UV.PATT.UPT.PSI
IT	coalition	2014-02-22	2016-12-12	group.PD group.NCD group.PI group.Aut.SVP.UV.PATT.UPT.PSI-MAIE
IT	coalition	2016-12-12	2018-06-01	group.PD group.AP-CpE-NCD group.Aut.SVP.UV.PATT.UPT.PSI-MAIE
IT	coalition	2018-06-01	2019-09-05	group.M5S.2 group.L-SP
IT	coalition	2019-09-05	2021-02-12	group.M5S.2 group.PD group.IV-PSI group.Art.1-MDP-LeU group.Aut.SVP-PATT.UV
IT	opposition	-	-	-
LT	coalition	-	-	-
LT	opposition	-	-	-
LV	coalition	-	-	-
LV	opposition	-	-	-
NL	coalition	2012-11-05	2017-03-14	party.VVD party.PvdA
NL	coalition	2017-10-26	2021-01-15	party.CDA party.VVD party.ChristenUnie party.D66
NL	opposition	2012-11-05	2017-03-14	party.PVV party.SP party.CDA party.D66 party.ChristenUnie party.GroenLinks party.SGP party.PvdD party.50PLUS
NL	opposition	2017-10-26	2021-01-15	party.PVV party.GroenLinks party.SP party.FvD party.PvdA party.PvdD party.SGP party.DENK party.50PLUS party.Krol party.vKA
PL	coalition	-	-	-
PL	opposition	-	-	-
SI	coalition	2013-03-20	2014-09-18	party.PS party.SD party.DL party.DeSUS
SI	coalition	2014-09-18	2018-09-12	party.SMC.1 party.SMC.2 party.SD party.DeSUS
SI	coalition	2018-09-13	2020-03-12	party.LMŠ party.SMC.2 party.SD party.SAB party.DeSUS
SI	coalition	2020-03-13	-	party.SDS.2 party.SMC.2 party.NSi party.DeSUS
SI	opposition	-	-	-
TR	coalition	-	-	-
TR	opposition	-	-	-
