ParlaMint-BE_2016-10-13-54-plenair-ip130x.u1	[[De voorzitter:]] De vergadering is geopend. La séance est ouverte.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u2	Bij brief van 11 oktober 2016 brengt de Senaat ons ter kennis dat hij ter vergadering van die dag voor wettig en voltallig verklaard is. Par message du 11 octobre 2016, le Sénat fait connaître qu'il s'est constitué en sa séance de ce jour.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u3	[[02.01 Jan Penris (VB):]] Mijnheer de voorzitter, ik wil kort het woord voeren met betrekking tot de regeling van de werkzaamheden. Ik had een actuele vraag ingediend met betrekking tot het astronomisch hoge bedrag dat onze kroonprinses binnenkort zal mogen ontvangen van onze gemeenschap. U hebt mijn actuele vraag afgewezen. U zult zich herinneren, mijnheer de voorzitter, dat in Nederland begin deze week rond een gelijkaardig incident over de dotatie aan prinses Amalia heel wat commotie is ontstaan. De Vlaamse pers heeft dat overgenomen en heeft ook berekend wat de kostprijs voor onze kroonprinses zou zijn. Dat is een aanzienlijk bedrag en daar wordt op dit ogenblik heel veel over gedebatteerd. De pers is daarmee bezig en niemand minder dan onze goede collega uit het Vlaams Parlement, Herman De Croo, vond het nuttig en nodig om zich in dit debat te mengen. Ik denk dat er voldoende actuele gegevens waren om dit als actuele vraag aan te houden. Mijnheer de voorzitter, u hebt mijn fractieleidster meegedeeld dat dit onderwerp niet actueel genoeg is en u hebt eraan toegevoegd dat het eventueel kan worden behandeld in het kader van de begrotingsbesprekingen. Ik wil wel, maar in het Frans bestaat daar een uitdrukking voor:noyer le poisson. Breng dit onderwerp onder bij een groter geheel en het zal wel passeren. Uw demarche, mijnheer de voorzitter, verbaast me en stelt me teleur. Ze verbaast me, omdat ik u heb leren kennen, en intussen ook heb leren waarderen, als een bijzonder coulante voorzitter. U bent iemand die heel weinig parlementaire initiatieven afwijst. Het aantal actuele vragen dat u hebt afgewezen is, denk ik, nog op één hand te tellen. Het stelt me teleur, omdat uitgerekend u het bent, een prominent lid van een republikeinse partij, die het nodig vindt om het koninklijk hof uit de wind te zetten. Ik neem daar akte van, ik kan niet anders, maar ik doe dat in de vrolijke wetenschap dat uw kiezer u dat zeker niet ten goede zal duiden.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u4	[[De voorzitter:]] Dank u, mijnheer Penris, maar ik blijf bij die beslissing. Ik moet u dus teleurstellen. Overeenkomstig het advies van de Conferentie van voorzitters van 12 oktober 2016, stel ik u voor de agenda te beginnen met de interpellaties. Conformément à l'avis de la Conférence des présidents du 12 octobre 2016, je vous propose de commencer l'ordre du jour par les interpellations. Geen bezwaar? [[(Nee)]] Aldus wordt besloten. Pas d'observation? [[(Non)]] Il en sera ainsi.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u5	[[03.01 Meryame Kitir (sp.a):]] Mijnheer de voorzitter, collega’s, premier, welkom. Het is goed dat u vandaag hier bent. Het is goed dat u vandaag wel de moeite doet om tot hier te komen. Na de woelige dagen hebben het Parlement en de bevolking toch recht op een woordje uitleg. Eigenlijk, mijnheer de premier, had u hier dinsdag moeten staan met uw State of the Union. U hebt uitstel gevraagd en zelfs dat uitstel loopt in het honderd. Want hoeveel tijd hebt u nodig, mijnheer de premier? Vraagt u een dag uitstel? Vraagt u een week uitstel? Vraagt u uitstel voor onbeperkte duur? Niemand die het weet. Boven op de chaos die er vandaag al is, creëert u extra chaos. U toont weinig leiderschap op dat vlak. Mijnheer de premier, als baas van ons land kent u ongetwijfeld de leuze van ons land. Ze staat hier boven me: “L’union fait la force”, “Eendracht maakt macht”. Mijnheer de premier, hoeveel macht hebt u vandaag nog? Hoeveel eendracht heeft uw regering vandaag nog? Hoeveel vertrouwen is er nog in uw regering? U staat hier vandaag met lege handen. Geen State of the Union, geen begrotingsakkoord, geen grote hervormingen, want uw regering is verdeeld. Uw regering is diep verdeeld. Uw ministers lopen weg van de onderhandelingstafel. Uw ministers lanceren nog liever voorstellen in de pers dan in de regering. Zelfs de medewerkers lopen in de gangen van dit Parlement ruzie te maken. Mijnheer de premier, is het niet erg dat u uw vier regeringspartijen, waarmee u reeds twee jaar lang regeert, vandaag niet aan een en dezelfde tafel krijgt? Het is toch wel ver gekomen! Het lijkt mij ook dat u eerlijk gezegd niet echt verwonderd kunt zijn. Deze crisis was ergens wel voorspeld. Uw regering loopt al twee jaar ruzie te maken. Twee jaar sukkelt uw regering van het ene incident naar het andere. De naam “kibbelkabinet” plakt dan ook niet voor niets op uw regering. Die verdeeldheid leidt telkens naar uitkomsten waarbij mensen verliezen, mijnheer de premier. U maakt er nu een verhaal van winnaars en verliezers van, terwijl het een verhaal zou moeten zijn van ons allemaal, een verhaal waarvan iedereen beter wordt. U bewijst hier alleen maar mee, mijnheer de premier, dat u niet in staat bent om te regeren. Wat ligt er nu op tafel? CD&V wil een meerwaardebelasting. De N-VA wil een verlaging van de vennootschapsbelasting. En Open Vld wil het spaargeld activeren. Alle drie de partijen houden voet bij stuk. Alle drie blijven ze bij hun eigen standpunt. Er beweegt voorlopig niets. Weet u wat dat betekent? Dat betekent dat er ofwel geen hervormingen zullen komen, ofwel zullen er halfslachtige hervormingen komen die onze economie geen boost zullen geven, terwijl u deze begroting zou moeten aangrijpen om eindelijk een evenwicht te brengen in uw beleid. Tot nu toe hebt u altijd van dezelfde mensen een bijdrage gevraagd. Toch lees ik in de kranten over besparingen in de sociale zekerheid, de gezondheidszorg en de pensioenen, terwijl de mensen snakken naar een eerlijk beleid. Ik begrijp niet waarom u niet naar hen luistert. Ik heb drie vragen voor u, mijnheer de eerste minister. Ten eerste, doe iets aan die verdeeldheid binnen uw regering. U wordt er niet beter van, de oppositie wordt er niet beter van, laat staan de mensen buiten dit Parlement. Pak de verdeeldheid binnen uw regering aan. Ten tweede, maak van de begroting die u zaterdag niet alleen bij Europa, maar ook in dit Parlement moet indienen, een evenwichtige begroting. Vergeet niet dat u al heel veel van de mensen hebt gevraagd: een indexsprong, een verhoging van de pensioenleeftijd en de 4 miljard btw die u al door de middenklasse hebt laten betalen. Zorg dat de begroting deze keer in evenwicht is. Als u maatregelen neemt, zorg er ten minste voor dat de maatregelen die u neemt gefinancierd zijn. Ik hoor minister Van Overtveldt zeggen dat de vennootschapsbelasting is geregeld, dat er daarvoor een financiering is gevonden en ik hoor de heer Beke zeggen dat de vennootschapsbelasting bijlange nog niet is gefinancierd. Op dat vlak weet ik wel wie ik moet geloven, want vergeet niet, beste vrienden, ook de taxshift is vandaag nog altijd niet gefinancierd. Ten derde, laat het de laatste keer zijn dat het zo chaotisch verloopt. Van een premier verwachten wij dat hij een verklaring komt geven over hoe hij de uitdagingen waarvoor ons land staat, wil aanpakken, hoe wij allemaal, ook de mensen buiten dit Huis, er beter van zullen worden. Van een premier verwacht men ook dat hij zorgt voor rust en stabiliteit. Op dit moment zie ik enkel maar chaos. Eerlijk gezegd, ik had veel meer verwacht.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u6	[[03.02 Catherine Fonck (cdH):]] Monsieur le président, monsieur le premier ministre, mesdames et messieurs les ministres, mieux vaut tard que jamais. Vous êtes ici, aujourd'hui, à la Chambre, tous ensemble. Vous n'êtes pas venus mardi, ni faire de déclaration, ni donner une seule explication par rapport à votre absence d'accord. Par contre, vous aviez envoyé votre ministre du Budget faire la déclaration du gouvernement sur les ondes de la radio. Mais, enfin, vous voilà aujourd'hui! Monsieur le premier ministre, vous êtes responsable de la crise gouvernementale que vous vivez aujourd'hui. Vous directement, car ce qui se passe, cela n'est pas sérieux, cela n'est pas de la bonne gestion, cela n'est pas de la bonne gouvernance. Comment expliquez-vous que vous vous y soyez pris à la dernière minute, alors même que ce trou budgétaire dérape depuis des mois et des mois? Comment expliquez-vous que vous ayez pris, en juillet, la situation à la légère, avec un grand show médiatique, mais, en même temps, sans d'aucune manière pouvoir réellement réaliser un travail de fond sur le budget? Comment peut-on expliquer la bonne gestion, quand un trou, d'abord estimé à 2,4 milliards, s'est transformé en 4,2 milliards? Comment peut-on expliquer la bonne gestion, quand nous voyons que ce sont les mesures qui sont décidées par votre gouvernement qui sont directement responsables du trou budgétaire qui est aujourd'hui le vôtre? Pourtant, vous en avez demandé, des efforts, des mesures brutales, imposées aux citoyens, sauts d'index, en matière de santé, que cela soit au niveau des taxes, à gogo, que cela soit la TVA sur l'électricité, et j'en passe… Vous allez bien sûr encore nous faire du "hollandisme", en nous disant que tout va bien, comme vous le faites chaque semaine. Caterpillar, ING, je peux en citer beaucoup d'autres… C'est bien de regarder son nombril mais quand nous regardons la situation à l'échelle européenne, le moins que nous puissions dire, c'est que la situation est tout sauf flatteuse. Par exemple, faut-il encore vous rappeler qu'en matière de variation d'emplois, vous êtes parmi les plus mauvais? Faut-il rappeler qu'au niveau de la dette publique, vous êtes parmi les pays et singulièrement les pays voisins, les plus mauvais? Faut-il encore rappeler, parce qu'un gouvernement n'est pas là pour créer de l'inflation, mais bien pour créer de l'emploi, que vous êtes aussi dans les records d'inflation avec un taux d'inflation augmenté de 2 %? En matière d'emplois, vous revenez toujours avec vos 70 000, mais sur douze trimestres! Calculez bien, c'était déjà sous le gouvernement précédent et grâce aux mesures prises alors. L'avantage de la crise actuelle, est que lorsqu'il n'y a pas d'accord sur tout, il n'y a d'accord sur rien. Je suis sûre que si je vous pose plein de questions aujourd'hui, vous répondrez, monsieur le premier ministre, que vous n'avez rien à dire puisque l'accord n'est pas bouclé. Je vais plutôt vous proposer un plan B avec les cinq grands axes essentiels pour le cdH. Premièrement, il faut revenir sur votre pré-décision en matière de santé. Imposer un milliard d'économies supplémentaires en santé, c'est indécent après les deux milliards déjà réalisés. Madame De Block, vous disiez, il y a à peine quelques semaines, qu'il n'était pas question de faire un euro d'économie supplémentaire dans la mesure où cela pénaliserait directement le patient. Quelques semaines plus tard, il n'y a pas de problème! Touchez les hôpitaux et, vous le savez, il y aura moins de personnel infirmier, moins d'apports vers les patients, des patients gériatriques devront sortir plus vite; pour aller où alors qu'on manque de places? Toucher les médicaments, c'est directement mettre en difficulté les patients. Le deuxième axe concerne une réforme en matière de fiscalité pour deux objectifs majeurs: réduire le coût du travail pour soutenir l'emploi en rééquilibrant les choses entre les multinationales et les PME et en mobilisant l'épargne et les investissements vers l'économie réelle. Troisième axe, en matière de réforme du travail, monsieur le ministre de l'Emploi, je plaide auprès de vous pour qu'on trouve la direction d'un nouveau pacte social sur la flexibilité, avec les partenaires sociaux, à condition que cette flexibilité ne soit pas imposée unilatéralement et qu'elle soit accompagnée de la conciliation vie familiale, vie personnelle et vie privée. Le quatrième axe est un plan d'investissement sur la mobilité, l'énergie, le numérique et l'innovation, ainsi que sur la santé. Le cinquième axe, c'est la lutte contre le terrorisme car aujourd'hui, nos forces de police, de justice et de renseignement sont sur les genoux. Il est temps de les soutenir. La sécurité a un prix, c'est vrai, mais elle est existentielle. Monsieur le premier ministre, aujourd'hui votre gouvernement est en crise. Nous assistons à un choc des egos particratiques. Chacun y va de sa petite idée en balayant celle des autres, y compris le ministre des Finances sur Twitter. Quand allez-vous enfin endosser votre costume de premier ministre et diriger votre attelage gouvernemental? Quand allez-vous enfin diriger ce pays avec comme objectif l'intérêt général plutôt que les petits intérêts particratiques? Les citoyens et l'emploi ont absolument besoin d'un sursaut gouvernemental. C'est votre responsabilité.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u7	[[03.03 Kristof Calvo (Ecolo-Groen):]] Mijnheer de eerste minister, wij lezen in de krant dat uw regering onze vergadering maar niets vindt: een verplicht nummertje, nergens goed voor, verloren tijd. Ik begrijp dat niet, collega's, want ik vind dat de eerste minister de oppositie eigenlijk zou moeten bedanken. De oppositie is erin geslaagd de heer De Croo, de heer Peeters en de heer Michel opnieuw in één kamer te krijgen. Wij hebben ze samengebracht. Mijnheer de eerste minister, dat is u de afgelopen 24 uur niet gelukt. De sessie nu heeft er alvast voor gezorgd dat u hier opnieuw netjes samen een kamer deelt. Eerlijk gezegd, mijnheer de eerste minister, ik begrijp niet dat u geen goesting hebt om hierheen te komen. Zeker op dit moment moet de eerste minister de volksvertegenwoordiging in de ogen kijken, zeker op dit moment moet de eerste minister onze landgenoten in de ogen kijken, want het is een politiek en maatschappelijk belangrijk moment. Uiteraard gaat het debat over uw positie, mijnheer de eerste minister. Uiteraard gaat het debat over de meerderheid en de verdeeldheid daarin. Maar het debat gaat vooral over ons, over ons land, over onze burgers en bedrijven. In welk land willen wij wakker worden? Wat zullen wij in 2017 doen om onze burgers en bedrijven perspectieven te geven? Ik wil u drie vragen stellen. Ten eerste, toon leiderschap. Durf leiderschap tentoon te spreiden. Ten tweede, durf dingen die vandaag op tafel liggen, te herbekijken. Ten derde, durf echt grondig te hervormen. Eerst en vooral, durf een echte leider te zijn. Durf de kapitein te zijn waar ons land naar snakt. Hou uw troepen in het gareel. Gisteren liet Johan Van Overtveldt via de sociale media weten dat Kris Peeters en Wouter Beke hun dossiers niet kennen. Dat is niet ernstig. Dat is niet ernstig, mijnheer de eerste minister. Scouts en Chiro vergaderen op een ernstiger manier dat uw regering. Hou daar alstublieft mee op! Dat is niet ernstig! Wat ik mij afvraag – en ik kijk nu naar de collega’s met een beetje meer ervaring – is of Johan Van Overtveldt hetzelfde zou doen onder een eerste minister als Jean-Luc Dehaene? Zou hij dat durven te doen onder Guy Verhofstadt? Ik twijfel daaraan. Blijkbaar denken uw regeringsleden dat dat normaal is, dat dat kan. Daarom heb ik deze oproep aan u. Ten eerste, toon leiderschap, wees die eerste minister en doe met uw regering wat normale mensen doen, op de werkvloer, in de sportclub, in de kantine, namelijk samenwerken, met mekaar babbelen en vooruitgaan. Dat is mijn eerste oproep aan u, mijnheer de eerste minister. Ten tweede, er ligt blijkbaar reeds een en ander op tafel. De heer Reynders heeft afgelopen maandag gezegd dat het akkoord voor 99,9 % rond was. Vandaag zijn wij donderdag en er is nog niets ingediend. Er lekken echter wel maatregelen uit en ik ben daarover zeer bezorgd. Mijnheer Peeters, uw gevecht de komende uren en dagen mag niet alleen gaan over wat er nog moet bijkomen. U zult wat ons betreft ook hard moeten knokken om nog een aantal dingen van de tafel te vegen. Ik verklaar mij nader. Ik lees in de kranten – en ik begrijp dit niet – dat de meerderheid opnieuw zal besparen bij burgers die het moeilijk hebben, dat zij zal beknibbelen op de welvaartsvastheid van onze uitkeringen, dat zij zal besparen bij burgers die in armoede leven, bij gepensioneerden. Mijnheer Peeters, dat moet van tafel! Dan is er de gezondheidszorg. De heer Van Gorp van de CM maakt zich zorgen. Als men zo diep snijdt in de gezondheidszorg, worden onze patiënten geraakt, aldus de heer Van Gorp. Mijnheer Peeters, hop, dat moet van tafel. Dat moet van tafel, want anders, collega’s, is het opnieuw de N-VA die het pleit wint; anders is het opnieuw een begroting, mijnheer De Roover, waarin er meer wordt gehaald bij de sociale zekerheid, bij de mensen die het moeilijk hebben, dan bij de grootste vermogens, bij multinationals en mensen die echt wel een stukje kunnen bijdragen. Ten slotte is mijn derde oproep om echt te durven hervormen. Drie trofeeën, een trofee voor elke partij, is nog geen coherente fiscale visie. Een trofee voor elke partij is nog geen maatschappelijk project. Ik kijk dan naar hetgeen op tafel ligt. Men zou de vennootschapsbelasting hervormen. Deze stap moeten wij zetten: er moet een eerlijke vennootschapsbelasting komen voor onze kmo’s. Het gaat ook over de vermogensbijdrage. Mijnheer Peeters, overigens bedankt om de tekst te delen, maar er zijn zo veel uitzonderingen, zo veel alsen en maren aan het voorstel dat het opnieuw een kwestie zal zijn van miljoenen en dat het misschien niet eens zal werken. Wij hebben een echte bijdrage van de grootste vermogens nodig, geen symbolen, geen trofeeën maar een echte bijdrage. Een laatste voorbeeld is de tankkaart. Blijkbaar komt er nog een kot bij, nog een extra belasting, nog iets wat ons fiscaal systeem complexer maakt. Er komt nu nog een belasting op tankkaarten. Mijnheer Michel, waarom wordt het systeem van de bedrijfswagens niet gewoon hervormd? Waarom blijven die voor 4 miljard gesubsidieerd en komt er een extra belasting? Neen, het is tijd voor een echte hervorming. Ons interesseert niet zozeer de timing van het akkoord. Alleszins vind ik dit geen fraai schouwspel. Wat uw meerderheid doet, is geen reclame voor de politiek, maar de inhoud van de oefening is voor ons veel belangrijker. Mijnheer de premier, ik doe u een oproep. Durf een premier te zijn. Het is een fantastische job om 11 miljoen landgenoten te mogen leiden. Doe dat dan. Durf een aantal zaken te herbekijken. Durf vooral te hervormen. Wees een hervormingspremier, in plaats van een premier die toch wel erg op zijn voorgangers lijkt. Ik kijk uit naar uw antwoord.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u8	[[03.04 Jean-Marc Nollet (Ecolo-Groen):]] Monsieur le premier ministre, permettez-moi tout d'abord de vous souhaiter la bienvenue. Nous sommes heureux de vous retrouver ici. Ce n'est pas que vous m'ayez manqué personnellement, mais je pense que vous avez manqué à la démocratie et au rendez-vous constitutionnel que vous connaissez bien. Le deuxième mardi d'octobre, votre place est ici, au parlement. Or, mardi, c'était la crise. Ce jeudi, elle se poursuit. C'est aussi, je l'espère, le temps des explications. Votre responsabilité est engagée comme chef d'équipe, comme premier ministre et comme animateur. Si vous aviez été chef d'entreprise, et vous le savez très bien, vous auriez déjà eu vos actionnaires sur le dos. Eu égard à vos responsabilités, ce sont les Belges qui occupent ce rôle. Ils attendent de votre part des éclaircissements et des explications. Voilà deux ans que vous êtes entré en fonction. Est donc venue l'heure d'un premier bilan. Vous vous souviendrez avoir dit aux Belges, lors de la campagne électorale, que vous formeriez un gouvernement sans la N-VA. Or nous en avons à présent un avec la N-VA. Vous aviez aussi déclaré, à cette époque, que le gouvernement ne déciderait pas d'un saut d'index. Or ce gouvernement l'a appliqué. Durant la campagne, vous aviez également promis de ne pas prolonger les carrières. Or votre gouvernement a choisi de les prolonger jusqu'à 67 ans. Voilà donc le bilan de deux ans de gouvernement Michel. Ce que vous décrirez probablement comme un simple mélodrame entre vos ministres, nombre de citoyens le vivent comme un véritable film d'horreur. Le pays traverse une période difficile, on le sait. Tout d'abord économiquement avec la fermeture d'entreprises telles que Caterpillar, la restructuration massive chez ING, les licenciements, etc. Par ailleurs, les attentats sont, eux aussi, encore présents dans nos mémoires. Mais, à côté de ces facteurs extérieurs, ce qu'ils ressentent le plus, c'est le choix politique de l'austérité aveugle et linéaire que vous conduisez depuis le début: 4,5 milliards d'euros d'économies sur le dos des travailleurs, des pensionnés, des plus fragiles - les jeunes, les femmes, les femmes seules, les malades aussi. Et on ne sait pas encore ce que réserve votre budget. On a entendu quelques bribes, quelques premières informations. Madame De Block, puisque vous êtes là, vous vous souviendrez certainement de vos déclarations. J'ai ici le journal L'Echo du mois de mars 2016. Vous en souvenez-vous? "Si on pousse plus loin les économies dans la sécurité sociale, ce sera sur le dos du patient". C'est le titre. C'est ce que vous avez dit. Si on pousse plus loin les économies, monsieur le premier ministre, votre ministre de la Santé dit que ce sera sur le dos du patient. Sentant probablement le vent venir, vous avez répandu le message plus durement, plus fortement encore au mois de septembre dans le journal Le Soir: "Des économies supplémentaires en soins de santé, c'est non!" Vous en souvenez-vous, madame De Block? C'est daté du 13 septembre. Deux jours plus tard, et c'est alors que j'ai commencé à comprendre qu'il y aurait un problème, notre collègue Ducarme déclarait ceci: "Moi, j'ai apprécié la réponse de la ministre De Block: pas d'économies supplémentaires en soins de santé. Je suis avec elle." Là, je me dis que cela commence à devenir difficile. Effectivement, aujourd'hui, on apprend qu'on est à 900 millions d'euros d'économies dans la sécurité sociale. Le ministre des Finances n'est pas présent dans cette enceinte, aujourd'hui. Mais la mécanique est connue: temps 1, il imagine des recettes irréalistes; temps 2, il constate que le trou est énorme; temps 3, c'est, comme toujours, le citoyen belge qui est appelé à combler les trous. Votre ministre des Finances, monsieur Michel, a hérité du logiciel de Margareth Thatcher et de la calculatrice de Jacqueline Galant. Depuis deux ans, les recettes fiscales sont gonflées; les Régions doivent trinquer; on refuse d'aller chercher les 700 millions des excess profit rulings. Voilà le bilan de votre gouvernement. Monsieur le président, je comprends le CD&V. À un moment, c'est trop!
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u9	[[Le président:]] Monsieur Nollet, je vous invite à conclure.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u10	[[03.05 Jean-Marc Nollet (Ecolo-Groen):]] C'est la raison pour laquelle ils ont déposé des propositions. Mais je connais le CD&V. On monte aux barricades, à la veille de rendez-vous importants, et on atterrit très vite parce qu'il faut tenir compte de l'autre aile du CD&V. N'est-ce pas, monsieur Bogaert? À un moment donné, on dit stop, on arrête de rire pour, ensuite, atterrir. Ce faisant, peut-être parviendrez-vous à obtenir 15, 20, voire 30 millions, monsieur Peeters. J'ai entendu et lu que votre taxe permettrait de récolter des centaines de millions. Si tel est le cas, nous y serons favorables et nous serons derrière vous. Mais je vous connais, si vous arrivez à obtenir 15, 20 voire 30 millions, vous serez content, monsieur le ministre, et vous passerez à autre chose. Monsieur le premier ministre, voilà un scénario dont nous ne voulons pas. Nous voulons que la crise soit l'occasion d'un changement de cap. Et si tel est le cas, le groupe Écolo-Groen vous donnera le temps nécessaire pour le traduire dans des textes de loi. Mais changez de cap et abandonnez l'austérité au plus vite.
ParlaMint-BE_2016-10-13-54-plenair-ip130x.u11	[[03.06 Laurette Onkelinx (PS):]] Monsieur le président, monsieur le premier ministre, mes collègues ont dit l'essentiel au sujet de votre absence à la Chambre mardi dernier. Toujours est-il que vous auriez mieux fait d'y être. Les bancs vides du gouvernement ont été ressentis, au mieux, comme un mépris du parlement, au pire, comme de la lâcheté à assumer l'échec de vos négociations. En étant présent ici sur réquisition, votre image n'en ressort assurément pas grandie. La ministre du Budget s'est exprimée devant les médias mardi matin. Devant le parlement, pourriez-vous dès lors vous expliquer? Premièrement, sur le budget, à un moment donné, il a été question de 2,4 milliards, puis de 4,2 milliards, et puis 2,8 milliards. C'est quoi, ce cirque? Est-ce la fameuse goed bestuur? Ou est-ce une modification essentielle de votre accord de gouvernement? Est-ce l'abandon de l'équilibre budgétaire pour 2018? Ou reportez-vous sur 2018 un effort qui serait dès lors de 1,2 % du PIB, c'est-à-dire environ 5 milliards d'euros, sans compter le non-financement du tax shift? Pierre Moscovici a pointé vis-à-vis de votre gouvernement trois fragilités: le déficit nominal (et manifestement, vous n'êtes pas bien vu); la dette (votre point noir) et la difficulté d'améliorer votre solde structurel. Ces fragilités sont graves, parce qu'elles détériorent sévèrement la situation du pays. Et quand la situation du pays se détériore, ce sont les citoyens qui en paient les pots cassés. Deuxièmement, sur les choix internes pour les budgets. Il y a déjà l'indécence de faire payer la crise aux malades: 900 millions d'euros d'économies en soins de santé, c'est tout simplement une honte. Mais il semble que ce soit bien plus grave encore, qu'il faille ajouter de grosses mesures sur l'invalidité, sur les pensions. Bref, c'est la sécu que vous mettez à la diète. Est-ce vrai? Est-ce que l'essentiel de l'effort est porté par la sécu, c'est-à-dire par ce modèle exceptionnel qui est à la fois un bouclier contre la crise et un outil majeur de protection sociale de la population? Est-ce vrai aussi qu'un nouvel effort sera demandé sur les services publics? Par exemple, la Justice va-t-elle encore devoir payer pour la crise? Enfin, troisièmement, sur les réformes structurelles. C'est manifestement la foire d'empoigne. Cette journée a de nouveau été l'occasion d'attaques virulentes entre partis de votre majorité. Par rapport à l'information qui ruisselle, est-il exact qu'il y aurait au minimum cinq réformes? La première concernerait la loi de 1996. Autrement dit, on tape de nouveau sur les travailleurs. Après les avoir ponctionnés au moyen du saut d'index, on les empêche de voir leurs rémunérations évoluer. Est-il vrai que l'on dégrade encore la notion d'emploi de qualité après les flexi-jobs et les mini-jobs? Il s'agirait ensuite de la loi sur les quarante-cinq heures. Cela signifie que vous allez favoriser la flexibilité à outrance. Puis, il est question de réformer l'ISOC. Nous n'en savons pas grand-chose. Cela peut constituer une bonne initiative, mais vous vous souviendrez que le Conseil supérieur des Finances avait indiqué qu'une telle mesure allait coûter cher. Il ne faudrait évidemment pas que cela se résume à un nouveau déficit, comme avec le tax shift, sous forme de cadeaux à certaines entreprises qui ne le méritent pas, payés sur le dos de la population. On parle également de mobiliser l'épargne pour les investissements. M. Dewael l'a évoqué ce mardi. De nouveau, pourquoi pas? Cela fait des années que deux écueils majeurs sont repérés. Il s'agit d'abord du coût budgétaire et ensuite du contexte européen qui est tel que les effets d'aubaine pour des sociétés non belges peuvent être difficilement évités. J'en viens enfin à la taxation des plus-values, qui suit le sens de l'Histoire. Une telle disposition existe partout et permet une justice fiscale entre les revenus du capital et ceux du travail. Cette question me permet de m'adresser à travers vous, monsieur le premier ministre, au CD&V. Ce dernier me semble être le grand dindon de la farce. Le patron des Mutualités chrétiennes vient de préciser ce qu'il pense des attaques contre les soins de santé pour des raisons budgétaires. Selon lui, c'est une honte! On s'en prend également aux pensions et on tape de même sur les travailleurs au moyen de la révision de la loi de 1996 et des quarante-cinq heures. Ils en sont réduits à mendier l'une des trois réformes de la fiscalité et à se faire injurier par leurs partenaires. S'ils n'obtiennent pas leur réforme, ils en sortiront humiliés. Plus grave encore, c'est ici une question de crédibilité. Monsieur le premier ministre, chers collègues, je viens d'apprendre que Bob Dylan a reçu le prix Nobel de littérature. Dans une de ses chansons, il disait: "Combien d'oreilles un homme doit-il avoir avant qu'il puisse entendre le peuple crier?" Monsieur le premier ministre, combien d'oreilles votre gouvernement devra-t-il avoir pour que votre politique change de cap? Des réformes, c'est bien, mais si c'est pour diminuer le bien-être de la population, assurément, c'est non!
