Code	Char	Occurs	%	In docs	%	Unicode name
U+000A	<CTRL>	        16	 0.19	       4	100.00	LINE FEED
U+0020	<CTRL>	      1148	13.29	       4	100.00	SPACE
U+0021	!	        18	 0.21	       4	100.00	EXCLAMATION MARK
U+0028	(	         5	 0.06	       3	75.00	LEFT PARENTHESIS
U+0029	)	         5	 0.06	       3	75.00	RIGHT PARENTHESIS
U+002C	,	       131	 1.52	       4	100.00	COMMA
U+002D	-	        13	 0.15	       4	100.00	HYPHEN-MINUS
U+002E	.	       141	 1.63	       4	100.00	FULL STOP
U+0030	0	         5	 0.06	       2	50.00	DIGIT ZERO
U+0031	1	         9	 0.10	       4	100.00	DIGIT ONE
U+0032	2	         7	 0.08	       2	50.00	DIGIT TWO
U+0033	3	         1	 0.01	       1	25.00	DIGIT THREE
U+0034	4	         4	 0.05	       2	50.00	DIGIT FOUR
U+0035	5	         4	 0.05	       3	75.00	DIGIT FIVE
U+0038	8	         3	 0.03	       1	25.00	DIGIT EIGHT
U+003A	:	         7	 0.08	       4	100.00	COLON
U+003F	?	         5	 0.06	       1	25.00	QUESTION MARK
U+0041	A	        20	 0.23	       4	100.00	LATIN CAPITAL LETTER A
U+0042	B	        10	 0.12	       3	75.00	LATIN CAPITAL LETTER B
U+0043	C	         3	 0.03	       2	50.00	LATIN CAPITAL LETTER C
U+0044	D	        13	 0.15	       4	100.00	LATIN CAPITAL LETTER D
U+0045	E	         6	 0.07	       3	75.00	LATIN CAPITAL LETTER E
U+0046	F	         1	 0.01	       1	25.00	LATIN CAPITAL LETTER F
U+0047	G	        11	 0.13	       3	75.00	LATIN CAPITAL LETTER G
U+0049	I	        12	 0.14	       4	100.00	LATIN CAPITAL LETTER I
U+004A	J	        15	 0.17	       4	100.00	LATIN CAPITAL LETTER J
U+004B	K	        26	 0.30	       4	100.00	LATIN CAPITAL LETTER K
U+004C	L	        17	 0.20	       4	100.00	LATIN CAPITAL LETTER L
U+004D	M	        11	 0.13	       4	100.00	LATIN CAPITAL LETTER M
U+004E	N	        10	 0.12	       4	100.00	LATIN CAPITAL LETTER N
U+004F	O	         5	 0.06	       4	100.00	LATIN CAPITAL LETTER O
U+0050	P	        25	 0.29	       4	100.00	LATIN CAPITAL LETTER P
U+0052	R	         8	 0.09	       4	100.00	LATIN CAPITAL LETTER R
U+0053	S	        37	 0.43	       4	100.00	LATIN CAPITAL LETTER S
U+0054	T	        15	 0.17	       4	100.00	LATIN CAPITAL LETTER T
U+0055	U	        10	 0.12	       3	75.00	LATIN CAPITAL LETTER U
U+0056	V	        20	 0.23	       3	75.00	LATIN CAPITAL LETTER V
U+005A	Z	         6	 0.07	       3	75.00	LATIN CAPITAL LETTER Z
U+0061	a	       733	 8.49	       4	100.00	LATIN SMALL LETTER A
U+0062	b	       109	 1.26	       4	100.00	LATIN SMALL LETTER B
U+0063	c	        57	 0.66	       4	100.00	LATIN SMALL LETTER C
