country	role	from	to	parties
NL	coalition	2019-09-24	2021-03-30	VVD D66 CDA ChristenUnie
NL	coalition	2017-10-26	2019-09-24	VVD D66 CDA ChristenUnie
NL	coalition	2016-11-7	2017-03-14	VVD PvdA
NL	coalition	2015-3-25	2016-11-7	VVD PvdA
NL	coalition	2014-11-13	2015-3-25	VVD PvdA
NL	coalition	2012-09-20	2014-11-13	VVD PvdA
NL	opposition	2017-03-23	2021-03-30	D66 ChristenUnie CDA 50PLUS 50PLUS GroenLinks Krol OSF PVV PvdD SGP SP FvD vKA GKVK vanPareren DENK VanHaga
NL	opposition	2017-03-23	2019-09-24	D66 ChristenUnie CDA 50PLUS 50PLUS GroenLinks Krol OSF PVV PvdD SGP SP FvD vKA GKVK vanPareren DENK
NL	opposition	2016-11-7	2017-03-23	ChristenUnie D66 50PLUS Bontes/Van_Klaveren GroenLinks Klein OSF PVV PvdA PvdD SGP SP Houwers Bontes Bontes/Van_Klaveren Klein GroepKuzu-Öztürk Monasch Nieuwe_Wegen
NL	opposition	2015-3-25	2016-11-7	ChristenUnie D66 50PLUS Bontes/Van_Klaveren GroenLinks Klein OSF PVV PvdA PvdD SGP SP Houwers Bontes Bontes/Van_Klaveren Klein GroepKuzu-Öztürk
NL	opposition	2014-11-13	2015-3-25	ChristenUnie D66 50PLUS Bontes/Van_Klaveren GroenLinks Klein OSF PVV PvdA PvdD SGP SP Houwers Bontes Bontes/Van_Klaveren
NL	opposition	2012-09-20	2014-11-13	ChristenUnie D66 50PLUS Bontes/Van_Klaveren GroenLinks Klein OSF PVV PvdA PvdD SGP SP Bontes Bontes/Van_Klaveren
HR	coalition	2016-10-14	2020-07-21	party.HDZ party.HNS party.BM_365_NZ party.SDSS party.HDS_HSLS_HDSSB
HR	opposition	2016-10-14	2020-07-21	party.GLAS party.HS party.HSS_Demokrati party.HSU_SNAGA_NZ_NP party.IDS_PGS_RI party.Most party.NLM party.Nezavisni party.SDP party.Živi_zid_PH party.Živi_zid_SNAGA
CZ	unknown	2013-11-25	2014-01-28	politicalGroup.ANO.1108 politicalGroup.CSSD.1107 politicalGroup.KDU-CSL.1110 politicalGroup.KSCM.1109 politicalGroup.ODS.1106 politicalGroup.TOP09-S.1112 politicalGroup.Usvit.1111
CZ	coalition	2014-01-29	2017-10-26	politicalGroup.ANO.1108 politicalGroup.CSSD.1107 politicalGroup.KDU-CSL.1110        
CZ	opposition	2014-01-29	2017-10-26	politicalGroup.KSCM.1109 politicalGroup.ODS.1106 politicalGroup.TOP09-S.1112 politicalGroup.Usvit.1111
CZ	unknown	2017-11-20	2017-12-13	politicalGroup.ANO.1292 politicalGroup.CSSD.1294 politicalGroup.KDU-CSL.1297 politicalGroup.ODS.1295 politicalGroup.Pirati.1300 politicalGroup.SPD.1298 politicalGroup.STAN.1296 politicalGroup.TOP09.1299 politicalGroup.KSCM.1293
CZ	coalition	2017-12-13	2018-06-27	politicalGroup.ANO.1292 politicalGroup.CSSD.1294
CZ	opposition	2017-12-13		politicalGroup.KDU-CSL.1297 politicalGroup.ODS.1295 politicalGroup.Pirati.1300 politicalGroup.SPD.1298 politicalGroup.STAN.1296 politicalGroup.TOP09.1299
CZ	unknown	2017-12-13		politicalGroup.KSCM.1293
CZ	coalition	2018-06-27		politicalGroup.ANO.1292 politicalGroup.CSSD.1294
TR	coalition	2011-06-28		party.AKP
TR	opposition	2011-06-28	2018-02-20	party.MHP party.ANAP party.CHP party.DSP party.DYP party.FAZILET party.HDP party.IYI party.ANA party.BDP party.BBP party.DP party.DEVA party.eParti party.MEP party.TiP party.SAADET party.YP
TR	unknown	2018-02-21		party.MHP
TR	opposition	2018-02-21		party.ANAP party.CHP party.DSP party.DYP party.FAZILET party.HDP party.IYI party.ANA party.BDP party.BBP party.DP party.DEVA party.eParti party.MEP party.TiP party.SAADET party.YP
PL	coalition	2015-11-06		party.PiS
PL	opposition	2015-11-06	2019-11-11	party.KO party.Kukiz15 party.KP-PSL party.PrzywrócićPrawo party.Teraz
PL	opposition	2019-11-12		party.KO party.KP-PSL party.Lewica party.Konfederacja
PL	unknown	2015-11-06		party.Niezrzeszeni
DK	coalition	2014-02-03	2015-06-27	party.S party.RV
DK	coalition	2015-06-28	2016-11-27	party.V
DK	coalition	2016-11-28	2019-06-27	party.V party.KF party.LA
DK	coalition	2019-06-28	-	party.S
BE	coalition	2014-10-11	2018-12-09	MR OpenVld N-VA  CD_en_V
BE	opposition	2014-10-11	2018-12-09	Ecolo cdH DéFi Vuye_Wouters sp.a PP PS PTB FDF VB PVDA-PTB Groen
BE	coalition	2018-12-09	2019-10-27	MR OpenVld  CD_en_V
BE	opposition	2018-12-09	2019-10-27	Ecolo N-VA cdH DéFi Vuye_Wouters sp.a PP PS PTB  VB PVDA-PTB Groen
BE	coalition	2019-10-27	2020-03-17	MR OpenVld  CD_en_V
BE	opposition	2019-10-27	2020-03-17	Ecolo cdH DéFi  sp.a  PS PTB  VB PVDA-PTB  Groen
BE	coalition	2020-03-17	2020-10-01	MR OpenVld  CD_en_V
BE	opposition	2020-03-17	2020-10-01	Ecolo cdH DéFi sp.a PS PTB  VB PVDA-PTB  Groen
BE	coalition	2020-10-01		MR OpenVld  PS sp.a Ecolo Groen CD_en_V
BE	opposition	2020-10-01		N-VA cdH DéFi  OpenVld PTB  VB PVDA-PTB 
BG	coalition	2014-10-05	2017-01-26	party.GERB party.RB party.PF party.ABV
BG 	opposition	2014-10-05	2017-01-26	party.BSP party.DPS party.ATAKA party.BGUn
BG	coalition	2017-04-19	2021-03-25	party.GERB party.VMRO party.FRONT party.ATAKA party.VOLYA
BG	opposition	2017-04-19	2021-03-25	party.BSP party.DPS
