ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BA_2013-10-07-0.u17114	ParlaMint-BA-en_2013-10-07-0	u	English	-	-	-	13	230	267	21	
ParlaMint-BA_2013-10-07-0.u17114.seg0.1	ParlaMint-BA_2013-10-07-0.u17114	s	English	Positive	mixed positive	3.910	1	18	20	1	
ParlaMint-BA_2013-10-07-0.u17114.seg0.2	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.310	1	36	41	2	
ParlaMint-BA_2013-10-07-0.u17114.seg0.3	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	2.842	1	32	36	2	
ParlaMint-BA_2013-10-07-0.u17114.seg0.4	ParlaMint-BA_2013-10-07-0.u17114	s	English	Positive	positive	4.960	1	8	9	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.5	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral negative	1.523	1	39	49	11	
ParlaMint-BA_2013-10-07-0.u17114.seg0.6	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.151	1	10	12	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.7	ParlaMint-BA_2013-10-07-0.u17114	s	English	Positive	mixed positive	3.728	1	12	14	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.8	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.339	1	18	20	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.9	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.223	1	7	8	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.10	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.291	1	27	32	4	
ParlaMint-BA_2013-10-07-0.u17114.seg0.11	ParlaMint-BA_2013-10-07-0.u17114	s	English	Positive	mixed positive	3.637	1	9	10	0	
ParlaMint-BA_2013-10-07-0.u17114.seg0.12	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.086	1	11	12	1	
ParlaMint-BA_2013-10-07-0.u17114.seg0.13	ParlaMint-BA_2013-10-07-0.u17114	s	English	Neutral	neutral positive	3.427	1	3	4	0	
ParlaMint-BA_2013-10-07-0.u17115	ParlaMint-BA-en_2013-10-07-0	u	English	-	-	-	10	267	297	6	
ParlaMint-BA_2013-10-07-0.u17115.seg0.1	ParlaMint-BA_2013-10-07-0.u17115	s	English	Positive	mixed positive	3.548	1	48	53	4	
ParlaMint-BA_2013-10-07-0.u17115.seg0.2	ParlaMint-BA_2013-10-07-0.u17115	s	English	Positive	mixed positive	3.817	1	35	39	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.3	ParlaMint-BA_2013-10-07-0.u17115	s	English	Positive	mixed positive	3.566	1	21	22	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.4	ParlaMint-BA_2013-10-07-0.u17115	s	English	Neutral	neutral positive	2.759	1	40	45	2	
ParlaMint-BA_2013-10-07-0.u17115.seg0.5	ParlaMint-BA_2013-10-07-0.u17115	s	English	Negative	negative	0.271	1	6	8	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.6	ParlaMint-BA_2013-10-07-0.u17115	s	English	Negative	negative	0.473	1	21	23	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.7	ParlaMint-BA_2013-10-07-0.u17115	s	English	Neutral	neutral negative	2.313	1	20	23	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.8	ParlaMint-BA_2013-10-07-0.u17115	s	English	Negative	negative	0.425	1	48	53	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.9	ParlaMint-BA_2013-10-07-0.u17115	s	English	Neutral	neutral positive	3.251	1	20	21	0	
ParlaMint-BA_2013-10-07-0.u17115.seg0.10	ParlaMint-BA_2013-10-07-0.u17115	s	English	Neutral	neutral positive	3.413	1	8	10	0	
ParlaMint-BA_2013-10-07-0.u17356	ParlaMint-BA-en_2013-10-07-0	u	English	-	-	-	1	4	4	0	
ParlaMint-BA_2013-10-07-0.u17356.seg0.1	ParlaMint-BA_2013-10-07-0.u17356	s	English	Neutral	neutral negative	2.399	1	4	4	0	
ParlaMint-BA_2013-10-07-0.u17357	ParlaMint-BA-en_2013-10-07-0	u	English	-	-	-	8	93	105	3	
ParlaMint-BA_2013-10-07-0.u17357.seg0.1	ParlaMint-BA_2013-10-07-0.u17357	s	English	Positive	mixed positive	3.596	1	10	12	0	
