ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	ParlaMint-BE-en_2017-04-27-54-plenair-ip165x	u	English	-	-	-	2	8	10	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s4	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	s	English	Positive	mixed positive	3.913	1	4	5	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s5	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	s	English	Positive	mixed positive	3.676	1	4	5	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	ParlaMint-BE-en_2017-04-27-54-plenair-ip165x	u	English	-	-	-	13	231	258	17	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s69	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Neutral	neutral negative	2.154	1	23	25	3	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s70	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Neutral	neutral positive	3.421	1	10	11	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s71	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	mixed negative	1.114	1	14	15	3	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s72	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.002	1	9	11	1	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s73	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	mixed negative	1.355	1	15	19	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s74	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.010	1	16	19	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s75	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.385	1	9	10	2	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s76	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.043	1	18	19	1	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s77	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.137	1	40	43	1	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s78	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	English	Negative	negative	0.054	1	16	19	0	
