ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	ParlaMint-BE_2017-04-27-54-plenair-ip165x	u	Multilingual	-	-	-	2	8	10	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s4	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	s	Nederlands	Positief	gemend-positief	3.913	1	4	5	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s5	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u1	s	Nederlands	Positief	gemend-positief	3.676	1	4	5	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	ParlaMint-BE_2017-04-27-54-plenair-ip165x	u	Nederlands	-	-	-	13	222	246	16	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s69	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Neutraal	neutraal-negatief	2.154	1	24	26	3	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s70	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Neutraal	neutraal-positief	3.421	1	9	10	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s71	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	gemengd negatief	1.114	1	15	16	3	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s72	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	negatief	0.002	1	7	8	1	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s73	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	gemengd negatief	1.355	1	14	17	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s74	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	negatief	0.010	1	18	20	0	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s75	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	negatief	0.385	1	9	10	2	
ParlaMint-BE_2017-04-27-54-plenair-ip165x.s76	ParlaMint-BE_2017-04-27-54-plenair-ip165x.u2	s	Nederlands	Negatief	negatief	0.043	1	15	16	1	
