ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	ParlaMint-BE-en_2022-07-13-voorlopig-55-commissie-ic862x	u	English	-	-	-	1	11	12	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s6	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u1	s	English	Neutral	neutral negative	1.726	1	11	12	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	ParlaMint-BE-en_2022-07-13-voorlopig-55-commissie-ic862x	u	English	-	-	-	8	141	158	15	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s11	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Negative	negative	-0.005	1	18	22	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s12	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Neutral	neutral negative	2.218	1	20	21	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s13	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Neutral	neutral negative	2.406	1	12	15	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s14	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Negative	mixed negative	0.670	1	44	48	4	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s15	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Neutral	neutral negative	1.938	1	9	11	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s16	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Neutral	neutral negative	2.345	1	4	5	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s17	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Neutral	neutral positive	2.864	1	13	14	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s18	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	English	Negative	mixed negative	1.128	1	21	22	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	ParlaMint-BE-en_2022-07-13-voorlopig-55-commissie-ic862x	u	English	-	-	-	9	233	260	16	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s61	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	2.506	1	31	38	4	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s62	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	2.517	1	29	32	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s63	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral negative	1.662	1	14	16	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s64	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	2.904	1	16	17	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s65	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	2.964	1	14	16	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s66	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral negative	2.442	1	24	27	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s67	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	3.289	1	34	38	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s68	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Neutral	neutral positive	3.153	1	38	41	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s69	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	English	Positive	positive	4.905	1	33	35	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	ParlaMint-BE-en_2022-07-13-voorlopig-55-commissie-ic862x	u	English	-	-	-	4	68	79	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s71	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	English	Neutral	neutral positive	3.436	1	8	10	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s72	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	English	Neutral	neutral negative	1.898	1	20	23	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s73	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	English	Positive	mixed positive	3.854	1	23	26	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s74	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	English	Positive	positive	4.832	1	17	20	0	
