ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	ParlaMint-CZ-en_2020-01-22-ps2017-040-02-005-012	u	English	-	-	-	10	169	200	15	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p1.s1	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Positive	mixed positive	3.510	1	1	2	0	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p1.s2	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Neutral	neutral positive	2.722	1	20	26	1	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p2.s1	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Neutral	neutral positive	3.494	1	41	44	4	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p2.s2	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Neutral	neutral positive	3.174	1	19	20	1	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s1	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Neutral	neutral positive	2.756	1	38	46	6	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s2	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Positive	mixed positive	3.746	1	15	17	2	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s3	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Positive	mixed positive	3.894	1	9	12	1	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s4	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Positive	positive	4.742	1	1	2	0	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s5	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Neutral	neutral positive	2.529	1	20	24	0	
ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1.p3.s6	ParlaMint-CZ_2020-01-22-ps2017-040-02-005-012.u1	s	English	Positive	mixed positive	4.115	1	5	7	0	
