ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000	u	Czech	-	-	-	13	650	730	58	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p1.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Positive	mixed positive	4.466	1	25	30	1	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p1.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	3.156	1	35	40	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p2.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral negative	2.332	1	368	409	39	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p2.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	2.655	1	27	30	3	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p3.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	2.652	1	77	84	8	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p4.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	2.709	1	8	9	1	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p4.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral negative	1.733	1	11	12	1	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	2.795	1	36	41	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	3.093	1	33	38	4	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s3	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	2.734	1	17	19	1	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s4	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Positive	positive	4.655	1	1	2	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s5	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Neutral	neutral postive	3.296	1	11	14	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1.p5.s6	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u1	s	Czech	Positive	mixed positive	3.874	1	1	2	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000	u	Czech	-	-	-	32	796	924	6	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p1.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Positive	positive	4.655	1	1	2	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p1.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	3.373	1	47	60	2	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p1.s3	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	3.141	1	15	18	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p1.s4	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	3.122	1	6	7	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Negative	negative	0.165	1	14	15	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral negative	2.479	1	8	9	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s3	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Negative	mixed negative	1.067	1	22	24	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s4	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Negative	negative	0.335	1	22	25	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s5	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral negative	1.687	1	42	50	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s6	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	2.977	1	9	10	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s7	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	3.255	1	32	36	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s8	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Negative	negative	-0.139	1	20	23	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p2.s9	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Negative	mixed negative	0.573	1	43	47	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p3.s1	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Positive	mixed positive	3.649	1	6	7	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p3.s2	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	2.702	1	9	10	0	
ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2.p3.s3	ParlaMint-CZ_2023-07-26-ps2021-071-07-000-000.u2	s	Czech	Neutral	neutral postive	3.029	1	9	10	0	
