ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-CT_2018-05-04-0702.1.0	ParlaMint-ES-CT_2018-05-04-0702	u	Catalan	-	-	-	4	67	75	3	
ParlaMint-ES-CT_2018-05-04-0702.1.0.0.1	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	Catalan	Positive	mixed positive	3.804	1	10	12	0	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.1	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	Catalan	Neutral	neutral postive	2.834	1	23	24	1	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.2	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	Catalan	Neutral	neutral postive	2.939	1	11	12	1	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.3	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	Catalan	Neutral	neutral postive	2.559	1	23	27	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0	ParlaMint-ES-CT_2018-05-04-0702	u	Catalan	-	-	-	67	1607	1866	23	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Positive	positive	4.711	1	2	4	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Positive	mixed positive	3.697	1	25	27	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	0.184	1	25	28	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	0.011	1	35	36	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	-0.098	1	23	27	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	-0.204	1	23	25	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	0.202	1	14	16	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.2.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Neutral	neutral postive	3.265	1	66	81	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.2.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Neutral	neutral postive	3.130	1	61	71	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Positive	mixed positive	3.838	1	48	58	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	negative	0.216	1	21	27	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	mixed negative	0.851	1	46	55	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Negative	mixed negative	0.594	1	29	34	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Positive	mixed positive	3.531	1	27	31	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	Catalan	Neutral	neutral postive	2.705	1	7	8	1	
