ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-CT_2020-09-09-6001.1.0	ParlaMint-ES-CT_2020-09-09-6001	u	Català	-	-	-	10	313	342	22	
ParlaMint-ES-CT_2020-09-09-6001.1.0.0.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Positiu	positiu mixt	3.637	1	5	8	1	
ParlaMint-ES-CT_2020-09-09-6001.1.0.1.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Neutre	positiu neutre	2.883	1	19	20	2	
ParlaMint-ES-CT_2020-09-09-6001.1.0.1.2	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Neutre	positiu neutre	2.676	1	29	31	1	
ParlaMint-ES-CT_2020-09-09-6001.1.0.2.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Negatiu	negatiu	0.096	1	48	53	4	
ParlaMint-ES-CT_2020-09-09-6001.1.0.3.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Negatiu	negatiu mixt	1.157	1	35	37	1	
ParlaMint-ES-CT_2020-09-09-6001.1.0.4.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Neutre	negatiu neutre	1.839	1	54	58	5	
ParlaMint-ES-CT_2020-09-09-6001.1.0.5.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Negatiu	negatiu mixt	0.738	1	64	69	5	
ParlaMint-ES-CT_2020-09-09-6001.1.0.6.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Neutre	positiu neutre	2.927	1	23	25	1	
ParlaMint-ES-CT_2020-09-09-6001.1.0.7.1	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Neutre	positiu neutre	2.560	1	34	38	2	
ParlaMint-ES-CT_2020-09-09-6001.1.0.7.2	ParlaMint-ES-CT_2020-09-09-6001.1.0	s	Catalán	Positiu	positiu mixt	3.589	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.2.0	ParlaMint-ES-CT_2020-09-09-6001	u	Espanyol	-	-	-	2	31	36	2	
ParlaMint-ES-CT_2020-09-09-6001.2.0.0.1	ParlaMint-ES-CT_2020-09-09-6001.2.0	s	Catalán	Positiu	positiu mixt	4.395	1	2	4	1	
ParlaMint-ES-CT_2020-09-09-6001.2.0.0.2	ParlaMint-ES-CT_2020-09-09-6001.2.0	s	Catalán	Neutre	positiu neutre	2.834	1	29	32	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0	ParlaMint-ES-CT_2020-09-09-6001	u	Català	-	-	-	33	698	797	14	
ParlaMint-ES-CT_2020-09-09-6001.244.0.0.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	3.135	1	8	13	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.1.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	4.675	1	1	2	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.1.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	4.226	1	50	56	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	negatiu neutre	2.293	1	6	7	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	3.157	1	1	2	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.3	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Negatiu	negatiu	0.202	1	16	20	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.4	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	5.026	1	40	49	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.5	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Negatiu	negatiu mixt	0.995	1	18	21	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.6	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Negatiu	negatiu	0.163	1	6	7	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.7	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	3.275	1	8	9	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.8	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	negatiu neutre	2.459	1	11	12	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.9	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	4.044	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.10	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	3.408	1	21	24	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.11	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.930	1	49	52	3	
ParlaMint-ES-CT_2020-09-09-6001.244.0.2.12	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.935	1	5	8	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.3.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.870	1	44	50	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.4.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.943	1	9	11	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.4.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	4.749	1	5	6	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.4.3	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.798	1	14	15	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.4.4	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	4.818	1	19	20	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.5.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	3.743	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.5.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	3.627	1	36	42	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	4.137	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.700	1	52	58	5	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.3	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Negatiu	negatiu mixt	1.095	1	19	22	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.4	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Negatiu	negatiu mixt	1.131	1	34	35	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.5	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	3.054	1	3	4	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.6.6	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu mixt	3.682	1	7	8	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.7.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Neutre	positiu neutre	2.988	1	78	86	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.8.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	5.055	1	50	55	1	
ParlaMint-ES-CT_2020-09-09-6001.244.0.8.2	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	5.150	1	8	11	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.8.3	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	4.540	1	72	80	0	
ParlaMint-ES-CT_2020-09-09-6001.244.0.9.1	ParlaMint-ES-CT_2020-09-09-6001.244.0	s	Catalán	Positiu	positiu	4.778	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0	ParlaMint-ES-CT_2020-09-09-6001	u	Català	-	-	-	70	1190	1435	28	
ParlaMint-ES-CT_2020-09-09-6001.245.0.0.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Positiu	positiu	4.704	1	2	4	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.1.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.280	1	4	5	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.1.2	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.132	1	12	13	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.2.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.385	1	2	4	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.2.2	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Negatiu	negatiu mixt	1.184	1	28	33	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.2.3	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	2.690	1	8	10	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.3.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Positiu	positiu mixt	4.036	1	1	2	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.3.2	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	negatiu neutre	2.163	1	32	33	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.3.3	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.098	1	6	8	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.3.4	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Positiu	positiu	4.675	1	1	2	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.4.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Positiu	positiu	4.902	1	2	3	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.4.2	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.348	1	8	10	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.5.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	2.827	1	32	36	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.6.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.326	1	3	4	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.7.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Positiu	positiu mixt	3.958	1	26	31	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.8.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	negatiu neutre	2.444	1	23	29	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.9.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	2.817	1	18	19	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.10.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.326	1	3	4	0	
ParlaMint-ES-CT_2020-09-09-6001.245.0.11.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.225	1	36	41	1	
ParlaMint-ES-CT_2020-09-09-6001.245.0.12.1	ParlaMint-ES-CT_2020-09-09-6001.245.0	s	Catalán	Neutre	positiu neutre	3.089	1	17	20	1	
