ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-PV_2022-10-14.u0	ParlaMint-ES-PV_2022-10-14	u	Basque	-	-	-	5	43	53	5	
ParlaMint-ES-PV_2022-10-14.seg2.s1	ParlaMint-ES-PV_2022-10-14.u0	s	Basque	Positive	mixed positive	3.697	1	3	4	0	
ParlaMint-ES-PV_2022-10-14.seg2.s2	ParlaMint-ES-PV_2022-10-14.u0	s	Basque	Neutral	neutral postive	3.065	1	5	6	0	
ParlaMint-ES-PV_2022-10-14.seg3.s1	ParlaMint-ES-PV_2022-10-14.u0	s	Basque	Neutral	neutral postive	3.350	1	3	4	1	
ParlaMint-ES-PV_2022-10-14.seg3.s2	ParlaMint-ES-PV_2022-10-14.u0	s	Basque	Neutral	neutral negative	2.234	1	27	32	4	
ParlaMint-ES-PV_2022-10-14.seg4.s1	ParlaMint-ES-PV_2022-10-14.u0	s	Basque	Positive	mixed positive	3.532	1	5	7	0	
ParlaMint-ES-PV_2022-10-14.u1	ParlaMint-ES-PV_2022-10-14	u	Multilingual	-	-	-	9	122	143	3	
ParlaMint-ES-PV_2022-10-14.seg5.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Neutral	neutral postive	3.380	1	4	6	0	
ParlaMint-ES-PV_2022-10-14.seg5.s2	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Positive	mixed positive	4.035	1	5	9	0	
ParlaMint-ES-PV_2022-10-14.seg6.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Positive	mixed positive	4.316	1	21	23	1	
ParlaMint-ES-PV_2022-10-14.seg6.s2	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Negative	mixed negative	0.559	1	34	35	1	
ParlaMint-ES-PV_2022-10-14.seg7.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Neutral	neutral postive	3.268	1	12	14	0	
ParlaMint-ES-PV_2022-10-14.seg8.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Negative	mixed negative	1.310	1	26	31	0	
ParlaMint-ES-PV_2022-10-14.seg9.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Neutral	neutral negative	1.513	1	18	21	1	
ParlaMint-ES-PV_2022-10-14.seg9.s2	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Neutral	neutral negative	1.739	1	0	1	0	
ParlaMint-ES-PV_2022-10-14.seg10.s1	ParlaMint-ES-PV_2022-10-14.u1	s	Basque	Positive	positive	4.759	1	2	3	0	
ParlaMint-ES-PV_2022-10-14.u135	ParlaMint-ES-PV_2022-10-14	u	Multilingual	-	-	-	15	357	399	14	
ParlaMint-ES-PV_2022-10-14.seg690.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Neutral	neutral postive	3.324	1	2	3	0	
ParlaMint-ES-PV_2022-10-14.seg691.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	negative	0.396	1	16	18	2	
ParlaMint-ES-PV_2022-10-14.seg691.s2	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	negative	0.259	1	32	36	1	
ParlaMint-ES-PV_2022-10-14.seg692.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	positive	4.584	1	86	93	3	
ParlaMint-ES-PV_2022-10-14.seg692.s2	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	positive	5.006	1	19	20	0	
ParlaMint-ES-PV_2022-10-14.seg692.s3	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	mixed negative	0.903	1	13	14	0	
ParlaMint-ES-PV_2022-10-14.seg693.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	mixed positive	3.875	1	3	4	0	
ParlaMint-ES-PV_2022-10-14.seg694.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Neutral	neutral negative	2.405	1	8	10	0	
ParlaMint-ES-PV_2022-10-14.seg694.s2	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	mixed negative	0.903	1	13	14	0	
ParlaMint-ES-PV_2022-10-14.seg695.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	positive	4.730	1	51	58	2	
ParlaMint-ES-PV_2022-10-14.seg695.s2	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	mixed negative	1.376	1	21	23	0	
ParlaMint-ES-PV_2022-10-14.seg696.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	mixed positive	3.905	1	64	72	6	
ParlaMint-ES-PV_2022-10-14.seg696.s2	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Negative	mixed negative	1.261	1	9	10	0	
ParlaMint-ES-PV_2022-10-14.seg696.s3	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	positive	4.561	1	18	21	0	
ParlaMint-ES-PV_2022-10-14.seg697.s1	ParlaMint-ES-PV_2022-10-14.u135	s	Basque	Positive	positive	4.759	1	2	3	0	
ParlaMint-ES-PV_2022-10-14.u136	ParlaMint-ES-PV_2022-10-14	u	Basque	-	-	-	3	20	25	0	
ParlaMint-ES-PV_2022-10-14.seg698.s1	ParlaMint-ES-PV_2022-10-14.u136	s	Basque	Positive	mixed positive	3.881	1	4	6	0	
ParlaMint-ES-PV_2022-10-14.seg699.s1	ParlaMint-ES-PV_2022-10-14.u136	s	Basque	Neutral	neutral postive	3.006	1	8	10	0	
ParlaMint-ES-PV_2022-10-14.seg699.s2	ParlaMint-ES-PV_2022-10-14.u136	s	Basque	Neutral	neutral postive	2.955	1	8	9	0	
