ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES_2023-02-23-CD230223.u1	ParlaMint-ES_2023-02-23-CD230223	u	Español	-	-	-	8	199	226	5	
ParlaMint-ES_2023-02-23-CD230223.u1.p1.s1	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Positivo	positivo	4.557	1	4	6	0	
ParlaMint-ES_2023-02-23-CD230223.u1.p1.s2	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Positivo	positivo mixto	3.846	1	4	5	0	
ParlaMint-ES_2023-02-23-CD230223.u1.p2.s1	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Negativo	negativo	0.349	1	39	45	1	
ParlaMint-ES_2023-02-23-CD230223.u1.p2.s2	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Negativo	negativo	0.253	1	18	21	0	
ParlaMint-ES_2023-02-23-CD230223.u1.p2.s3	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Negativo	negativo	-0.001	1	37	39	1	
ParlaMint-ES_2023-02-23-CD230223.u1.p2.s4	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Positivo	positivo mixto	4.049	1	18	22	1	
ParlaMint-ES_2023-02-23-CD230223.u1.p3.s1	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Neutro	neutro positivo	2.772	1	77	85	2	
ParlaMint-ES_2023-02-23-CD230223.u1.p4.s1	ParlaMint-ES_2023-02-23-CD230223.u1	s	Español	Positivo	positivo mixto	4.272	1	2	3	0	
ParlaMint-ES_2023-02-23-CD230223.u2	ParlaMint-ES_2023-02-23-CD230223	u	Español	-	-	-	4	158	173	12	
ParlaMint-ES_2023-02-23-CD230223.u2.p1.s1	ParlaMint-ES_2023-02-23-CD230223.u2	s	Español	Neutro	neutro positivo	2.665	1	107	114	8	
ParlaMint-ES_2023-02-23-CD230223.u2.p2.s1	ParlaMint-ES_2023-02-23-CD230223.u2	s	Español	Neutro	neutro positivo	2.774	1	15	17	1	
ParlaMint-ES_2023-02-23-CD230223.u2.p2.s2	ParlaMint-ES_2023-02-23-CD230223.u2	s	Español	Neutro	neutro positivo	2.795	1	17	20	0	
ParlaMint-ES_2023-02-23-CD230223.u2.p2.s3	ParlaMint-ES_2023-02-23-CD230223.u2	s	Español	Neutro	neutro positivo	3.118	1	19	22	3	
ParlaMint-ES_2023-02-23-CD230223.u73	ParlaMint-ES_2023-02-23-CD230223	u	Español	-	-	-	4	56	67	4	
ParlaMint-ES_2023-02-23-CD230223.u73.p1.s1	ParlaMint-ES_2023-02-23-CD230223.u73	s	Español	Neutro	neutro positivo	2.850	1	4	5	0	
ParlaMint-ES_2023-02-23-CD230223.u73.p1.s2	ParlaMint-ES_2023-02-23-CD230223.u73	s	Español	Neutro	neutro positivo	2.552	1	36	39	4	
ParlaMint-ES_2023-02-23-CD230223.u73.p2.s1	ParlaMint-ES_2023-02-23-CD230223.u73	s	Español	Neutro	neutro positivo	3.304	1	3	4	0	
ParlaMint-ES_2023-02-23-CD230223.u73.p3.s1	ParlaMint-ES_2023-02-23-CD230223.u73	s	Español	Neutro	neutro positivo	3.392	1	13	19	0	
ParlaMint-ES_2023-02-23-CD230223.u74	ParlaMint-ES_2023-02-23-CD230223	u	Español	-	-	-	4	23	28	1	
ParlaMint-ES_2023-02-23-CD230223.u74.p1.s1	ParlaMint-ES_2023-02-23-CD230223.u74	s	Español	Neutro	neutro positivo	3.420	1	8	10	1	
ParlaMint-ES_2023-02-23-CD230223.u74.p2.s1	ParlaMint-ES_2023-02-23-CD230223.u74	s	Español	Positivo	positivo mixto	4.334	1	4	5	0	
ParlaMint-ES_2023-02-23-CD230223.u74.p3.s1	ParlaMint-ES_2023-02-23-CD230223.u74	s	Español	Neutro	neutro positivo	2.817	1	4	5	0	
ParlaMint-ES_2023-02-23-CD230223.u74.p4.s1	ParlaMint-ES_2023-02-23-CD230223.u74	s	Español	Neutro	neutro positivo	2.592	1	7	8	0	
