ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-FI_2017-10-04-ps-98.u1	ParlaMint-FI_2017-10-04-ps-98	u	suomi	-	-	-	7	42	48	1	
ParlaMint-FI_2017-10-04-ps-98.seg1.1	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali positiivinen	2.785	1	6	7	0	
ParlaMint-FI_2017-10-04-ps-98.seg1.2	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali positiivinen	3.057	1	6	7	0	
ParlaMint-FI_2017-10-04-ps-98.seg1.3	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali negatiivinen	2.377	1	5	6	0	
ParlaMint-FI_2017-10-04-ps-98.seg1.4	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali positiivinen	2.798	1	6	7	0	
ParlaMint-FI_2017-10-04-ps-98.seg1.5	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali positiivinen	3.129	1	7	7	0	
ParlaMint-FI_2017-10-04-ps-98.seg1.6	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Negatiivinen	sekamuotoinen negatiivinen	0.733	1	7	8	1	
ParlaMint-FI_2017-10-04-ps-98.seg1.7	ParlaMint-FI_2017-10-04-ps-98.u1	s	suomi	Neutraali	neutraali positiivinen	2.585	1	5	6	0	
ParlaMint-FI_2017-10-04-ps-98.u2	ParlaMint-FI_2017-10-04-ps-98	u	suomi	-	-	-	3	21	24	0	
ParlaMint-FI_2017-10-04-ps-98.seg2.1	ParlaMint-FI_2017-10-04-ps-98.u2	s	suomi	Neutraali	neutraali positiivinen	2.940	1	6	7	0	
ParlaMint-FI_2017-10-04-ps-98.seg2.2	ParlaMint-FI_2017-10-04-ps-98.u2	s	suomi	Neutraali	neutraali positiivinen	2.652	1	6	8	0	
ParlaMint-FI_2017-10-04-ps-98.seg2.3	ParlaMint-FI_2017-10-04-ps-98.u2	s	suomi	Neutraali	neutraali positiivinen	3.021	1	9	9	0	
ParlaMint-FI_2017-10-04-ps-98.u173	ParlaMint-FI_2017-10-04-ps-98	u	suomi	-	-	-	0	0	0	0	
ParlaMint-FI_2017-10-04-ps-98.u174	ParlaMint-FI_2017-10-04-ps-98	u	suomi	-	-	-	1	5	6	0	
ParlaMint-FI_2017-10-04-ps-98.seg282.1	ParlaMint-FI_2017-10-04-ps-98.u174	s	suomi	Neutraali	neutraali negatiivinen	2.443	1	5	6	0	
