ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-GR_2022-02-01-S1-commons.u1	ParlaMint-GR-en_2022-02-01-S1-commons	u	English	-	-	-	26	628	726	44	
ParlaMint-GR_2022-02-01-S1-commons.seg1.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	mixed positive	3.670	1	6	8	0	
ParlaMint-GR_2022-02-01-S1-commons.seg2.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Neutral	neutral positive	2.904	1	42	48	8	
ParlaMint-GR_2022-02-01-S1-commons.seg2.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Neutral	neutral positive	2.854	1	9	11	0	
ParlaMint-GR_2022-02-01-S1-commons.seg3.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	5.211	1	7	10	0	
ParlaMint-GR_2022-02-01-S1-commons.seg3.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	5.672	1	11	13	0	
ParlaMint-GR_2022-02-01-S1-commons.seg3.3	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	mixed positive	4.313	1	47	51	3	
ParlaMint-GR_2022-02-01-S1-commons.seg4.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Neutral	neutral negative	2.194	1	33	38	2	
ParlaMint-GR_2022-02-01-S1-commons.seg4.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.345	1	17	20	1	
ParlaMint-GR_2022-02-01-S1-commons.seg4.3	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.034	1	42	46	2	
ParlaMint-GR_2022-02-01-S1-commons.seg5.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.053	1	18	22	0	
ParlaMint-GR_2022-02-01-S1-commons.seg5.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.131	1	24	31	1	
ParlaMint-GR_2022-02-01-S1-commons.seg5.3	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.081	1	16	26	5	
ParlaMint-GR_2022-02-01-S1-commons.seg6.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.116	1	4	5	0	
ParlaMint-GR_2022-02-01-S1-commons.seg6.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.173	1	17	19	2	
ParlaMint-GR_2022-02-01-S1-commons.seg6.3	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.329	1	25	33	10	
ParlaMint-GR_2022-02-01-S1-commons.seg7.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.104	1	9	10	0	
ParlaMint-GR_2022-02-01-S1-commons.seg7.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	mixed positive	4.232	1	45	50	3	
ParlaMint-GR_2022-02-01-S1-commons.seg7.3	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	mixed positive	4.446	1	32	34	1	
ParlaMint-GR_2022-02-01-S1-commons.seg7.4	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	4.804	1	30	35	0	
ParlaMint-GR_2022-02-01-S1-commons.seg7.5	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	5.457	1	14	15	0	
ParlaMint-GR_2022-02-01-S1-commons.seg8.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	4.907	1	21	24	0	
ParlaMint-GR_2022-02-01-S1-commons.seg8.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Negative	negative	0.094	1	54	61	4	
ParlaMint-GR_2022-02-01-S1-commons.seg9.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	mixed positive	4.257	1	46	52	0	
ParlaMint-GR_2022-02-01-S1-commons.seg9.2	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	4.900	1	47	50	1	
ParlaMint-GR_2022-02-01-S1-commons.seg10.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Positive	positive	4.762	1	2	3	0	
ParlaMint-GR_2022-02-01-S1-commons.seg11.1	ParlaMint-GR_2022-02-01-S1-commons.u1	s	English	Neutral	neutral positive	3.482	1	10	11	1	
ParlaMint-GR_2022-02-01-S1-commons.u2	ParlaMint-GR-en_2022-02-01-S1-commons	u	English	-	-	-	31	604	703	45	
ParlaMint-GR_2022-02-01-S1-commons.seg12.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.109	1	18	23	2	
ParlaMint-GR_2022-02-01-S1-commons.seg12.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.008	1	10	13	0	
ParlaMint-GR_2022-02-01-S1-commons.seg13.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral positive	3.281	1	41	45	3	
ParlaMint-GR_2022-02-01-S1-commons.seg13.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral positive	3.410	1	17	18	1	
ParlaMint-GR_2022-02-01-S1-commons.seg14.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.434	1	38	43	2	
ParlaMint-GR_2022-02-01-S1-commons.seg14.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	mixed negative	0.913	1	33	38	1	
ParlaMint-GR_2022-02-01-S1-commons.seg14.3	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.336	1	15	17	0	
ParlaMint-GR_2022-02-01-S1-commons.seg14.4	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.114	1	16	19	3	
ParlaMint-GR_2022-02-01-S1-commons.seg14.5	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.311	1	8	14	0	
ParlaMint-GR_2022-02-01-S1-commons.seg14.6	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.471	1	9	10	1	
ParlaMint-GR_2022-02-01-S1-commons.seg14.7	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	mixed positive	4.335	1	34	38	1	
ParlaMint-GR_2022-02-01-S1-commons.seg15.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	mixed positive	4.352	1	20	23	2	
ParlaMint-GR_2022-02-01-S1-commons.seg15.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	mixed negative	0.759	1	30	32	2	
ParlaMint-GR_2022-02-01-S1-commons.seg15.3	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral positive	2.836	1	9	10	2	
ParlaMint-GR_2022-02-01-S1-commons.seg15.4	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	positive	4.854	1	21	23	1	
ParlaMint-GR_2022-02-01-S1-commons.seg16.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	positive	5.208	1	23	27	3	
ParlaMint-GR_2022-02-01-S1-commons.seg16.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral negative	1.688	1	28	32	5	
ParlaMint-GR_2022-02-01-S1-commons.seg16.3	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	positive	4.796	1	9	10	1	
ParlaMint-GR_2022-02-01-S1-commons.seg16.4	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	positive	4.828	1	14	16	0	
ParlaMint-GR_2022-02-01-S1-commons.seg16.5	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.384	1	26	29	0	
ParlaMint-GR_2022-02-01-S1-commons.seg16.6	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	mixed negative	0.810	1	6	8	1	
ParlaMint-GR_2022-02-01-S1-commons.seg16.7	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	mixed negative	1.431	1	7	8	1	
ParlaMint-GR_2022-02-01-S1-commons.seg17.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral positive	3.301	1	18	23	1	
ParlaMint-GR_2022-02-01-S1-commons.seg17.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	mixed positive	3.991	1	50	59	9	
ParlaMint-GR_2022-02-01-S1-commons.seg18.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.277	1	12	15	1	
ParlaMint-GR_2022-02-01-S1-commons.seg18.2	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.089	1	10	13	0	
ParlaMint-GR_2022-02-01-S1-commons.seg18.3	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral positive	3.358	1	23	27	0	
ParlaMint-GR_2022-02-01-S1-commons.seg18.4	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Neutral	neutral negative	2.222	1	4	5	0	
ParlaMint-GR_2022-02-01-S1-commons.seg18.5	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Negative	negative	0.110	1	9	10	0	
ParlaMint-GR_2022-02-01-S1-commons.seg19.1	ParlaMint-GR_2022-02-01-S1-commons.u2	s	English	Positive	positive	4.705	1	42	50	2	
