ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-HR_2017-06-29-0.u38724	ParlaMint-HR_2017-06-29-0	u	Croatian	-	-	-	3	18	22	2	
ParlaMint-HR_2017-06-29-0.u38724.seg0.1	ParlaMint-HR_2017-06-29-0.u38724	s	Croatian	Positive	mixed positive	4.377	1	3	4	0	
ParlaMint-HR_2017-06-29-0.u38724.seg0.2	ParlaMint-HR_2017-06-29-0.u38724	s	Croatian	Neutral	neutral positive	3.166	1	14	16	2	
ParlaMint-HR_2017-06-29-0.u38724.seg0.3	ParlaMint-HR_2017-06-29-0.u38724	s	Croatian	Positive	positive	4.511	1	1	2	0	
ParlaMint-HR_2017-06-29-0.u38725	ParlaMint-HR_2017-06-29-0	u	Croatian	-	-	-	10	48	62	3	
ParlaMint-HR_2017-06-29-0.u38725.seg0.1	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Positive	positive	4.562	1	1	2	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.2	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Positive	mixed positive	4.004	1	1	2	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.3	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	2.968	1	5	6	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.4	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	2.985	1	10	12	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.5	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	3.429	1	12	15	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.6	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	3.372	1	1	2	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.7	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	3.372	1	1	2	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.8	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Positive	mixed positive	3.963	1	3	5	0	
ParlaMint-HR_2017-06-29-0.u38725.seg0.9	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Neutral	neutral positive	2.780	1	4	4	0	
ParlaMint-HR_2017-06-29-0.u38725.seg1.2	ParlaMint-HR_2017-06-29-0.u38725	s	Croatian	Positive	mixed positive	3.965	1	10	12	3	
ParlaMint-HR_2017-06-29-0.u42795	ParlaMint-HR_2017-06-29-0	u	Croatian	-	-	-	9	94	105	5	
ParlaMint-HR_2017-06-29-0.u42795.seg0.1	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	mixed positive	4.345	1	7	8	1	
ParlaMint-HR_2017-06-29-0.u42795.seg0.2	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	mixed positive	3.882	1	5	6	0	
ParlaMint-HR_2017-06-29-0.u42795.seg0.3	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	mixed positive	3.643	1	2	3	0	
ParlaMint-HR_2017-06-29-0.u42795.seg0.4	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	positive	4.786	1	27	28	3	
ParlaMint-HR_2017-06-29-0.u42795.seg0.5	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Neutral	neutral positive	3.360	1	11	12	0	
ParlaMint-HR_2017-06-29-0.u42795.seg0.6	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	mixed positive	3.937	1	11	13	0	
ParlaMint-HR_2017-06-29-0.u42795.seg0.7	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Neutral	neutral positive	3.027	1	18	20	1	
ParlaMint-HR_2017-06-29-0.u42795.seg0.8	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Positive	positive	4.723	1	8	9	0	
ParlaMint-HR_2017-06-29-0.u42795.seg0.9	ParlaMint-HR_2017-06-29-0.u42795	s	Croatian	Neutral	neutral negative	2.288	1	5	6	0	
ParlaMint-HR_2017-06-29-0.u42796	ParlaMint-HR_2017-06-29-0	u	Croatian	-	-	-	5	84	94	2	
ParlaMint-HR_2017-06-29-0.u42796.seg0.1	ParlaMint-HR_2017-06-29-0.u42796	s	Croatian	Neutral	neutral positive	2.972	1	17	19	0	
ParlaMint-HR_2017-06-29-0.u42796.seg0.2	ParlaMint-HR_2017-06-29-0.u42796	s	Croatian	Neutral	neutral positive	3.127	1	7	9	1	
ParlaMint-HR_2017-06-29-0.u42796.seg0.3	ParlaMint-HR_2017-06-29-0.u42796	s	Croatian	Positive	mixed positive	3.543	1	41	43	1	
ParlaMint-HR_2017-06-29-0.u42796.seg0.4	ParlaMint-HR_2017-06-29-0.u42796	s	Croatian	Neutral	neutral positive	3.316	1	2	3	0	
ParlaMint-HR_2017-06-29-0.u42796.seg0.5	ParlaMint-HR_2017-06-29-0.u42796	s	Croatian	Positive	mixed positive	3.954	1	17	20	0	
