ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
u2016-12-07-0	ParlaMint-HU_2016-12-07	u	Hungarian	-	-	-	13	149	175	10	
ParlaMint-HU_2016-12-07.seg1.1	u2016-12-07-0	s	Hungarian	Positive	mixed positive	3.810	1	3	4	0	
ParlaMint-HU_2016-12-07.seg1.2	u2016-12-07-0	s	Hungarian	Positive	mixed positive	4.043	1	2	3	0	
ParlaMint-HU_2016-12-07.seg1.3	u2016-12-07-0	s	Hungarian	Positive	positive	5.126	1	3	4	0	
ParlaMint-HU_2016-12-07.seg1.4	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	3.192	1	7	8	1	
ParlaMint-HU_2016-12-07.seg1.5	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	3.146	1	16	18	2	
ParlaMint-HU_2016-12-07.seg2.1	u2016-12-07-0	s	Hungarian	Positive	positive	5.053	1	19	23	0	
ParlaMint-HU_2016-12-07.seg3.1	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	2.739	1	34	36	3	
ParlaMint-HU_2016-12-07.seg3.2	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	2.763	1	22	24	2	
ParlaMint-HU_2016-12-07.seg4.1	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	2.933	1	16	20	2	
ParlaMint-HU_2016-12-07.seg4.2	u2016-12-07-0	s	Hungarian	Neutral	neutral postive	3.085	1	15	18	0	
ParlaMint-HU_2016-12-07.seg4.3	u2016-12-07-0	s	Hungarian	Positive	mixed positive	3.835	1	5	7	0	
ParlaMint-HU_2016-12-07.seg4.4	u2016-12-07-0	s	Hungarian	Positive	positive	4.897	1	4	6	0	
ParlaMint-HU_2016-12-07.seg4.5	u2016-12-07-0	s	Hungarian	Positive	mixed positive	3.585	1	3	4	0	
u2016-12-07-1	ParlaMint-HU_2016-12-07	u	Hungarian	-	-	-	84	1825	2075	55	
ParlaMint-HU_2016-12-07.seg5.1	u2016-12-07-1	s	Hungarian	Positive	mixed positive	4.466	1	3	4	0	
ParlaMint-HU_2016-12-07.seg5.2	u2016-12-07-1	s	Hungarian	Positive	mixed positive	4.409	1	2	3	0	
ParlaMint-HU_2016-12-07.seg5.3	u2016-12-07-1	s	Hungarian	Negative	negative	0.215	1	22	25	0	
ParlaMint-HU_2016-12-07.seg5.4	u2016-12-07-1	s	Hungarian	Negative	mixed negative	1.038	1	35	43	0	
ParlaMint-HU_2016-12-07.seg5.5	u2016-12-07-1	s	Hungarian	Neutral	neutral postive	2.915	1	1	1	0	
ParlaMint-HU_2016-12-07.seg6.1	u2016-12-07-1	s	Hungarian	Neutral	neutral postive	2.892	1	25	27	4	
ParlaMint-HU_2016-12-07.seg6.2	u2016-12-07-1	s	Hungarian	Negative	mixed negative	0.865	1	11	12	2	
ParlaMint-HU_2016-12-07.seg6.3	u2016-12-07-1	s	Hungarian	Negative	negative	0.153	1	24	27	1	
ParlaMint-HU_2016-12-07.seg6.4	u2016-12-07-1	s	Hungarian	Negative	negative	0.234	1	19	23	1	
ParlaMint-HU_2016-12-07.seg6.5	u2016-12-07-1	s	Hungarian	Negative	negative	0.122	1	52	62	2	
ParlaMint-HU_2016-12-07.seg6.6	u2016-12-07-1	s	Hungarian	Negative	negative	0.238	1	18	22	0	
ParlaMint-HU_2016-12-07.seg7.1	u2016-12-07-1	s	Hungarian	Positive	mixed positive	4.409	1	2	3	1	
ParlaMint-HU_2016-12-07.seg7.2	u2016-12-07-1	s	Hungarian	Negative	mixed negative	0.647	1	51	59	0	
ParlaMint-HU_2016-12-07.seg7.3	u2016-12-07-1	s	Hungarian	Neutral	neutral postive	3.027	1	47	57	0	
ParlaMint-HU_2016-12-07.seg8.1	u2016-12-07-1	s	Hungarian	Negative	negative	0.316	1	38	43	1	
ParlaMint-HU_2016-12-07.seg8.2	u2016-12-07-1	s	Hungarian	Positive	positive	4.860	1	9	10	0	
ParlaMint-HU_2016-12-07.seg9.1	u2016-12-07-1	s	Hungarian	Positive	mixed positive	4.216	1	28	32	1	
ParlaMint-HU_2016-12-07.seg9.2	u2016-12-07-1	s	Hungarian	Positive	mixed positive	3.730	1	47	52	1	
