ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
u2020-04-07-0	ParlaMint-HU-en_2020-04-07	u	English	-	-	-	6	80	93	5	
ParlaMint-HU_2020-04-07.seg1.1	u2020-04-07-0	s	English	Positive	mixed positive	4.331	1	4	6	0	
ParlaMint-HU_2020-04-07.seg1.2	u2020-04-07-0	s	English	Positive	positive	5.082	1	17	18	0	
ParlaMint-HU_2020-04-07.seg1.3	u2020-04-07-0	s	English	Neutral	neutral positive	3.100	1	28	31	2	
ParlaMint-HU_2020-04-07.seg1.4	u2020-04-07-0	s	English	Positive	mixed positive	4.409	1	2	3	0	
ParlaMint-HU_2020-04-07.seg1.5	u2020-04-07-0	s	English	Neutral	neutral positive	3.045	1	21	24	3	
ParlaMint-HU_2020-04-07.seg1.6	u2020-04-07-0	s	English	Positive	mixed positive	3.541	1	8	11	0	
u2020-04-07-1	ParlaMint-HU-en_2020-04-07	u	English	-	-	-	26	719	791	41	
ParlaMint-HU_2020-04-07.seg2.1	u2020-04-07-1	s	English	Positive	mixed positive	4.010	1	5	6	0	
ParlaMint-HU_2020-04-07.seg2.2	u2020-04-07-1	s	English	Positive	mixed positive	4.466	1	2	3	0	
ParlaMint-HU_2020-04-07.seg2.3	u2020-04-07-1	s	English	Positive	mixed positive	4.043	1	3	4	0	
ParlaMint-HU_2020-04-07.seg2.4	u2020-04-07-1	s	English	Neutral	neutral positive	2.777	1	55	60	2	
ParlaMint-HU_2020-04-07.seg2.5	u2020-04-07-1	s	English	Negative	mixed negative	0.676	1	35	38	0	
ParlaMint-HU_2020-04-07.seg2.6	u2020-04-07-1	s	English	Neutral	neutral positive	3.471	1	37	41	4	
ParlaMint-HU_2020-04-07.seg2.7	u2020-04-07-1	s	English	Positive	mixed positive	4.434	1	20	23	2	
ParlaMint-HU_2020-04-07.seg2.8	u2020-04-07-1	s	English	Positive	positive	4.748	1	27	29	3	
ParlaMint-HU_2020-04-07.seg3.1	u2020-04-07-1	s	English	Neutral	neutral negative	1.535	1	69	77	1	
ParlaMint-HU_2020-04-07.seg4.1	u2020-04-07-1	s	English	Neutral	neutral positive	2.713	1	41	43	5	
ParlaMint-HU_2020-04-07.seg4.2	u2020-04-07-1	s	English	Neutral	neutral negative	2.496	1	28	31	2	
ParlaMint-HU_2020-04-07.seg5.1	u2020-04-07-1	s	English	Positive	positive	4.981	1	26	29	2	
ParlaMint-HU_2020-04-07.seg6.1	u2020-04-07-1	s	English	Positive	positive	5.314	1	13	14	2	
ParlaMint-HU_2020-04-07.seg6.2	u2020-04-07-1	s	English	Positive	positive	4.605	1	17	18	2	
ParlaMint-HU_2020-04-07.seg7.1	u2020-04-07-1	s	English	Positive	mixed positive	3.521	1	33	36	2	
ParlaMint-HU_2020-04-07.seg7.2	u2020-04-07-1	s	English	Negative	negative	0.358	1	26	29	2	
ParlaMint-HU_2020-04-07.seg7.3	u2020-04-07-1	s	English	Positive	mixed positive	4.306	1	30	34	1	
ParlaMint-HU_2020-04-07.seg8.1	u2020-04-07-1	s	English	Positive	positive	4.755	1	40	42	2	
ParlaMint-HU_2020-04-07.seg8.2	u2020-04-07-1	s	English	Neutral	neutral positive	2.868	1	20	22	0	
ParlaMint-HU_2020-04-07.seg8.3	u2020-04-07-1	s	English	Negative	negative	0.120	1	30	32	1	
ParlaMint-HU_2020-04-07.seg9.1	u2020-04-07-1	s	English	Negative	negative	0.412	1	42	47	3	
ParlaMint-HU_2020-04-07.seg9.2	u2020-04-07-1	s	English	Neutral	neutral negative	1.786	1	17	19	2	
ParlaMint-HU_2020-04-07.seg10.1	u2020-04-07-1	s	English	Neutral	neutral positive	2.501	1	54	59	2	
ParlaMint-HU_2020-04-07.seg10.2	u2020-04-07-1	s	English	Positive	mixed positive	3.740	1	33	37	1	
ParlaMint-HU_2020-04-07.seg11.1	u2020-04-07-1	s	English	Positive	mixed positive	4.087	1	7	8	0	
