ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
u2020-04-07-0	ParlaMint-HU_2020-04-07	u	magyar	-	-	-	6	58	70	5	
ParlaMint-HU_2020-04-07.seg1.1	u2020-04-07-0	s	magyar	Positive	mixed positive	4.331	1	5	7	0	
ParlaMint-HU_2020-04-07.seg1.2	u2020-04-07-0	s	magyar	Positive	positive	5.082	1	11	14	0	
ParlaMint-HU_2020-04-07.seg1.3	u2020-04-07-0	s	magyar	Neutral	neutral postive	3.100	1	19	21	2	
ParlaMint-HU_2020-04-07.seg1.4	u2020-04-07-0	s	magyar	Positive	mixed positive	4.409	1	2	3	1	
ParlaMint-HU_2020-04-07.seg1.5	u2020-04-07-0	s	magyar	Neutral	neutral postive	3.045	1	15	16	1	
ParlaMint-HU_2020-04-07.seg1.6	u2020-04-07-0	s	magyar	Positive	mixed positive	3.541	1	6	9	1	
u2020-04-07-1	ParlaMint-HU_2020-04-07	u	magyar	-	-	-	26	585	671	20	
ParlaMint-HU_2020-04-07.seg2.1	u2020-04-07-1	s	magyar	Positive	mixed positive	4.010	1	3	4	0	
ParlaMint-HU_2020-04-07.seg2.2	u2020-04-07-1	s	magyar	Positive	mixed positive	4.466	1	3	4	0	
ParlaMint-HU_2020-04-07.seg2.3	u2020-04-07-1	s	magyar	Positive	mixed positive	4.043	1	2	3	0	
ParlaMint-HU_2020-04-07.seg2.4	u2020-04-07-1	s	magyar	Neutral	neutral postive	2.777	1	42	50	4	
ParlaMint-HU_2020-04-07.seg2.5	u2020-04-07-1	s	magyar	Negative	mixed negative	0.676	1	28	32	0	
ParlaMint-HU_2020-04-07.seg2.6	u2020-04-07-1	s	magyar	Neutral	neutral postive	3.471	1	21	24	2	
ParlaMint-HU_2020-04-07.seg2.7	u2020-04-07-1	s	magyar	Positive	mixed positive	4.434	1	18	22	2	
ParlaMint-HU_2020-04-07.seg2.8	u2020-04-07-1	s	magyar	Positive	positive	4.748	1	26	29	2	
ParlaMint-HU_2020-04-07.seg3.1	u2020-04-07-1	s	magyar	Neutral	neutral negative	1.535	1	64	72	1	
ParlaMint-HU_2020-04-07.seg4.1	u2020-04-07-1	s	magyar	Neutral	neutral postive	2.713	1	28	32	1	
ParlaMint-HU_2020-04-07.seg4.2	u2020-04-07-1	s	magyar	Neutral	neutral negative	2.496	1	21	23	1	
ParlaMint-HU_2020-04-07.seg5.1	u2020-04-07-1	s	magyar	Positive	positive	4.981	1	22	25	1	
ParlaMint-HU_2020-04-07.seg6.1	u2020-04-07-1	s	magyar	Positive	positive	5.314	1	14	16	2	
ParlaMint-HU_2020-04-07.seg6.2	u2020-04-07-1	s	magyar	Positive	positive	4.605	1	12	14	0	
ParlaMint-HU_2020-04-07.seg7.1	u2020-04-07-1	s	magyar	Positive	mixed positive	3.521	1	38	42	2	
ParlaMint-HU_2020-04-07.seg7.2	u2020-04-07-1	s	magyar	Negative	negative	0.358	1	17	19	0	
ParlaMint-HU_2020-04-07.seg7.3	u2020-04-07-1	s	magyar	Positive	mixed positive	4.306	1	24	30	0	
ParlaMint-HU_2020-04-07.seg8.1	u2020-04-07-1	s	magyar	Positive	positive	4.755	1	29	33	0	
ParlaMint-HU_2020-04-07.seg8.2	u2020-04-07-1	s	magyar	Neutral	neutral postive	2.868	1	16	18	0	
ParlaMint-HU_2020-04-07.seg8.3	u2020-04-07-1	s	magyar	Negative	negative	0.120	1	23	27	0	
ParlaMint-HU_2020-04-07.seg9.1	u2020-04-07-1	s	magyar	Negative	negative	0.412	1	37	40	2	
ParlaMint-HU_2020-04-07.seg9.2	u2020-04-07-1	s	magyar	Neutral	neutral negative	1.786	1	18	20	0	
ParlaMint-HU_2020-04-07.seg10.1	u2020-04-07-1	s	magyar	Neutral	neutral postive	2.501	1	45	51	0	
ParlaMint-HU_2020-04-07.seg10.2	u2020-04-07-1	s	magyar	Positive	mixed positive	3.740	1	26	31	0	
ParlaMint-HU_2020-04-07.seg11.1	u2020-04-07-1	s	magyar	Positive	mixed positive	4.087	1	4	5	0	
ParlaMint-HU_2020-04-07.seg11.2	u2020-04-07-1	s	magyar	Neutral	neutral postive	3.337	1	4	5	0	
u2020-04-07-185	ParlaMint-HU_2020-04-07	u	magyar	-	-	-	25	593	698	6	
ParlaMint-HU_2020-04-07.seg1133.1	u2020-04-07-185	s	magyar	Positive	mixed positive	4.046	1	5	7	0	
ParlaMint-HU_2020-04-07.seg1133.2	u2020-04-07-185	s	magyar	Positive	mixed positive	4.043	1	2	3	0	
ParlaMint-HU_2020-04-07.seg1133.3	u2020-04-07-185	s	magyar	Positive	mixed positive	4.416	1	2	3	0	
ParlaMint-HU_2020-04-07.seg1133.4	u2020-04-07-185	s	magyar	Positive	positive	4.818	1	30	36	1	
ParlaMint-HU_2020-04-07.seg1133.5	u2020-04-07-185	s	magyar	Positive	positive	5.213	1	27	32	0	
ParlaMint-HU_2020-04-07.seg1133.6	u2020-04-07-185	s	magyar	Neutral	neutral postive	3.116	1	28	32	0	
ParlaMint-HU_2020-04-07.seg1133.7	u2020-04-07-185	s	magyar	Positive	mixed positive	3.585	1	46	55	0	
ParlaMint-HU_2020-04-07.seg1134.1	u2020-04-07-185	s	magyar	Negative	negative	0.454	1	14	16	0	
ParlaMint-HU_2020-04-07.seg1134.2	u2020-04-07-185	s	magyar	Negative	negative	0.227	1	40	46	1	
ParlaMint-HU_2020-04-07.seg1134.3	u2020-04-07-185	s	magyar	Negative	mixed negative	0.927	1	21	25	0	
ParlaMint-HU_2020-04-07.seg1134.4	u2020-04-07-185	s	magyar	Negative	mixed negative	0.871	1	37	41	1	
ParlaMint-HU_2020-04-07.seg1135.1	u2020-04-07-185	s	magyar	Neutral	neutral negative	1.789	1	14	16	0	
ParlaMint-HU_2020-04-07.seg1135.2	u2020-04-07-185	s	magyar	Positive	mixed positive	4.415	1	9	11	0	
ParlaMint-HU_2020-04-07.seg1135.3	u2020-04-07-185	s	magyar	Negative	negative	0.170	1	19	22	1	
ParlaMint-HU_2020-04-07.seg1135.4	u2020-04-07-185	s	magyar	Positive	mixed positive	3.522	1	8	9	0	
ParlaMint-HU_2020-04-07.seg1135.5	u2020-04-07-185	s	magyar	Positive	mixed positive	3.770	1	28	32	1	
ParlaMint-HU_2020-04-07.seg1136.1	u2020-04-07-185	s	magyar	Negative	negative	0.469	1	60	71	0	
ParlaMint-HU_2020-04-07.seg1136.2	u2020-04-07-185	s	magyar	Negative	negative	0.158	1	7	8	0	
ParlaMint-HU_2020-04-07.seg1136.3	u2020-04-07-185	s	magyar	Negative	negative	0.271	1	65	75	1	
ParlaMint-HU_2020-04-07.seg1137.1	u2020-04-07-185	s	magyar	Negative	negative	0.296	1	34	41	0	
ParlaMint-HU_2020-04-07.seg1137.2	u2020-04-07-185	s	magyar	Negative	mixed negative	1.494	1	41	49	0	
ParlaMint-HU_2020-04-07.seg1137.3	u2020-04-07-185	s	magyar	Positive	mixed positive	4.142	1	26	31	0	
ParlaMint-HU_2020-04-07.seg1138.1	u2020-04-07-185	s	magyar	Neutral	neutral negative	1.597	1	10	12	0	
ParlaMint-HU_2020-04-07.seg1138.2	u2020-04-07-185	s	magyar	Positive	mixed positive	3.977	1	17	20	0	
ParlaMint-HU_2020-04-07.seg1138.3	u2020-04-07-185	s	magyar	Positive	mixed positive	4.304	1	3	5	0	
u2020-04-07-186	ParlaMint-HU_2020-04-07	u	magyar	-	-	-	6	25	32	1	
ParlaMint-HU_2020-04-07.seg1139.1	u2020-04-07-186	s	magyar	Positive	mixed positive	4.441	1	3	5	0	
ParlaMint-HU_2020-04-07.seg1139.2	u2020-04-07-186	s	magyar	Positive	mixed positive	4.043	1	2	3	0	
ParlaMint-HU_2020-04-07.seg1139.3	u2020-04-07-186	s	magyar	Neutral	neutral postive	3.210	1	6	7	0	
ParlaMint-HU_2020-04-07.seg1139.4	u2020-04-07-186	s	magyar	Positive	positive	4.944	1	3	4	0	
ParlaMint-HU_2020-04-07.seg1139.5	u2020-04-07-186	s	magyar	Neutral	neutral postive	3.091	1	8	9	1	
ParlaMint-HU_2020-04-07.seg1139.6	u2020-04-07-186	s	magyar	Neutral	neutral postive	2.875	1	3	4	0	
