ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2019-12-17-48.u1	ParlaMint-IS_2019-12-17-48	u	Íslenska	-	-	-	4	45	49	0	
ParlaMint-IS_2019-12-17-48.seg1.1	ParlaMint-IS_2019-12-17-48.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.939	1	10	11	0	
ParlaMint-IS_2019-12-17-48.seg1.2	ParlaMint-IS_2019-12-17-48.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.976	1	11	12	0	
ParlaMint-IS_2019-12-17-48.seg1.3	ParlaMint-IS_2019-12-17-48.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.923	1	12	13	0	
ParlaMint-IS_2019-12-17-48.seg1.4	ParlaMint-IS_2019-12-17-48.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	2.417	1	12	13	0	
ParlaMint-IS_2019-12-17-48.u2	ParlaMint-IS_2019-12-17-48	u	Íslenska	-	-	-	59	1549	1650	41	
ParlaMint-IS_2019-12-17-48.seg2.1	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Hlutleysi	jákvætt hlutleysi	3.179	1	2	3	0	
ParlaMint-IS_2019-12-17-48.seg2.2	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Jákvæðni	blönduð jákvæðni	3.862	1	33	33	1	
ParlaMint-IS_2019-12-17-48.seg2.3	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	blönduð neikvæðni	1.416	1	53	58	2	
ParlaMint-IS_2019-12-17-48.seg2.4	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.573	1	15	16	1	
ParlaMint-IS_2019-12-17-48.seg2.5	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.692	1	31	32	0	
ParlaMint-IS_2019-12-17-48.seg3.1	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.628	1	38	40	2	
ParlaMint-IS_2019-12-17-48.seg3.2	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Hlutleysi	neikvætt hlutleysi	1.592	1	43	46	0	
ParlaMint-IS_2019-12-17-48.seg4.1	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	neikvæðini	0.253	1	14	15	0	
ParlaMint-IS_2019-12-17-48.seg4.2	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	neikvæðini	0.223	1	12	13	0	
ParlaMint-IS_2019-12-17-48.seg4.3	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	neikvæðini	0.268	1	11	12	0	
ParlaMint-IS_2019-12-17-48.seg4.4	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	neikvæðini	0.254	1	28	32	0	
ParlaMint-IS_2019-12-17-48.seg4.5	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Jákvæðni	jákvæðni	4.850	1	70	75	1	
ParlaMint-IS_2019-12-17-48.seg4.6	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	neikvæðini	0.354	1	33	34	0	
ParlaMint-IS_2019-12-17-48.seg5.1	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Hlutleysi	neikvætt hlutleysi	1.766	1	29	30	3	
ParlaMint-IS_2019-12-17-48.seg5.2	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Neikvæðni	blönduð neikvæðni	1.209	1	11	12	1	
ParlaMint-IS_2019-12-17-48.seg5.3	ParlaMint-IS_2019-12-17-48.u2	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.906	1	22	23	1	
