ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-06-15.u1	ParlaMint-IS_2022-06-15	u	Íslenska	-	-	-	35	1032	1090	4	
ParlaMint-IS_2022-06-15.seg1.1	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	3.977	1	2	3	0	
ParlaMint-IS_2022-06-15.seg1.2	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	3.246	1	30	32	0	
ParlaMint-IS_2022-06-15.seg1.3	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	neikvæðini	0.222	1	50	51	0	
ParlaMint-IS_2022-06-15.seg1.4	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	neikvæðini	0.418	1	34	38	0	
ParlaMint-IS_2022-06-15.seg1.5	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.520	1	25	26	0	
ParlaMint-IS_2022-06-15.seg1.6	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.786	1	15	16	0	
ParlaMint-IS_2022-06-15.seg1.7	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	4.203	1	3	4	0	
ParlaMint-IS_2022-06-15.seg1.8	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.981	1	11	12	0	
ParlaMint-IS_2022-06-15.seg1.9	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	jákvæðni	4.720	1	19	20	0	
ParlaMint-IS_2022-06-15.seg1.10	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.754	1	30	31	0	
ParlaMint-IS_2022-06-15.seg1.11	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	4.098	1	54	56	0	
ParlaMint-IS_2022-06-15.seg1.12	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	jákvæðni	4.912	1	43	45	0	
ParlaMint-IS_2022-06-15.seg1.13	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	3.508	1	16	18	0	
ParlaMint-IS_2022-06-15.seg1.14	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	neikvæðini	0.495	1	119	123	0	
ParlaMint-IS_2022-06-15.seg1.15	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.758	1	7	8	0	
ParlaMint-IS_2022-06-15.seg2.1	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	1.628	1	37	43	0	
ParlaMint-IS_2022-06-15.seg2.2	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.595	1	6	7	0	
ParlaMint-IS_2022-06-15.seg2.3	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	1.778	1	22	23	0	
ParlaMint-IS_2022-06-15.seg3.1	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.621	1	20	21	0	
ParlaMint-IS_2022-06-15.seg3.2	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	2.195	1	31	32	0	
ParlaMint-IS_2022-06-15.seg3.3	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	1.544	1	25	26	0	
ParlaMint-IS_2022-06-15.seg3.4	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	2.486	1	38	40	0	
ParlaMint-IS_2022-06-15.seg3.5	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	4.113	1	39	45	0	
ParlaMint-IS_2022-06-15.seg4.1	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Jákvæðni	blönduð jákvæðni	3.709	1	26	27	1	
ParlaMint-IS_2022-06-15.seg4.2	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	neikvæðini	0.355	1	5	6	0	
ParlaMint-IS_2022-06-15.seg4.3	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.878	1	28	29	0	
ParlaMint-IS_2022-06-15.seg4.4	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.571	1	14	16	0	
ParlaMint-IS_2022-06-15.seg4.5	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	jákvætt hlutleysi	2.829	1	10	11	0	
ParlaMint-IS_2022-06-15.seg4.6	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.957	1	32	33	1	
ParlaMint-IS_2022-06-15.seg4.7	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Neikvæðni	blönduð neikvæðni	0.577	1	61	62	1	
ParlaMint-IS_2022-06-15.seg4.8	ParlaMint-IS_2022-06-15.u1	s	Íslenska	Hlutleysi	neikvætt hlutleysi	2.277	1	34	36	0	
