ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-LV_2019-01-31-PT13-516-U1	ParlaMint-LV_2019-01-31-PT13-516	u	Latvian	-	-	-	43	497	600	37	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.1	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Positive	mixed positive	3.849	1	3	5	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.2	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.241	1	18	20	2	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.3	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	2.849	1	9	10	1	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.4	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	2.985	1	28	34	3	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.5	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	2.540	1	14	20	2	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.6	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.7	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Negative	mixed negative	1.359	1	2	3	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.8	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.492	1	3	4	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.9	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.113	1	37	42	4	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.10	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.11	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Negative	mixed negative	1.359	1	2	3	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.12	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.492	1	3	4	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.13	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.096	1	37	42	4	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.14	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.15	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Negative	mixed negative	1.359	1	2	3	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.16	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.492	1	3	4	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.17	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.051	1	37	42	4	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.18	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.19	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Negative	mixed negative	1.359	1	2	3	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.20	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	3.492	1	3	4	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.21	ParlaMint-LV_2019-01-31-PT13-516-U1	s	Latvian	Neutral	neutral postive	2.950	1	27	34	1	
