ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-NL_2022-07-12-eerstekamer-3.u1	ParlaMint-NL-en_2022-07-12-eerstekamer-3	u	English	-	-	-	2	41	44	2	
ParlaMint-NL_2022-07-12-eerstekamer-3.s1	ParlaMint-NL_2022-07-12-eerstekamer-3.u1	s	English	Positive	mixed positive	3.754	1	25	27	2	
ParlaMint-NL_2022-07-12-eerstekamer-3.s2	ParlaMint-NL_2022-07-12-eerstekamer-3.u1	s	English	Positive	mixed positive	4.105	1	16	17	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.u2	ParlaMint-NL-en_2022-07-12-eerstekamer-3	u	English	-	-	-	1	8	9	1	
ParlaMint-NL_2022-07-12-eerstekamer-3.s4	ParlaMint-NL_2022-07-12-eerstekamer-3.u2	s	English	Neutral	neutral positive	3.152	1	8	9	1	
ParlaMint-NL_2022-07-12-eerstekamer-3.u79	ParlaMint-NL-en_2022-07-12-eerstekamer-3	u	English	-	-	-	1	2	3	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s528	ParlaMint-NL_2022-07-12-eerstekamer-3.u79	s	English	Positive	positive	4.782	1	2	3	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.u80	ParlaMint-NL-en_2022-07-12-eerstekamer-3	u	English	-	-	-	6	60	66	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s530	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral positive	2.778	1	8	9	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s531	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral positive	2.583	1	11	12	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s532	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral positive	3.347	1	4	5	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s533	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral positive	2.677	1	13	14	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s534	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral positive	3.092	1	13	14	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s535	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	English	Neutral	neutral negative	2.388	1	11	12	0	
