ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-NO_2022-05-10.ana.ud496e62	ParlaMint-NO_2022-05-10	u	Norsk bokmål	-	-	-	6	92	105	13	
ParlaMint-NO_2022-05-10.ana.segd496e63.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Neutral	neutral postive	2.896	1	18	22	4	
ParlaMint-NO_2022-05-10.ana.segd496e79.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Neutral	neutral postive	2.704	1	10	13	2	
ParlaMint-NO_2022-05-10.ana.segd496e84.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Neutral	neutral negative	2.284	1	36	37	5	
ParlaMint-NO_2022-05-10.ana.segd496e89.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Neutral	neutral postive	3.048	1	7	8	0	
ParlaMint-NO_2022-05-10.ana.segd496e93.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Positive	mixed positive	3.914	1	6	7	0	
ParlaMint-NO_2022-05-10.ana.segd496e96.1	ParlaMint-NO_2022-05-10.ana.ud496e62	s	Norsk bokmål	Neutral	neutral postive	2.640	1	15	18	2	
ParlaMint-NO_2022-05-10.ana.ud496e107	ParlaMint-NO_2022-05-10	u	Norsk nynorsk	-	-	-	1	8	9	1	
ParlaMint-NO_2022-05-10.ana.segd496e108.1	ParlaMint-NO_2022-05-10.ana.ud496e107	s	Norsk bokmål	Neutral	neutral postive	2.605	1	8	9	1	
ParlaMint-NO_2022-05-10.ana.ud496e2502	ParlaMint-NO_2022-05-10	u	Norsk bokmål	-	-	-	5	74	80	6	
ParlaMint-NO_2022-05-10.ana.segd496e2503.1	ParlaMint-NO_2022-05-10.ana.ud496e2502	s	Norsk bokmål	Neutral	neutral negative	2.378	1	13	14	2	
ParlaMint-NO_2022-05-10.ana.segd496e2503.2	ParlaMint-NO_2022-05-10.ana.ud496e2502	s	Norsk bokmål	Positive	mixed positive	3.502	1	2	3	0	
ParlaMint-NO_2022-05-10.ana.segd496e2508.1	ParlaMint-NO_2022-05-10.ana.ud496e2502	s	Norsk bokmål	Neutral	neutral negative	2.275	1	42	45	3	
ParlaMint-NO_2022-05-10.ana.segd496e2510.1	ParlaMint-NO_2022-05-10.ana.ud496e2502	s	Norsk bokmål	Neutral	neutral negative	2.419	1	9	10	0	
ParlaMint-NO_2022-05-10.ana.segd496e2512.1	ParlaMint-NO_2022-05-10.ana.ud496e2502	s	Norsk bokmål	Neutral	neutral postive	2.797	1	8	8	1	
ParlaMint-NO_2022-05-10.ana.ud496e2557	ParlaMint-NO_2022-05-10	u	Norsk bokmål	-	-	-	3	14	18	0	
ParlaMint-NO_2022-05-10.ana.segd496e2558.1	ParlaMint-NO_2022-05-10.ana.ud496e2557	s	Norsk bokmål	Neutral	neutral postive	3.039	1	5	6	0	
ParlaMint-NO_2022-05-10.ana.segd496e2558.2	ParlaMint-NO_2022-05-10.ana.ud496e2557	s	Norsk bokmål	Neutral	neutral negative	2.441	1	6	7	0	
ParlaMint-NO_2022-05-10.ana.segd496e2558.3	ParlaMint-NO_2022-05-10.ana.ud496e2557	s	Norsk bokmål	Neutral	neutral postive	3.018	1	3	5	0	
