ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-PL_2022-06-23-sejm-57-2.u1	ParlaMint-PL_2022-06-23-sejm-57-2	u	Polski	-	-	-	5	48	55	8	
seg963379.1	ParlaMint-PL_2022-06-23-sejm-57-2.u1	s	Polski	Pozytywny	pozytywny mieszany	4.049	1	2	3	0	
seg963380.1	ParlaMint-PL_2022-06-23-sejm-57-2.u1	s	Polski	Neutralny	neutralny pozytywny	3.239	1	15	18	4	
seg963381.1	ParlaMint-PL_2022-06-23-sejm-57-2.u1	s	Polski	Neutralny	neutralny pozytywny	2.934	1	12	13	2	
seg963382.1	ParlaMint-PL_2022-06-23-sejm-57-2.u1	s	Polski	Neutralny	neutralny pozytywny	3.306	1	12	13	2	
seg963383.1	ParlaMint-PL_2022-06-23-sejm-57-2.u1	s	Polski	Neutralny	neutralny pozytywny	3.499	1	7	8	0	
ParlaMint-PL_2022-06-23-sejm-57-2.u2	ParlaMint-PL_2022-06-23-sejm-57-2	u	Polski	-	-	-	23	155	246	13	
seg963384.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	3.025	1	10	12	1	
seg963385.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.869	1	6	11	1	
seg963386.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.528	1	4	8	0	
seg963387.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.891	1	3	7	0	
seg963388.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.880	1	6	10	0	
seg963389.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.932	1	3	7	0	
seg963390.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.856	1	5	9	0	
seg963391.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.936	1	7	11	1	
seg963392.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	3.266	1	7	11	1	
seg963393.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.958	1	7	11	0	
seg963394.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.909	1	6	10	1	
seg963395.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.988	1	7	12	0	
seg963396.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.992	1	6	10	1	
seg963397.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.594	1	4	8	0	
seg963398.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.788	1	11	15	1	
seg963399.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.806	1	4	8	0	
seg963400.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny pozytywny	2.836	1	3	7	0	
seg963401.1	ParlaMint-PL_2022-06-23-sejm-57-2.u2	s	Polski	Neutralny	neutralny negatywny	2.403	1	4	8	0	
