ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-RS_2014-11-04-0.u12875	ParlaMint-RS_2014-11-04-0	u	srpski	-	-	-	7	120	133	3	
ParlaMint-RS_2014-11-04-0.u12875.seg0.1	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Pozitivan	mešan pozitivan	3.898	1	20	22	1	
ParlaMint-RS_2014-11-04-0.u12875.seg0.2	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Neutralan	neutralan pozitivan	3.316	1	15	17	0	
ParlaMint-RS_2014-11-04-0.u12875.seg0.3	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Neutralan	neutralan pozitivan	3.291	1	23	25	0	
ParlaMint-RS_2014-11-04-0.u12875.seg0.4	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Pozitivan	mešan pozitivan	3.519	1	33	35	1	
ParlaMint-RS_2014-11-04-0.u12875.seg0.5	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Neutralan	neutralan pozitivan	2.844	1	21	22	0	
ParlaMint-RS_2014-11-04-0.u12875.seg0.6	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Neutralan	neutralan negativan	2.102	1	1	2	0	
ParlaMint-RS_2014-11-04-0.u12875.seg0.7	ParlaMint-RS_2014-11-04-0.u12875	s	srpski	Pozitivan	mešan pozitivan	3.788	1	7	10	1	
ParlaMint-RS_2014-11-04-0.u12876	ParlaMint-RS_2014-11-04-0	u	srpski	-	-	-	17	556	622	38	
ParlaMint-RS_2014-11-04-0.u12876.seg0.1	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	4.336	1	28	31	2	
ParlaMint-RS_2014-11-04-0.u12876.seg0.2	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Neutralan	neutralan pozitivan	3.088	1	19	21	3	
ParlaMint-RS_2014-11-04-0.u12876.seg0.3	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Negativan	negativan	-0.164	1	26	30	0	
ParlaMint-RS_2014-11-04-0.u12876.seg0.4	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Negativan	negativan	-0.132	1	15	18	0	
ParlaMint-RS_2014-11-04-0.u12876.seg0.5	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Negativan	negativan	0.075	1	26	31	2	
ParlaMint-RS_2014-11-04-0.u12876.seg0.6	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Neutralan	neutralan negativan	1.980	1	43	47	3	
ParlaMint-RS_2014-11-04-0.u12876.seg0.7	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	4.260	1	45	49	3	
ParlaMint-RS_2014-11-04-0.u12876.seg0.8	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Negativan	negativan	0.116	1	23	27	1	
ParlaMint-RS_2014-11-04-0.u12876.seg0.9	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Negativan	mešan negativan	0.670	1	25	28	0	
ParlaMint-RS_2014-11-04-0.u12876.seg0.10	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	4.080	1	37	40	3	
ParlaMint-RS_2014-11-04-0.u12876.seg0.11	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	4.337	1	61	66	5	
ParlaMint-RS_2014-11-04-0.u12876.seg0.12	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	3.543	1	36	42	5	
ParlaMint-RS_2014-11-04-0.u12876.seg0.13	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Neutralan	neutralan negativan	1.907	1	44	48	2	
ParlaMint-RS_2014-11-04-0.u12876.seg0.14	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Neutralan	neutralan pozitivan	2.567	1	55	63	4	
ParlaMint-RS_2014-11-04-0.u12876.seg0.15	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	mešan pozitivan	4.471	1	45	47	2	
ParlaMint-RS_2014-11-04-0.u12876.seg0.16	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	pozitivan	4.741	1	27	32	3	
ParlaMint-RS_2014-11-04-0.u12876.seg0.17	ParlaMint-RS_2014-11-04-0.u12876	s	srpski	Pozitivan	pozitivan	4.511	1	1	2	0	
ParlaMint-RS_2014-11-04-0.u12938	ParlaMint-RS_2014-11-04-0	u	srpski	-	-	-	74	1155	1334	9	
ParlaMint-RS_2014-11-04-0.u12938.seg0.1	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	pozitivan	4.821	1	6	7	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.2	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	4.332	1	34	35	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.3	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	3.546	1	9	12	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.4	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan pozitivan	2.845	1	6	8	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.5	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	3.879	1	14	15	1	
ParlaMint-RS_2014-11-04-0.u12938.seg0.6	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.689	1	28	32	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.7	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	pozitivan	4.983	1	16	17	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.8	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.164	1	51	56	1	
ParlaMint-RS_2014-11-04-0.u12938.seg0.9	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.184	1	11	13	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.10	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan pozitivan	2.972	1	3	4	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.11	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	-0.005	1	21	26	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.12	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.044	1	24	29	1	
ParlaMint-RS_2014-11-04-0.u12938.seg0.13	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.878	1	56	59	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.14	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan negativan	2.396	1	9	10	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.15	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan pozitivan	2.972	1	3	4	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.16	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	3.502	1	8	10	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.17	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.239	1	22	25	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.18	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	pozitivan	4.965	1	16	19	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.19	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	-0.016	1	19	21	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.20	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.739	1	15	18	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.21	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan pozitivan	2.617	1	8	9	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.22	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.738	1	24	27	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.23	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	4.083	1	12	13	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.24	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	3.791	1	17	19	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.25	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Pozitivan	mešan pozitivan	3.927	1	48	50	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.26	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.616	1	22	27	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.27	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.200	1	12	15	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.28	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.077	1	8	11	1	
ParlaMint-RS_2014-11-04-0.u12938.seg0.29	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Neutralan	neutralan negativan	2.495	1	7	9	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.30	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	mešan negativan	0.554	1	5	7	0	
ParlaMint-RS_2014-11-04-0.u12938.seg0.31	ParlaMint-RS_2014-11-04-0.u12938	s	srpski	Negativan	negativan	0.279	1	22	25	2	
