ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
i-19e7640c7a732d9e-1	ParlaMint-SE_2020-04-16-prot-201920--106	u	svenska	-	-	-	49	825	892	2	
i-XP8hvgGEBHXAmfWmCkieMJ	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	4.017	1	2	3	0	
i-XP8iJLJoxbUf31HbEDxQzg	i-19e7640c7a732d9e-1	s	svenska	Negative	negative	-0.095	1	16	17	0	
i-XP8iSfQGLUzvNHpDYdpKrk	i-19e7640c7a732d9e-1	s	svenska	Negative	negative	0.051	1	33	37	0	
i-XP8iZKsq3CDXqKSKQAWFkQ	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	4.085	1	9	10	0	
i-XP8ifzMPjuS9JM4RFhCBe4	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral negative	1.542	1	15	17	0	
i-XP8inepxScekmNgX7Dt7Xi	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	3.129	1	15	16	0	
i-XP8iuKJX9KsNEQJcxka3RN	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	3.062	1	10	11	0	
i-XP8j19U91Sw9mJUTaqfypp	i-19e7640c7a732d9e-1	s	svenska	Negative	negative	0.457	1	30	31	0	
i-XP8j7owhiA9mEL6ZSNMuiU	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	3.977	1	33	35	0	
i-XP8jEURGQsNNhMifHu3qc8	i-19e7640c7a732d9e-1	s	svenska	Negative	mixed negative	1.052	1	15	16	0	
i-XP8jLJatGzSAEFtVuz9n1a	i-19e7640c7a732d9e-1	s	svenska	Negative	negative	0.405	1	29	30	0	
i-XP8jSy4SyhemhHWbmWqhuE	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	2.795	1	20	21	0	
i-XP8jZdY1gQsPAK8hd3Xdnt	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	3.352	1	8	9	0	
i-XP8jgJ1aP85zdLkoUaDZgY	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	4.017	1	2	3	0	
i-XP8jnxV95qJc6NNuL6uVaC	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	3.921	1	12	13	0	
i-XP8jucxhnYXDZQ11BdbRTr	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	3.157	1	16	18	0	
i-XP8k2HSGVFjq2Rd73AHMMW	i-19e7640c7a732d9e-1	s	svenska	Positive	mixed positive	4.275	1	16	18	0	
i-XP8k87btMNocZKnwfFPHkx	i-19e7640c7a732d9e-1	s	svenska	Neutral	neutral positive	3.175	1	23	24	0	
