ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
i-BQ8dtftkuwhpor9i8CsgBV	ParlaMint-SE_2022-05-13-prot-202122--113	u	Swedish	-	-	-	27	505	534	17	
i-7Gocwwgm1SAsUELPMWzXuE	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Positive	mixed positive	4.017	1	2	3	0	
i-7GodASKwaGTGUA8Kq8nQCL	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral negative	2.313	1	28	29	2	
i-7GodHw7T7ZphsKCgv74KaC	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral negative	2.331	1	19	20	1	
i-7GodPmH4ygtVQDNXYCAFye	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Negative	mixed negative	0.572	1	11	12	0	
i-7GodVbSgqoxGw7YNAHGCP6	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Negative	mixed negative	1.452	1	23	24	0	
i-7GodbRcJhw24U1iCnNN8nY	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral positive	2.786	1	39	40	2	
i-7Godi65sQeEfw3LJdu44gC	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Negative	mixed negative	0.626	1	17	18	3	
i-7GodovFVGmJTTwW9FzA15e	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Negative	mixed negative	0.981	1	22	23	0	
i-7GodukR78tNEzqfyt5FwV6	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral positive	3.137	1	9	10	0	
i-7Goe1aaj11S2XjqpWAMstY	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Positive	mixed positive	3.544	1	32	33	0	
i-7Goe7QkLs8Vp4e1f8FTpHz	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Positive	mixed positive	3.739	1	9	10	0	
i-7GoeDEuxjFZbbYBVkLZkhS	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral positive	2.605	1	13	14	0	
i-7GoeK55abNdP8SMLNRfh6t	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Neutral	neutral positive	2.561	1	21	22	0	
i-7GoeQuFCTVhAfLXAzWmdWL	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Positive	positive	4.705	1	14	15	0	
i-7GoeWjQpKckxCEh1cbsZun	i-BQ8dtftkuwhpor9i8CsgBV	s	Swedish	Positive	mixed positive	3.977	1	20	21	2	
