ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99	u	slovenski	Nevtralen	nevtralno negativen	2.420	9	157	183	18	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg1.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	4.052	1	9	11	0	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg2.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.223	1	8	9	1	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg3.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.779	1	87	103	15	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg4.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Pozitiven	pozitiven	4.814	1	4	5	0	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg5.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.219	1	3	4	0	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg5.2	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.586	1	18	20	0	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg6.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.962	1	16	17	1	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg6.2	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.070	1	11	12	1	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg7.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.427	1	1	2	0	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u2	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99	u	slovenski	Pozitiven	mešano pozitiven	3.880	27	556	616	5	
ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.seg8.1	ParlaMint-SI_2022-04-06-SDZ8-Izredna-99.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.847	1	7	9	0	
