ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-UA_2023-11-09-m0.u1	ParlaMint-UA_2023-11-09-m0	u	Українська	-	-	-	57	814	962	39	
ParlaMint-UA_2023-11-09-m0.u1.p1.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	позитивна	5.193	1	2	3	1	
ParlaMint-UA_2023-11-09-m0.u1.p2.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	3.351	1	28	32	1	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	3.217	1	16	19	1	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна негативна	1.893	1	25	27	0	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s3	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	змішана позитивна	4.469	1	20	21	0	
ParlaMint-UA_2023-11-09-m0.u1.p4.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	2.841	1	29	33	0	
ParlaMint-UA_2023-11-09-m0.u1.p5.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	змішана позитивна	4.009	1	14	16	1	
ParlaMint-UA_2023-11-09-m0.u1.p6.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	3.086	1	10	11	0	
ParlaMint-UA_2023-11-09-m0.u1.p6.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	позитивна	4.510	1	25	27	0	
ParlaMint-UA_2023-11-09-m0.u1.p7.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна негативна	1.639	1	26	32	1	
ParlaMint-UA_2023-11-09-m0.u1.p8.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	3.457	1	13	17	2	
ParlaMint-UA_2023-11-09-m0.u1.p8.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Нейтральна	нейтральна позитивна	3.461	1	22	25	5	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	змішана позитивна	4.486	1	21	27	1	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	Українська	Позитивна	позитивна	5.586	1	15	18	2	
