Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u0	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u1	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	קדימה	קדימה	-	Centre	person.469	לבני, ציפי	F	1958
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u2	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u3	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הליכוד	הליכוד	-	Right	person.470	לבנת, לימור	F	1950
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u4	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u5	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u6	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u7	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	notMP	notMinister	הסיעה החילונית	הסיעה החילונית	-	Centre	person.433	איציק, דליה	F	1952
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u8	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u9	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הרשימה הערבית המאוחדת - התנועה הערבית להתחדשות	הרשימה הערבית המאוחדת - התנועה הערבית להתחדשות	-	Far-left	person.560	טיבי, אחמד	M	1958
